metric,contrast,label,primary,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz,holm_p_value
direct_target_coop_density,ordinary substitute − defector myth,Directly exposed myth: cooperation,True,5,0.3097146444463402,-0.10528239688336777,0.7247116857760483,0.10697820877710748,0.9266608805048643,0.21395641755421496
direct_sender_send_ratio,ordinary substitute − defector myth,Directly exposed sender: proportion sent,True,5,-0.01583333333333332,-0.21781587177761444,0.18614920511094782,0.8383577533455694,-0.09733356221276987,0.8383577533455694
direct_target_threat_density,ordinary substitute − defector myth,Directly exposed myth: threat,False,5,-0.1049637836085876,-0.17088863076625294,-0.03903893645092227,0.011505699196703172,-1.9769443061481546,
direct_target_half_rule,ordinary substitute − defector myth,Directly exposed myth: half rule,False,5,0.02777777777777778,-0.08315007232287967,0.13870562787843524,0.5251692265200502,0.3109288297345887,
direct_receiver_return_ratio,ordinary substitute − defector myth,Directly exposed receiver: return ratio,False,5,-0.0009238095238095045,-0.04862745160318829,0.04677983255556928,0.959698630482857,-0.02404556501164668,
presented_coop_density,ordinary substitute − defector myth,Presented myth: cooperation,False,5,0.6330157288133281,0.04294763215395736,1.223083825472699,0.0407983223453686,1.3320375143378733,
presented_threat_density,ordinary substitute − defector myth,Presented myth: threat,False,5,-0.12882605464782396,-0.22333805033077947,-0.03431405896486846,0.01936085979098497,-1.692469542421072,
population_standard_send_ratio,ordinary substitute − defector myth,All ordinary senders,False,5,-0.006666666666666643,-0.051626411521045024,0.03829307818771174,0.701668767042108,-0.18411492357966427,
population_standard_myth_coop_density,ordinary substitute − defector myth,All ordinary-authored myths: cooperation,False,5,0.08532418723803308,-0.3160084425334935,0.4866568170095597,0.5867389069533345,0.2639804581296453,
population_standard_myth_threat_density,ordinary substitute − defector myth,All ordinary-authored myths: threat,False,5,-0.041112880979098175,-0.06637235021604519,-0.015853411742151154,0.01066642620585783,-2.0209602860345997,
defector_post_coop_density,ordinary substitute − defector myth,Defector myths rounds 2–10: cooperation,False,5,-0.06100486931467488,-0.37171541097146954,0.2497056723421198,0.6146372158840565,-0.24378815581618363,
defector_post_threat_density,ordinary substitute − defector myth,Defector myths rounds 2–10: threat,False,5,-0.042502986552862686,-0.1552747302605113,0.07026875715478592,0.3544290748215909,-0.46797563364491135,
