policy,policy_label,replicate_id,round,standard_send_ratio
normal,Defector myth,45,1,1.0
normal,Defector myth,45,2,1.0
normal,Defector myth,45,3,1.0
normal,Defector myth,45,4,1.0
normal,Defector myth,45,5,1.0
normal,Defector myth,45,6,1.0
normal,Defector myth,45,7,1.0
normal,Defector myth,45,8,1.0
normal,Defector myth,45,9,1.0
normal,Defector myth,45,10,1.0
normal,Defector myth,46,1,1.0
normal,Defector myth,46,2,1.0
normal,Defector myth,46,3,1.0
normal,Defector myth,46,4,0.8666666666666667
normal,Defector myth,46,5,1.0
normal,Defector myth,46,6,1.0
normal,Defector myth,46,7,1.0
normal,Defector myth,46,8,1.0
normal,Defector myth,46,9,1.0
normal,Defector myth,46,10,0.75
normal,Defector myth,47,1,1.0
normal,Defector myth,47,2,1.0
normal,Defector myth,47,3,1.0
normal,Defector myth,47,4,1.0
normal,Defector myth,47,5,1.0
normal,Defector myth,47,6,1.0
normal,Defector myth,47,7,1.0
normal,Defector myth,47,8,1.0
normal,Defector myth,47,9,1.0
normal,Defector myth,47,10,1.0
normal,Defector myth,48,1,1.0
normal,Defector myth,48,2,1.0
normal,Defector myth,48,3,1.0
normal,Defector myth,48,4,1.0
normal,Defector myth,48,5,1.0
normal,Defector myth,48,6,1.0
normal,Defector myth,48,7,1.0
normal,Defector myth,48,8,1.0
normal,Defector myth,48,9,1.0
normal,Defector myth,48,10,1.0
normal,Defector myth,49,1,1.0
normal,Defector myth,49,2,1.0
normal,Defector myth,49,3,0.5
normal,Defector myth,49,4,0.5
normal,Defector myth,49,5,0.3333333333333333
normal,Defector myth,49,6,0.7999999999999999
normal,Defector myth,49,7,1.0
normal,Defector myth,49,8,1.0
normal,Defector myth,49,9,1.0
normal,Defector myth,49,10,1.0
standard_substitute,Ordinary substitute,45,1,1.0
standard_substitute,Ordinary substitute,45,2,1.0
standard_substitute,Ordinary substitute,45,3,0.6666666666666666
standard_substitute,Ordinary substitute,45,4,1.0
standard_substitute,Ordinary substitute,45,5,1.0
standard_substitute,Ordinary substitute,45,6,1.0
standard_substitute,Ordinary substitute,45,7,1.0
standard_substitute,Ordinary substitute,45,8,1.0
standard_substitute,Ordinary substitute,45,9,1.0
standard_substitute,Ordinary substitute,45,10,1.0
standard_substitute,Ordinary substitute,46,1,1.0
standard_substitute,Ordinary substitute,46,2,1.0
standard_substitute,Ordinary substitute,46,3,1.0
standard_substitute,Ordinary substitute,46,4,1.0
standard_substitute,Ordinary substitute,46,5,1.0
standard_substitute,Ordinary substitute,46,6,1.0
standard_substitute,Ordinary substitute,46,7,1.0
standard_substitute,Ordinary substitute,46,8,1.0
standard_substitute,Ordinary substitute,46,9,1.0
standard_substitute,Ordinary substitute,46,10,1.0
standard_substitute,Ordinary substitute,47,1,1.0
standard_substitute,Ordinary substitute,47,2,1.0
standard_substitute,Ordinary substitute,47,3,1.0
standard_substitute,Ordinary substitute,47,4,1.0
standard_substitute,Ordinary substitute,47,5,1.0
standard_substitute,Ordinary substitute,47,6,1.0
standard_substitute,Ordinary substitute,47,7,1.0
standard_substitute,Ordinary substitute,47,8,1.0
standard_substitute,Ordinary substitute,47,9,1.0
standard_substitute,Ordinary substitute,47,10,1.0
standard_substitute,Ordinary substitute,48,1,1.0
standard_substitute,Ordinary substitute,48,2,1.0
standard_substitute,Ordinary substitute,48,3,1.0
standard_substitute,Ordinary substitute,48,4,1.0
standard_substitute,Ordinary substitute,48,5,1.0
standard_substitute,Ordinary substitute,48,6,1.0
standard_substitute,Ordinary substitute,48,7,1.0
standard_substitute,Ordinary substitute,48,8,1.0
standard_substitute,Ordinary substitute,48,9,1.0
standard_substitute,Ordinary substitute,48,10,1.0
standard_substitute,Ordinary substitute,49,1,1.0
standard_substitute,Ordinary substitute,49,2,1.0
standard_substitute,Ordinary substitute,49,3,0.5
standard_substitute,Ordinary substitute,49,4,0.5
standard_substitute,Ordinary substitute,49,5,0.3333333333333333
standard_substitute,Ordinary substitute,49,6,0.8333333333333334
standard_substitute,Ordinary substitute,49,7,0.875
standard_substitute,Ordinary substitute,49,8,1.0
standard_substitute,Ordinary substitute,49,9,0.5
standard_substitute,Ordinary substitute,49,10,1.0
