policy,policy_label,replicate_id,defector_ids,n_direct_exposures,n_direct_sender_exposures,n_substitutions,direct_target_coop_density,direct_target_threat_density,direct_target_half_rule,direct_sender_send_ratio,direct_receiver_return_ratio,presented_coop_density,presented_threat_density,population_standard_send_ratio,population_standard_myth_coop_density,population_standard_myth_threat_density,defector_post_coop_density,defector_post_threat_density
normal,Defector myth,45,"Agent_4,Agent_5",16,5,0,2.2976462039021435,0.09269363973080076,0.0625,1.0,0.4889629629629629,2.249986345533503,0.0918160655963496,1.0,2.374925774393908,0.06586054475076127,1.9762427144007013,0.10769670097870615
normal,Defector myth,46,"Agent_2,Agent_4",16,6,0,1.909708474776534,0.21314318088682516,0.0625,0.7666666666666666,0.46844444444444444,1.9937389030322168,0.11985575715124674,0.9533333333333334,2.3416245958304187,0.11448599895142483,1.8541221012239082,0.1896169237945265
normal,Defector myth,47,"Agent_1,Agent_6",18,8,0,1.90667883621132,0.08213716108452951,0.1111111111111111,1.0,0.5519999999999999,1.5543400592600942,0.0814349472259238,1.0,2.331237990463057,0.07452786570204388,1.4143953361791675,0.16313820100818663
normal,Defector myth,48,"Agent_2,Agent_6",16,6,0,1.41044008912904,0.06188270470308556,0.0,1.0,0.5195555555555555,1.2942112624458368,0.24445566050091896,1.0,2.2327422892090345,0.06602539506380992,1.3294248761122243,0.21609774819645747
normal,Defector myth,49,"Agent_2,Agent_3",18,8,0,1.7080445560585646,0.21295023174509245,0.05555555555555555,0.55,0.5571428571428572,1.4257759302662971,0.2447203343247845,0.8133333333333332,2.11058056168109,0.11323885153543346,1.201375490348616,0.2720876030713636
standard_substitute,Ordinary substitute,45,"Agent_4,Agent_5",16,5,16,2.5471577512683727,0.0,0.1875,0.8,0.4889629629629629,2.837453314222156,0.0,0.9666666666666667,2.824780737574629,0.0327665030803749,1.7146807724055058,0.1356795330358288
standard_substitute,Ordinary substitute,46,"Agent_2,Agent_4",16,6,16,2.4234584007469575,0.03048780487804878,0.125,1.0,0.47444444444444445,2.3451106277237073,0.030637254901960783,1.0,2.409978982900947,0.06573531376713433,1.5428107847680488,0.16278808154678215
standard_substitute,Ordinary substitute,47,"Agent_1,Agent_6",18,8,18,1.6867724070460182,0.026968716289104636,0.0,1.0,0.5076666666666667,1.678371778584456,0.02736726874657909,1.0,1.9049774123045247,0.04910324118642674,1.486708565498884,0.1938189634946288
standard_substitute,Ordinary substitute,48,"Agent_2,Agent_6",16,6,16,2.065790219812119,0.0,0.0625,1.0,0.4955555555555555,2.6718819970014764,0.0,1.0,2.330986809491327,0.040935293659027615,1.2279354254573767,0.16367362156720416
standard_substitute,Ordinary substitute,49,"Agent_2,Agent_3",18,8,18,2.057912603435836,0.08053147894024199,0.05555555555555555,0.4375,0.6148571428571429,2.150313427072793,0.08014796791156392,0.7666666666666667,2.347008205496246,0.04003389941501889,1.4984006235614276,0.080162044640483
