policy,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses
normal,45,308725,19560,0,160,0,20
normal,46,307287,19421,0,160,0,20
normal,47,307914,19608,0,160,0,20
normal,48,304414,19176,0,160,0,20
normal,49,304865,19305,0,160,0,20
standard_substitute,45,305386,19241,0,160,0,20
standard_substitute,46,306734,19343,0,160,1,20
standard_substitute,47,306879,19567,0,160,1,20
standard_substitute,48,309029,19647,0,160,4,20
standard_substitute,49,307416,19583,0,160,2,20
