domain,model_id,condition,author_type,metric,n,mean,ci_low,ci_high
behavior,gpt,control,standard,standard_send_ratio,10,0.83025,0.8078106057883583,0.8526893942116418
behavior,gpt,control,standard,round1_standard_send,10,0.745,0.7056373097474595,0.7843626902525405
behavior,gpt,control,standard,standard_return_ratio,10,0.3793299041005291,0.3673307091007116,0.3913290991003466
behavior,gpt,control,standard,standard_final_balance,10,66.5125,65.39053028941791,67.6344697105821
behavior,gpt,control,standard,population_final_balance,10,66.5125,65.39053028941791,67.6344697105821
myth,gpt,control,standard,coop_density,10,4.102730459740645,3.90795313427911,4.297507785202179
myth,gpt,control,standard,threat_density,10,0.04155340035711184,0.03022926119769896,0.05287753951652471
myth,gpt,control,standard,half_rule,10,0.028750000000000005,0.01473775670823833,0.042762243291761676
myth,gpt,control,standard,word_count,10,214.92,213.47311930546957,216.3668806945304
behavior,gpt,defectors25,standard,standard_send_ratio,10,0.8130066666666668,0.7876090155769524,0.8384043177563811
behavior,gpt,defectors25,standard,round1_standard_send,10,0.7466666666666668,0.7186774265900896,0.774655906743244
behavior,gpt,defectors25,standard,standard_return_ratio,10,0.3737234128693172,0.35459829141303395,0.39284853432560046
behavior,gpt,defectors25,standard,standard_final_balance,10,47.715333333333334,46.78246765170246,48.648199014964206
behavior,gpt,defectors25,standard,population_final_balance,10,55.487750000000005,54.53533808413572,56.440161915864294
myth,gpt,defectors25,standard,coop_density,10,3.99468699856588,3.880275765909925,4.109098231221835
myth,gpt,defectors25,standard,threat_density,10,0.0272944892642649,0.015892903449003855,0.038696075079525945
myth,gpt,defectors25,standard,half_rule,10,0.045,0.028092104441981142,0.06190789555801886
myth,gpt,defectors25,standard,word_count,10,216.175,214.8545079551464,217.49549204485362
behavior,gemini,control,standard,standard_send_ratio,10,1.0,1.0,1.0
behavior,gemini,control,standard,round1_standard_send,10,1.0,1.0,1.0
behavior,gemini,control,standard,standard_return_ratio,10,0.5237108333333333,0.5026536078074629,0.5447680588592038
behavior,gemini,control,standard,standard_final_balance,10,75.0,75.0,75.0
behavior,gemini,control,standard,population_final_balance,10,75.0,75.0,75.0
myth,gemini,control,standard,coop_density,10,2.4676570036637435,2.373799061877504,2.561514945449983
myth,gemini,control,standard,threat_density,10,0.04257768193714293,0.02196989040773216,0.0631854734665537
myth,gemini,control,standard,half_rule,10,0.09125000000000001,0.05260481513457582,0.1298951848654242
myth,gemini,control,standard,word_count,10,203.2125,202.74526885370418,203.67973114629584
behavior,gemini,defectors25,standard,standard_send_ratio,10,0.9903333333333334,0.9749023595492202,1.0057643071174465
behavior,gemini,defectors25,standard,round1_standard_send,10,1.0,1.0,1.0
behavior,gemini,defectors25,standard,standard_return_ratio,10,0.5110576479076478,0.4940075831085184,0.5281077127067774
behavior,gemini,defectors25,standard,standard_final_balance,10,53.266666666666666,51.94593841468039,54.58739491865294
behavior,gemini,defectors25,standard,population_final_balance,10,62.1375,61.55883848309576,62.71616151690424
myth,gemini,defectors25,standard,coop_density,10,2.4453248245706174,2.3405143796041985,2.5501352695370363
myth,gemini,defectors25,standard,threat_density,10,0.06645090696557802,0.05371635402277537,0.07918545990838068
myth,gemini,defectors25,standard,half_rule,10,0.09833333333333334,0.06942799180797542,0.12723867485869128
myth,gemini,defectors25,standard,word_count,10,203.43166666666667,202.94400563614636,203.919327697187
