model_id,model_label,condition,condition_label,replicate_id,author_type,coop_density,coop_present,threat_density,threat_present,half_rule,word_count
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,standard,2.4869026534899046,1.0,0.024546900607345996,0.05,0.075,203.0125
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,standard,2.6681838543825664,1.0,0.06789433694259014,0.1375,0.0875,201.8625
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,standard,2.4082124700736642,1.0,0.03679783570759449,0.075,0.0625,203.3125
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,standard,2.749170915018541,1.0,0.06746968468812284,0.125,0.1,203.625
gemini,Gemini 3.1 Flash-Lite,control,No defectors,34,standard,2.294618984300926,1.0,0.07390718991786303,0.1375,0.1,203.6625
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,30,defector,2.005418059891019,1.0,0.1966088855682752,0.35,0.05,204.05
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,30,standard,2.3050097156290787,1.0,0.04054209993602913,0.08333333333333333,0.05,203.8
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,31,defector,1.7872905388247822,1.0,0.12341110177682706,0.25,0.0,203.95
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,31,standard,2.5276110021428315,0.9833333333333333,0.057166702444404784,0.1,0.05,203.96666666666667
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,32,defector,1.6853071737084164,0.95,0.12245158993815622,0.25,0.0,205.35
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,32,standard,2.0971892101183496,1.0,0.09027970547904836,0.16666666666666666,0.06666666666666667,204.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,33,defector,1.222856918734553,0.85,0.19253046999572904,0.3,0.05,205.95
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,33,standard,2.3951040069900817,1.0,0.04887211373082498,0.1,0.03333333333333333,203.7
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,34,defector,1.902507286784989,1.0,0.050128147143072524,0.1,0.05,205.1
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,34,standard,2.3634412187893408,1.0,0.04926875802642942,0.1,0.16666666666666666,203.71666666666667
gpt,GPT-5 Nano,control,No defectors,30,standard,4.00970422321453,1.0,0.04140631461874188,0.0875,0.0375,216.125
gpt,GPT-5 Nano,control,No defectors,31,standard,4.113548532650751,1.0,0.04058997243273333,0.075,0.0375,214.7375
gpt,GPT-5 Nano,control,No defectors,32,standard,4.033554390803344,1.0,0.00502008032128514,0.0125,0.0,215.9
gpt,GPT-5 Nano,control,No defectors,33,standard,4.569848769168298,1.0,0.017724421582762964,0.0375,0.05,215.0875
gpt,GPT-5 Nano,control,No defectors,34,standard,4.138366323017017,1.0,0.017061631452750747,0.0375,0.05,215.525
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,30,defector,4.253052206972119,1.0,0.0,0.0,0.0,218.15
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,30,standard,3.9284094898727293,1.0,0.024054517615977412,0.05,0.0,215.56666666666666
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,31,defector,4.129710814641572,1.0,0.024509803921568627,0.05,0.05,215.7
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,31,standard,3.9070104751409716,1.0,0.0150198912072745,0.03333333333333333,0.03333333333333333,216.16666666666666
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,32,defector,4.089311792547843,1.0,0.0,0.0,0.05,218.4
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,32,standard,3.9329207423003227,1.0,0.015512265512265512,0.03333333333333333,0.03333333333333333,218.21666666666667
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,33,defector,4.242379905313934,1.0,0.023474178403755867,0.05,0.05,216.35
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,33,standard,4.104572022235862,1.0,0.05322754404900403,0.1,0.05,211.53333333333333
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,34,defector,4.136915375866982,1.0,0.0,0.0,0.0,215.4
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,34,standard,4.410198553551379,1.0,0.06121892618209379,0.13333333333333333,0.05,217.6
