domain,model_id,condition,author_type,metric,n,mean,ci_low,ci_high
behavior,gpt,control,standard,standard_send_ratio,5,0.8365,0.8117055523973894,0.8612944476026106
behavior,gpt,control,standard,round1_standard_send,5,0.76,0.7080574683158215,0.8119425316841785
behavior,gpt,control,standard,standard_return_ratio,5,0.4008301322751323,0.34902787538639446,0.45263238916387016
behavior,gpt,control,standard,standard_final_balance,5,66.825,65.58527761986947,68.06472238013053
behavior,gpt,control,standard,population_final_balance,5,66.825,65.58527761986947,68.06472238013053
myth,gpt,control,standard,coop_density,5,4.173004447770788,3.8896345906572884,4.456374304884288
myth,gpt,control,standard,threat_density,5,0.024360484081654813,0.00448107485590998,0.04423989330739965
myth,gpt,control,standard,half_rule,5,0.034999999999999996,0.009496723225315359,0.06050327677468463
myth,gpt,control,standard,word_count,5,215.475,214.76722769563543,216.18277230436456
behavior,gpt,defectors25,standard,standard_send_ratio,5,0.8038666666666667,0.7626171675141524,0.845116165819181
behavior,gpt,defectors25,standard,round1_standard_send,5,0.7733333333333335,0.727994174622783,0.818672492043884
behavior,gpt,defectors25,standard,standard_return_ratio,5,0.38355840859284795,0.3602367862034185,0.40688003098227743
behavior,gpt,defectors25,standard,standard_final_balance,5,48.79333333333334,45.313454447320694,52.27321221934598
behavior,gpt,defectors25,standard,population_final_balance,5,55.145,53.59814378178071,56.69185621821929
myth,gpt,defectors25,standard,coop_density,5,4.056622256620253,3.7921743201653255,4.3210701930751805
myth,gpt,defectors25,standard,threat_density,5,0.03380662891332305,0.006664588733010103,0.06094866909363599
myth,gpt,defectors25,standard,half_rule,5,0.03333333333333334,0.007987973103472702,0.05867869356319398
myth,gpt,defectors25,standard,word_count,5,215.81666666666666,212.562640890687,219.07069244264633
behavior,gemini,control,standard,standard_send_ratio,5,1.0,1.0,1.0
behavior,gemini,control,standard,round1_standard_send,5,1.0,1.0,1.0
behavior,gemini,control,standard,standard_return_ratio,5,0.5308350000000001,0.5154894284386732,0.5461805715613269
behavior,gemini,control,standard,standard_final_balance,5,75.0,75.0,75.0
behavior,gemini,control,standard,population_final_balance,5,75.0,75.0,75.0
myth,gemini,control,standard,coop_density,5,2.521417775453121,2.2900745784737655,2.752760972432476
myth,gemini,control,standard,threat_density,5,0.054123189572703304,0.026819954947923753,0.08142642419748286
myth,gemini,control,standard,half_rule,5,0.08499999999999999,0.06476335269114117,0.10523664730885882
myth,gemini,control,standard,word_count,5,203.095,202.1791675816072,204.0108324183928
behavior,gemini,defectors25,standard,standard_send_ratio,5,0.984,0.9632229873263286,1.0047770126736715
behavior,gemini,defectors25,standard,round1_standard_send,5,0.9733333333333334,0.8992947971947254,1.0473718694719414
behavior,gemini,defectors25,standard,standard_return_ratio,5,0.5294559194428758,0.48051437678527065,0.578397462100481
behavior,gemini,defectors25,standard,standard_final_balance,5,54.7,52.89353178585354,56.506468214146466
behavior,gemini,defectors25,standard,population_final_balance,5,61.9,61.12086202473732,62.67913797526268
myth,gemini,defectors25,standard,coop_density,5,2.337671030733936,2.142391871085378,2.5329501903824942
myth,gemini,defectors25,standard,threat_density,5,0.05722587592334734,0.033149048879987014,0.08130270296670766
myth,gemini,defectors25,standard,half_rule,5,0.07333333333333333,0.0069175267941846835,0.139749139872482
myth,gemini,defectors25,standard,word_count,5,203.83666666666667,203.66327772542044,204.0100556079129
