model_id,condition,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses
gemini,control,30,349241,19495,0,160,0,0
gemini,control,31,349841,19461,0,160,0,0
gemini,control,32,350296,19647,0,160,0,0
gemini,control,33,349132,19460,0,160,0,0
gemini,control,34,351691,19682,0,160,0,0
gemini,defectors25,30,304477,19213,0,160,0,20
gemini,defectors25,31,307829,19511,0,160,0,20
gemini,defectors25,32,305144,19345,0,160,0,20
gemini,defectors25,33,305830,19390,0,160,0,20
gemini,defectors25,34,309396,19504,0,160,0,20
gpt,control,30,375048,23074,0,162,2,0
gpt,control,31,374250,22954,0,162,2,0
gpt,control,32,378150,22926,0,163,3,0
gpt,control,33,382227,23434,0,163,3,0
gpt,control,34,371663,23019,0,161,1,0
gpt,defectors25,30,336686,22809,0,164,4,20
gpt,defectors25,31,335330,23044,0,163,3,20
gpt,defectors25,32,349541,22962,0,168,8,20
gpt,defectors25,33,336608,22567,0,165,5,20
gpt,defectors25,34,336863,22912,0,164,4,20
