availability,condition,replicate_id,standard_send_ratio,standard_return_ratio
off,control,61,0.81875,0.3525188842203548
off,control,62,0.7950000000000002,0.38105773809523813
off,control,63,0.8699999999999999,0.4155194444444444
off,control,64,0.835,0.4401544642857143
off,control,65,0.825,0.4044333333333334
off,defectors25,61,0.8400000000000001,0.4062373737373738
off,defectors25,62,0.8566666666666667,0.4388847105508871
off,defectors25,63,0.8333333333333335,0.4158624338624338
off,defectors25,64,0.8400000000000002,0.45448232323232335
off,defectors25,65,0.8200000000000002,0.3983650793650793
