availability,availability_label,condition,condition_label,replicate_id,round,agent_id,word_count,coop_density,coop_present,threat_density,threat_present,half_rule
off,Unavailable,control,0% defectors,61,1,Agent_3,226,4.424778761061947,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,1,Agent_4,219,4.10958904109589,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,1,Agent_7,237,3.79746835443038,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,1,Agent_2,242,2.479338842975207,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,1,Agent_1,233,4.291845493562231,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,1,Agent_8,256,4.6875,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,1,Agent_6,211,4.265402843601896,1.0,0.47393364928909953,1.0,0.0
off,Unavailable,control,0% defectors,61,1,Agent_5,219,5.0228310502283104,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_8,210,5.714285714285714,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_6,209,2.8708133971291865,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_2,216,4.166666666666666,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_1,217,5.0691244239631335,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_5,217,3.686635944700461,1.0,0.4608294930875576,1.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_3,208,3.8461538461538463,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_4,211,3.3175355450236967,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,2,Agent_7,226,3.982300884955752,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,3,Agent_1,229,3.056768558951965,1.0,0.0,0.0,0.0
off,Unavailable,control,0% defectors,61,3,Agent_4,211,3.3175355450236967,1.0,0.47393364928909953,1.0,0.0
off,Unavailable,control,0% defectors,61,3,Agent_6,204,4.901960784313726,1.0,0.0,0.0,0.0
