metric,metric_label,contrast,contrast_type,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
standard_send_ratio,Ordinary-agent proportion sent,Available − unavailable | 0% defectors,availability_control,5,-0.027300000000000012,-0.08900426720676982,0.0344042672067698,0.2866332263494838,-0.5493530461576217
standard_send_ratio,Ordinary-agent proportion sent,Available − unavailable | 25% defectors,availability_defectors25,5,0.002666666666666595,-0.090774908556494,0.0961082418898272,0.9406512658389128,0.03543501901912778
standard_send_ratio,Ordinary-agent proportion sent,25% − 0% defectors | unavailable,defectors_off,5,-0.024799999999999888,-0.08544808061806623,0.035848080618066464,0.3196500646131055,-0.5077368787542522
standard_send_ratio,Ordinary-agent proportion sent,25% − 0% defectors | available,defectors_on,5,0.0051666666666667195,-0.021177068776337103,0.03151040210967054,0.6150112379030674,0.24352142484118533
standard_send_ratio,Ordinary-agent proportion sent,Availability × defector difference-in-differences,interaction,5,0.029966666666666607,-0.012506137885195848,0.07243947121852906,0.12170534157566447,0.8760554321469026
standard_return_ratio,Ordinary receiver return ratio,Available − unavailable | 0% defectors,availability_control,5,0.028196753246753258,-0.029155438124593498,0.08554894461810002,0.24398329694566873,0.6104543267760852
standard_return_ratio,Ordinary receiver return ratio,Available − unavailable | 25% defectors,availability_defectors25,5,0.05164520470814591,-0.011791281208745223,0.11508169062503704,0.08664477589065997,1.010869225164531
standard_return_ratio,Ordinary receiver return ratio,25% − 0% defectors | unavailable,defectors_off,5,0.003360561285120145,-0.08991663360126498,0.09663775617150527,0.9251343109947399,0.04473427793978524
standard_return_ratio,Ordinary receiver return ratio,25% − 0% defectors | available,defectors_on,5,0.026809012746512796,-0.004347190099469586,0.05796521559249518,0.0752453138202464,1.068416010747064
standard_return_ratio,Ordinary receiver return ratio,Availability × defector difference-in-differences,interaction,5,0.02344845146139265,-0.06405425868063319,0.1109511616034185,0.4981978063094712,0.332733671288386
standard_myth_coop_density,Ordinary myth cooperation density,Available − unavailable | 0% defectors,availability_control,5,-0.2182034590980738,-0.9704233346818193,0.5340164164856717,0.4657445544155306,-0.3601810962989409
standard_myth_coop_density,Ordinary myth cooperation density,Available − unavailable | 25% defectors,availability_defectors25,5,0.0677272247084895,-0.3319418381427812,0.46739628755976026,0.6625119573668712,0.21041022294508235
standard_myth_coop_density,Ordinary myth cooperation density,25% − 0% defectors | unavailable,defectors_off,5,-0.023626320780340125,-0.5441386044610361,0.4968859629003559,0.9057932355876018,-0.05635976871769226
standard_myth_coop_density,Ordinary myth cooperation density,25% − 0% defectors | available,defectors_on,5,0.2623043630262232,-0.4133855645368383,0.9379942905892846,0.34177543259761994,0.4820167814489669
standard_myth_coop_density,Ordinary myth cooperation density,Availability × defector difference-in-differences,interaction,5,0.2859306838065633,-0.608558942823389,1.1804203104365154,0.42494639880541546,0.3969077175349615
standard_myth_threat_density,Ordinary myth threat density,Available − unavailable | 0% defectors,availability_control,5,0.007508230971590429,-0.058686178672717464,0.07370264061589832,0.7685636159640103,0.14083817859721617
standard_myth_threat_density,Ordinary myth threat density,Available − unavailable | 25% defectors,availability_defectors25,5,0.052099421782763236,-0.01835987755185234,0.12255872111737881,0.10932044030407578,0.9181183600432004
standard_myth_threat_density,Ordinary myth threat density,25% − 0% defectors | unavailable,defectors_off,5,-0.015085906953040124,-0.07397694734517764,0.04380513343909739,0.516217487776239,-0.31807262053978996
standard_myth_threat_density,Ordinary myth threat density,25% − 0% defectors | available,defectors_on,5,0.029505283858132676,-0.0373758836246925,0.09638645134095786,0.2878265335948037,0.5477722668766805
standard_myth_threat_density,Ordinary myth threat density,Availability × defector difference-in-differences,interaction,5,0.044591190811172805,-0.061972246378451175,0.1511546280007968,0.3099175195332749,0.5195710435723347
standard_myth_half_rule,Ordinary myth explicit half-rule rate,Available − unavailable | 0% defectors,availability_control,5,0.0025000000000000014,-0.02930817464364635,0.034308174643646355,0.8379401873942979,0.09759000729485338
standard_myth_half_rule,Ordinary myth explicit half-rule rate,Available − unavailable | 25% defectors,availability_defectors25,5,0.01,-0.041942531684178476,0.06194253168417848,0.6213082950374971,0.23904572186687872
standard_myth_half_rule,Ordinary myth explicit half-rule rate,25% − 0% defectors | unavailable,defectors_off,5,-0.0016666666666666663,-0.023185360123014333,0.019852026789681,0.8402541376912024,-0.09616940736686899
standard_myth_half_rule,Ordinary myth explicit half-rule rate,25% − 0% defectors | available,defectors_on,5,0.005833333333333331,-0.04923574427646384,0.0609024109431305,0.7833100326530859,0.13152644467452237
standard_myth_half_rule,Ordinary myth explicit half-rule rate,Availability × defector difference-in-differences,interaction,5,0.007499999999999998,-0.05287837231496433,0.06787837231496432,0.7475550359484209,0.1542353599389796
