availability,availability_label,condition,condition_label,replicate_id,round,standard_send_ratio,standard_return_ratio,standard_myth_coop_density
off,Unavailable,control,0% defectors,61,1,0.8500000000000001,0.29591666666666666,4.134844298369483
off,Unavailable,control,0% defectors,61,2,0.7650000000000001,0.3117992424242424,4.081689552859807
off,Unavailable,control,0% defectors,61,3,0.95,0.34308333333333335,4.107161623175778
off,Unavailable,control,0% defectors,61,4,0.6,0.23055555555555554,4.190455639702599
off,Unavailable,control,0% defectors,61,5,0.8500000000000001,0.3097916666666667,3.9705159111941075
off,Unavailable,control,0% defectors,61,6,0.8500000000000001,0.41125,4.41041769282899
off,Unavailable,control,0% defectors,61,7,0.9,0.34700000000000003,4.013115300566113
off,Unavailable,control,0% defectors,61,8,0.9,0.3075,4.068737726010575
off,Unavailable,control,0% defectors,61,9,0.8999999999999999,0.35,4.358747675475893
off,Unavailable,control,0% defectors,61,10,0.9,0.39241666666666664,4.459558322991956
off,Unavailable,control,0% defectors,62,1,0.75,0.43263888888888885,3.7936236010329187
off,Unavailable,control,0% defectors,62,2,0.725,0.29962962962962963,3.7832652687247332
off,Unavailable,control,0% defectors,62,3,0.7000000000000001,0.375,4.345746275117996
off,Unavailable,control,0% defectors,62,4,0.875,0.31525925925925924,3.7744228719930475
off,Unavailable,control,0% defectors,62,5,0.85,0.33749999999999997,3.7888663856487463
off,Unavailable,control,0% defectors,62,6,0.825,0.3074074074074074,4.039051215079641
off,Unavailable,control,0% defectors,62,7,0.9249999999999999,0.3032407407407407,3.8774690870424497
off,Unavailable,control,0% defectors,62,8,0.825,0.31398809523809523,3.8033653402104255
off,Unavailable,control,0% defectors,62,9,0.95,0.2958333333333333,4.02285773569325
off,Unavailable,control,0% defectors,62,10,0.95,0.33299999999999996,3.4511799004013604
off,Unavailable,control,0% defectors,63,1,0.7500000000000001,0.6354166666666666,4.187081576563976
off,Unavailable,control,0% defectors,63,2,0.725,0.31833333333333336,5.431359902151909
off,Unavailable,control,0% defectors,63,3,0.875,0.5104166666666666,4.841663389540651
off,Unavailable,control,0% defectors,63,4,0.8,0.35037037037037033,4.688039571548309
off,Unavailable,control,0% defectors,63,5,0.8500000000000001,0.37499999999999994,4.75018076168948
off,Unavailable,control,0% defectors,63,6,0.85,0.36145833333333327,4.142931322623526
off,Unavailable,control,0% defectors,63,7,0.8500000000000001,0.4791666666666667,4.475497079120739
off,Unavailable,control,0% defectors,63,8,0.85,0.3819444444444444,4.354966991399333
off,Unavailable,control,0% defectors,63,9,0.875,0.4928571428571429,4.299901213112369
off,Unavailable,control,0% defectors,63,10,0.9,0.4,4.1654540229097705
off,Unavailable,control,0% defectors,64,1,0.75,0.4708333333333334,3.577515495774527
off,Unavailable,control,0% defectors,64,2,0.75,0.3345833333333333,3.658440607670448
off,Unavailable,control,0% defectors,64,3,0.8,0.33229166666666665,4.120501339477006
off,Unavailable,control,0% defectors,64,4,0.8,0.548888888888889,4.244341493725393
off,Unavailable,control,0% defectors,64,5,0.8,0.3902777777777778,4.317872686663671
off,Unavailable,control,0% defectors,64,6,0.8,0.48000000000000004,4.175827474724924
off,Unavailable,control,0% defectors,64,7,0.95,0.38749999999999996,3.511625517894032
