availability,availability_label,condition,condition_label,replicate_id,defector_ids,code_commit,standard_send_ratio,standard_return_ratio,standard_myth_coop_density,standard_myth_threat_density,standard_myth_half_rule
off,Unavailable,control,0% defectors,61,,649dbc344aed05dfb8ed735c08b7aeaa52251892,0.8465,0.3299313131313131,4.1795243743175305,0.023618325280437343,0.0
off,Unavailable,control,0% defectors,62,,649dbc344aed05dfb8ed735c08b7aeaa52251892,0.8375,0.3313497354497354,3.8679847680944563,0.040124753764617514,0.0
off,Unavailable,control,0% defectors,63,,649dbc344aed05dfb8ed735c08b7aeaa52251892,0.8324999999999999,0.4304963624338624,4.533707583066006,0.046603900743891084,0.0375
off,Unavailable,control,0% defectors,64,,649dbc344aed05dfb8ed735c08b7aeaa52251892,0.805,0.42814583333333334,4.005227792778121,0.016358815433000367,0.0625
off,Unavailable,control,0% defectors,65,,649dbc344aed05dfb8ed735c08b7aeaa52251892,0.8625,0.3933574735449735,4.361825643391464,0.12276774559554056,0.025
off,Unavailable,defectors25,25% defectors,61,"Agent_2,Agent_8",649dbc344aed05dfb8ed735c08b7aeaa52251892,0.8700000000000002,0.34249458874458877,4.218019336298587,0.06926896173974885,0.016666666666666666
off,Unavailable,defectors25,25% defectors,62,"Agent_1,Agent_3",649dbc344aed05dfb8ed735c08b7aeaa52251892,0.7700000000000001,0.45502182539682534,4.2441662903554125,0.023230730785909055,0.016666666666666666
off,Unavailable,defectors25,25% defectors,63,"Agent_4,Agent_8",649dbc344aed05dfb8ed735c08b7aeaa52251892,0.86,0.35634920634920636,3.807916149387872,0.03844783254355146,0.016666666666666666
off,Unavailable,defectors25,25% defectors,64,"Agent_1,Agent_8",649dbc344aed05dfb8ed735c08b7aeaa52251892,0.7733333333333335,0.42359126984126994,4.194818543647822,0.007645259938837921,0.05
off,Unavailable,defectors25,25% defectors,65,"Agent_3,Agent_7",649dbc344aed05dfb8ed735c08b7aeaa52251892,0.7866666666666667,0.35262663398692806,4.365218238056184,0.03545122104423896,0.016666666666666666
on,Available,control,0% defectors,61,,3048f7be4bce8b453454a487eb48334a2774c03f,0.7775000000000001,0.3598769841269841,4.328743095383522,0.04008076422636781,0.025
on,Available,control,0% defectors,62,,3048f7be4bce8b453454a487eb48334a2774c03f,0.8399999999999999,0.4188333333333333,4.395103428518601,0.06406495876933258,0.0125
on,Available,control,0% defectors,63,,3048f7be4bce8b453454a487eb48334a2774c03f,0.765,0.41866666666666663,3.856603867718672,0.12099869205300764,0.0125
on,Available,control,0% defectors,64,,3048f7be4bce8b453454a487eb48334a2774c03f,0.85,0.40588055555555547,3.8803417441408685,0.011547405700631506,0.0375
on,Available,control,0% defectors,65,,3048f7be4bce8b453454a487eb48334a2774c03f,0.8150000000000001,0.45100694444444456,3.396460730395546,0.05032287492609949,0.05
on,Available,defectors25,25% defectors,61,"Agent_2,Agent_8",3048f7be4bce8b453454a487eb48334a2774c03f,0.8066666666666669,0.4204494949494949,4.794761632045845,0.03043808520518855,0.03333333333333333
on,Available,defectors25,25% defectors,62,"Agent_1,Agent_3",3048f7be4bce8b453454a487eb48334a2774c03f,0.8466666666666666,0.4552833333333334,3.9950495825654757,0.13083680639666484,0.03333333333333333
on,Available,defectors25,25% defectors,63,"Agent_4,Agent_8",3048f7be4bce8b453454a487eb48334a2774c03f,0.78,0.4502380952380953,3.8905242933858646,0.07655386851818068,0.08333333333333333
on,Available,defectors25,25% defectors,64,"Agent_1,Agent_8",3048f7be4bce8b453454a487eb48334a2774c03f,0.8533333333333334,0.4157777777777778,4.030007191197022,0.0920106219236185,0.0
on,Available,defectors25,25% defectors,65,"Agent_3,Agent_7",3048f7be4bce8b453454a487eb48334a2774c03f,0.7866666666666667,0.4465608465608466,4.458431982094117,0.10470173292244983,0.016666666666666666
