availability,availability_label,condition,condition_label,metric,metric_label,n,mean,sd,ci_low,ci_high
off,Unavailable,control,0% defectors,standard_send_ratio,Ordinary-agent proportion sent,5,0.8368,0.02112344668845499,0.8105717767289689,0.8630282232710311
off,Unavailable,control,0% defectors,standard_return_ratio,Ordinary receiver return ratio,5,0.3826561435786435,0.04971109568781219,0.32093166575182464,0.4443806214054624
off,Unavailable,control,0% defectors,standard_myth_coop_density,Ordinary myth cooperation density,5,4.189654032329516,0.2672090346480102,3.857870194012299,4.521437870646733
off,Unavailable,control,0% defectors,standard_myth_threat_density,Ordinary myth threat density,5,0.04989470816349737,0.04252018757499097,-0.002901077945240034,0.10269049427223478
off,Unavailable,control,0% defectors,standard_myth_half_rule,Ordinary myth explicit half-rule rate,5,0.025,0.026516504294495532,-0.007924588740690665,0.05792458874069067
off,Unavailable,defectors25,25% defectors,standard_send_ratio,Ordinary-agent proportion sent,5,0.812,0.048910348825399116,0.7512697807239141,0.872730219276086
off,Unavailable,defectors25,25% defectors,standard_return_ratio,Ordinary receiver return ratio,5,0.38601670486376377,0.050156720601015975,0.3237389106255171,0.44829449910201047
off,Unavailable,defectors25,25% defectors,standard_myth_coop_density,Ordinary myth cooperation density,5,4.166027711549175,0.2106884164819124,3.904423489965023,4.427631933133327
off,Unavailable,defectors25,25% defectors,standard_myth_threat_density,Ordinary myth threat density,5,0.03480880121045725,0.022765476083103274,0.006541729156099019,0.06307587326481548
off,Unavailable,defectors25,25% defectors,standard_myth_half_rule,Ordinary myth explicit half-rule rate,5,0.023333333333333334,0.014907119849998601,0.004823699298681341,0.04184296736798533
on,Available,control,0% defectors,standard_send_ratio,Ordinary-agent proportion sent,5,0.8095000000000001,0.03743327396848953,0.7630204513784284,0.8559795486215718
on,Available,control,0% defectors,standard_return_ratio,Ordinary receiver return ratio,5,0.41085289682539683,0.03301650253783046,0.3698574942775695,0.4518482993732242
on,Available,control,0% defectors,standard_myth_coop_density,Ordinary myth cooperation density,5,3.9714505732314413,0.4059690850448459,3.467373375947533,4.47552777051535
on,Available,control,0% defectors,standard_myth_threat_density,Ordinary myth threat density,5,0.0574029391350878,0.04044044168321606,0.0071894986255794935,0.10761637964459611
on,Available,control,0% defectors,standard_myth_half_rule,Ordinary myth explicit half-rule rate,5,0.027500000000000004,0.016298006013006624,0.007263352691141173,0.047736647308858834
on,Available,defectors25,25% defectors,standard_send_ratio,Ordinary-agent proportion sent,5,0.8146666666666669,0.03379677828169749,0.7727024238190081,0.8566309095143256
on,Available,defectors25,25% defectors,standard_return_ratio,Ordinary receiver return ratio,5,0.43766190957190965,0.018186867118472894,0.415079931430786,0.4602438877130333
on,Available,defectors25,25% defectors,standard_myth_coop_density,Ordinary myth cooperation density,5,4.233754936257665,0.381283671086819,3.760328728766196,4.707181143749135
on,Available,defectors25,25% defectors,standard_myth_threat_density,Ordinary myth threat density,5,0.08690822299322049,0.03731103398685825,0.04058045535598146,0.13323599063045952
on,Available,defectors25,25% defectors,standard_myth_half_rule,Ordinary myth explicit half-rule rate,5,0.03333333333333333,0.03118047822311618,-0.005382343923086577,0.07204901058975324
