availability,condition,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses,notifications
off,control,61,373271,22900,0,162,2,0,0
off,control,62,384641,23261,0,164,4,0,0
off,control,63,372138,23008,0,161,1,0,0
off,control,64,376035,23022,0,162,2,0,0
off,control,65,376178,22944,0,163,3,0,0
off,defectors25,61,343493,22816,0,146,6,20,0
off,defectors25,62,347631,22974,0,147,7,20,0
off,defectors25,63,338308,22219,0,147,7,20,0
off,defectors25,64,327866,22193,0,143,3,20,0
off,defectors25,65,346656,22793,0,148,8,20,0
on,control,61,532794,23961,0,200,0,0,40
on,control,62,535083,24173,0,200,0,0,40
on,control,63,539703,24390,0,202,2,0,40
on,control,64,533929,23914,0,203,3,0,40
on,control,65,535695,24077,0,202,2,0,40
on,defectors25,61,456051,23801,0,170,0,30,40
on,defectors25,62,451916,23460,0,171,1,30,40
on,defectors25,63,462160,23938,0,173,3,30,40
on,defectors25,64,451276,23357,0,171,1,30,40
on,defectors25,65,457676,23805,0,171,1,30,40
