condition,replicate_id,round,target_type,visible_return_ratio,deduction_spent,any_deduction
control,93,1,standard,0.5325034578146611,0,0.0
control,93,1,standard,0.5453333333333333,0,0.0
control,93,1,standard,0.5453333333333333,0,0.0
control,93,1,standard,0.5553333333333333,0,0.0
control,93,2,standard,0.6014981273408239,0,0.0
control,93,2,standard,0.5546334716459197,0,0.0
control,93,2,standard,0.5449346405228758,0,0.0
control,93,2,standard,0.48533333333333334,0,0.0
control,93,3,standard,0.45359160613397903,0,0.0
control,93,3,standard,0.42928039702233256,0,0.0
control,93,3,standard,0.5295950155763239,0,0.0
control,93,3,standard,0.5519999999999999,0,0.0
control,93,4,standard,0.44466666666666665,0,0.0
control,93,4,standard,0.5213333333333333,0,0.0
control,93,4,standard,0.4470404984423676,0,0.0
control,93,4,standard,0.5513333333333333,0,0.0
control,93,5,standard,0.5333333333333333,0,0.0
control,93,5,standard,0.502,0,0.0
control,93,5,standard,0.5640000000000001,0,0.0
control,93,5,standard,0.4706666666666666,0,0.0
control,93,6,standard,0.5548197203826343,0,0.0
control,93,6,standard,0.49,0,0.0
control,93,6,standard,0.5660000000000001,0,0.0
control,93,6,standard,0.5449398443029017,0,0.0
control,93,7,standard,0.48601662887377167,0,0.0
control,93,7,standard,0.5173116089613035,0,0.0
control,93,7,standard,0.4482758620689655,0,0.0
control,93,7,standard,0.5769511305616338,0,0.0
control,93,8,standard,0.522,0,0.0
control,93,8,standard,0.49600000000000005,0,0.0
control,93,8,standard,0.49828884325804246,0,0.0
control,93,8,standard,0.4653333333333334,0,0.0
control,93,9,standard,0.6890547263681593,0,0.0
control,93,9,standard,0.5026666666666667,0,0.0
control,93,9,standard,0.5,0,0.0
control,93,9,standard,0.5366043613707165,0,0.0
control,93,10,standard,0.44466666666666665,0,0.0
control,93,10,standard,0.502,0,0.0
control,93,10,standard,0.4936284372904091,0,0.0
control,93,10,standard,0.4826666666666667,0,0.0
control,94,1,standard,0.5289855072463769,0,0.0
control,94,1,standard,0.5660506502395619,0,0.0
control,94,1,standard,0.508,0,0.0
control,94,1,standard,0.5255066387141859,0,0.0
control,94,2,standard,0.5273333333333333,0,0.0
control,94,2,standard,0.49553264604811,0,0.0
control,94,2,standard,0.4533333333333333,0,0.0
control,94,2,standard,0.456,0,0.0
control,94,3,standard,0.47,0,0.0
control,94,3,standard,0.4968152866242038,0,0.0
control,94,3,standard,0.4393333333333333,0,0.0
control,94,3,standard,0.5273333333333333,0,0.0
control,94,4,standard,0.5646879756468798,0,0.0
control,94,4,standard,0.49466666666666664,0,0.0
control,94,4,standard,0.5519999999999999,0,0.0
control,94,4,standard,0.5279747832939322,0,0.0
control,94,5,standard,0.4373333333333333,0,0.0
control,94,5,standard,0.5173775671406003,0,0.0
control,94,5,standard,0.518,0,0.0
control,94,5,standard,0.48717948717948717,0,0.0
control,94,6,standard,0.5622895622895622,0,0.0
