availability,condition,lexicon,term,count
off,control,threat_defection,selfish,17
off,control,threat_defection,withholding,13
off,control,threat_defection,distrust,7
off,control,threat_defection,withhold,6
off,control,threat_defection,betrayal,5
off,control,threat_defection,selfishness,3
off,control,threat_defection,threatening,2
off,control,threat_defection,threatened,1
off,control,threat_defection,retaliation,1
off,control,punishment_deduction,retaliation,1
off,defectors25,threat_defection,withholding,13
off,defectors25,threat_defection,selfish,10
off,defectors25,threat_defection,withhold,7
off,defectors25,threat_defection,distrust,4
off,defectors25,threat_defection,selfishness,3
off,defectors25,threat_defection,threatening,3
off,defectors25,threat_defection,threatened,2
off,defectors25,threat_defection,betrayal,1
off,defectors25,threat_defection,betrayed,1
off,defectors25,threat_defection,selfishly,1
on,control,threat_defection,betrayal,19
on,control,threat_defection,selfish,17
on,control,threat_defection,withholding,8
on,control,threat_defection,punishment,8
on,control,threat_defection,punish,6
on,control,threat_defection,withhold,3
on,control,threat_defection,distrust,1
on,control,threat_defection,selfishness,1
on,control,threat_defection,retaliatory,1
on,control,threat_defection,punishing,1
on,control,threat_defection,betrayals,1
on,control,punishment_deduction,punishment,8
on,control,punishment_deduction,punish,6
on,control,punishment_deduction,retaliatory,1
on,control,punishment_deduction,punishing,1
on,defectors25,threat_defection,selfish,21
on,defectors25,threat_defection,betrayal,20
on,defectors25,threat_defection,betrayed,6
on,defectors25,threat_defection,punish,5
on,defectors25,threat_defection,withholding,5
on,defectors25,threat_defection,withhold,4
on,defectors25,threat_defection,threat,2
on,defectors25,threat_defection,selfishness,2
on,defectors25,threat_defection,zero,2
on,defectors25,threat_defection,punishment,2
on,defectors25,threat_defection,betrayer,1
on,defectors25,threat_defection,punishing,1
on,defectors25,threat_defection,selfishly,1
on,defectors25,threat_defection,distrust,1
on,defectors25,punishment_deduction,punish,5
on,defectors25,punishment_deduction,punishment,2
on,defectors25,punishment_deduction,punishing,1
on,defectors25,punishment_deduction,penalty,1
