metric,contrast_type,replicate_id,difference
standard_return_ratio,availability_defectors25,93,0.003287878787878784
standard_return_ratio,availability_defectors25,94,0.0006818181818181168
standard_return_ratio,availability_defectors25,95,0.0038888888888889417
standard_return_ratio,availability_control,93,0.007158333333333267
standard_return_ratio,availability_control,94,0.0017916666666666359
standard_return_ratio,availability_control,95,0.001741666666666697
standard_return_ratio,availability_main,93,0.005223106060606025
standard_return_ratio,availability_main,94,0.0012367424242423763
standard_return_ratio,availability_main,95,0.0028152777777778193
standard_return_ratio,interaction,93,-0.0038704545454544825
standard_return_ratio,interaction,94,-0.001109848484848519
standard_return_ratio,interaction,95,0.002147222222222245
standard_return_ratio,defector_effect_off,93,0.00012651515151507198
standard_return_ratio,defector_effect_off,94,0.0014030303030302949
standard_return_ratio,defector_effect_off,95,0.003432539682539648
standard_return_ratio,defector_effect_on,93,-0.0037439393939394106
standard_return_ratio,defector_effect_on,94,0.0002931818181817758
standard_return_ratio,defector_effect_on,95,0.005579761904761893
standard_send_ratio,availability_defectors25,93,0.0
standard_send_ratio,availability_defectors25,94,0.0
standard_send_ratio,availability_defectors25,95,0.0
standard_send_ratio,availability_control,93,0.0
standard_send_ratio,availability_control,94,0.0
standard_send_ratio,availability_control,95,0.0
standard_send_ratio,availability_main,93,0.0
standard_send_ratio,availability_main,94,0.0
standard_send_ratio,availability_main,95,0.0
standard_send_ratio,interaction,93,0.0
standard_send_ratio,interaction,94,0.0
standard_send_ratio,interaction,95,0.0
standard_send_ratio,defector_effect_off,93,0.0
standard_send_ratio,defector_effect_off,94,0.0
standard_send_ratio,defector_effect_off,95,0.0
standard_send_ratio,defector_effect_on,93,0.0
standard_send_ratio,defector_effect_on,94,0.0
standard_send_ratio,defector_effect_on,95,0.0
myth_coop_density,availability_defectors25,93,0.3563948463018516
myth_coop_density,availability_defectors25,94,0.615610134264073
myth_coop_density,availability_defectors25,95,0.7369150385674468
myth_coop_density,availability_control,93,0.42889662478232626
myth_coop_density,availability_control,94,0.2385958416531806
myth_coop_density,availability_control,95,0.0016862606629701737
myth_coop_density,availability_main,93,0.3926457355420889
myth_coop_density,availability_main,94,0.4271029879586268
myth_coop_density,availability_main,95,0.3693006496152085
myth_coop_density,interaction,93,-0.07250177848047468
myth_coop_density,interaction,94,0.37701429261089237
myth_coop_density,interaction,95,0.7352287779044766
myth_coop_density,defector_effect_off,93,0.22440749069096766
myth_coop_density,defector_effect_off,94,-0.16335278664799802
myth_coop_density,defector_effect_off,95,-0.27997254611694355
myth_coop_density,defector_effect_on,93,0.15190571221049298
myth_coop_density,defector_effect_on,94,0.21366150596289435
myth_coop_density,defector_effect_on,95,0.45525623178753305
myth_threat_density,availability_defectors25,93,0.04620121519370729
myth_threat_density,availability_defectors25,94,0.08650006277881347
myth_threat_density,availability_defectors25,95,0.1091616833113888
myth_threat_density,availability_control,93,0.023681976369488184
myth_threat_density,availability_control,94,0.04763294574366303
myth_threat_density,availability_control,95,-6.72972878169309e-05
myth_threat_density,availability_main,93,0.03494159578159774
myth_threat_density,availability_main,94,0.06706650426123825
myth_threat_density,availability_main,95,0.054547193011785934
myth_threat_density,interaction,93,0.022519238824219107
myth_threat_density,interaction,94,0.038867117035150445
myth_threat_density,interaction,95,0.10922898059920573
myth_threat_density,defector_effect_off,93,0.022823623636054974
myth_threat_density,defector_effect_off,94,0.06532646021070143
myth_threat_density,defector_effect_off,95,-0.05455660273011058
myth_threat_density,defector_effect_on,93,0.04534286246027408
myth_threat_density,defector_effect_on,94,0.10419357724585188
myth_threat_density,defector_effect_on,95,0.05467237786909515
myth_half_rule,availability_defectors25,93,0.25
myth_half_rule,availability_defectors25,94,0.16666666666666663
myth_half_rule,availability_defectors25,95,0.10000000000000009
myth_half_rule,availability_control,93,0.0
myth_half_rule,availability_control,94,0.09999999999999998
myth_half_rule,availability_control,95,0.15000000000000002
myth_half_rule,availability_main,93,0.125
myth_half_rule,availability_main,94,0.1333333333333333
myth_half_rule,availability_main,95,0.12500000000000006
myth_half_rule,interaction,93,0.25
myth_half_rule,interaction,94,0.06666666666666665
myth_half_rule,interaction,95,-0.04999999999999993
myth_half_rule,defector_effect_off,93,-0.16249999999999998
myth_half_rule,defector_effect_off,94,-0.0625
myth_half_rule,defector_effect_off,95,0.02083333333333326
myth_half_rule,defector_effect_on,93,0.08750000000000002
myth_half_rule,defector_effect_on,94,0.004166666666666652
myth_half_rule,defector_effect_on,95,-0.029166666666666674
myth_punishment_density,availability_defectors25,93,0.02665118254152781
myth_punishment_density,availability_defectors25,94,0.02636514135159646
myth_punishment_density,availability_defectors25,95,0.026656406864740197
myth_punishment_density,availability_control,93,0.0
myth_punishment_density,availability_control,94,0.059885076939698634
myth_punishment_density,availability_control,95,0.038277485811383974
myth_punishment_density,availability_main,93,0.013325591270763906
myth_punishment_density,availability_main,94,0.043125109145647544
myth_punishment_density,availability_main,95,0.03246694633806209
myth_punishment_density,interaction,93,0.02665118254152781
myth_punishment_density,interaction,94,-0.03351993558810218
myth_punishment_density,interaction,95,-0.011621078946643777
myth_punishment_density,defector_effect_off,93,0.0
myth_punishment_density,defector_effect_off,94,0.0
myth_punishment_density,defector_effect_off,95,-0.006613756613756613
myth_punishment_density,defector_effect_on,93,0.02665118254152781
myth_punishment_density,defector_effect_on,94,-0.03351993558810218
myth_punishment_density,defector_effect_on,95,-0.01823483556040039
myth_punishment_presence,availability_defectors25,93,0.05
myth_punishment_presence,availability_defectors25,94,0.05
myth_punishment_presence,availability_defectors25,95,0.05
myth_punishment_presence,availability_control,93,0.0
myth_punishment_presence,availability_control,94,0.1125
myth_punishment_presence,availability_control,95,0.075
myth_punishment_presence,availability_main,93,0.025
myth_punishment_presence,availability_main,94,0.08125
myth_punishment_presence,availability_main,95,0.0625
myth_punishment_presence,interaction,93,0.05
myth_punishment_presence,interaction,94,-0.0625
myth_punishment_presence,interaction,95,-0.024999999999999994
myth_punishment_presence,defector_effect_off,93,0.0
myth_punishment_presence,defector_effect_off,94,0.0
myth_punishment_presence,defector_effect_off,95,-0.0125
myth_punishment_presence,defector_effect_on,93,0.05
myth_punishment_presence,defector_effect_on,94,-0.0625
myth_punishment_presence,defector_effect_on,95,-0.03749999999999999
