availability,condition,replicate_id,round,trustee_id,received,returned,return_ratio
off,control,93,1,Agent_1,15.0,7.23,0.48200000000000004
off,control,93,1,Agent_3,15.0,7.5,0.5
off,control,93,1,Agent_7,15.0,7.5,0.5
off,control,93,1,Agent_8,15.0,7.5,0.5
off,control,93,2,Agent_2,15.0,6.12,0.40800000000000003
off,control,93,2,Agent_4,15.0,7.5,0.5
off,control,93,2,Agent_5,15.0,7.0,0.4666666666666667
off,control,93,2,Agent_6,15.0,7.23,0.48200000000000004
off,control,93,3,Agent_1,15.0,6.05,0.4033333333333333
off,control,93,3,Agent_3,15.0,6.2,0.41333333333333333
off,control,93,3,Agent_5,15.0,7.5,0.5
off,control,93,3,Agent_7,15.0,6.42,0.428
off,control,93,4,Agent_2,15.0,7.5,0.5
off,control,93,4,Agent_4,15.0,7.5,0.5
off,control,93,4,Agent_6,15.0,7.5,0.5
off,control,93,4,Agent_8,15.0,6.42,0.428
off,control,93,5,Agent_1,15.0,7.5,0.5
off,control,93,5,Agent_2,15.0,7.5,0.5
off,control,93,5,Agent_6,15.0,7.5,0.5
off,control,93,5,Agent_7,15.0,7.5,0.5
off,control,93,6,Agent_3,15.0,7.07,0.4713333333333333
off,control,93,6,Agent_4,15.0,7.5,0.5
off,control,93,6,Agent_5,15.0,7.5,0.5
off,control,93,6,Agent_8,15.0,6.8,0.4533333333333333
off,control,93,7,Agent_1,15.0,6.525,0.435
off,control,93,7,Agent_3,15.0,7.37,0.49133333333333334
off,control,93,7,Agent_5,15.0,6.615,0.441
off,control,93,7,Agent_7,15.0,6.855,0.457
off,control,93,8,Agent_2,15.0,7.305,0.487
off,control,93,8,Agent_4,15.0,7.5,0.5
off,control,93,8,Agent_6,15.0,7.5,0.5
off,control,93,8,Agent_8,15.0,7.5,0.5
off,control,93,9,Agent_2,15.0,6.42,0.428
off,control,93,9,Agent_3,15.0,7.5,0.5
off,control,93,9,Agent_5,15.0,7.5,0.5
off,control,93,9,Agent_7,15.0,6.03,0.402
off,control,93,10,Agent_1,15.0,7.5,0.5
off,control,93,10,Agent_4,15.0,7.5,0.5
off,control,93,10,Agent_6,15.0,7.455,0.497
off,control,93,10,Agent_8,15.0,7.5,0.5
off,control,94,1,Agent_1,15.0,7.31,0.4873333333333333
off,control,94,1,Agent_3,15.0,7.15,0.4766666666666667
off,control,94,1,Agent_4,15.0,7.5,0.5
off,control,94,1,Agent_5,15.0,6.21,0.414
off,control,94,2,Agent_2,15.0,7.28,0.48533333333333334
off,control,94,2,Agent_6,15.0,7.5,0.5
off,control,94,2,Agent_7,15.0,7.5,0.5
off,control,94,2,Agent_8,15.0,7.5,0.5
off,control,94,3,Agent_2,15.0,7.5,0.5
off,control,94,3,Agent_3,15.0,7.5,0.5
off,control,94,3,Agent_4,15.0,7.065,0.47100000000000003
off,control,94,3,Agent_5,15.0,7.5,0.5
off,control,94,4,Agent_1,15.0,6.57,0.438
off,control,94,4,Agent_6,15.0,6.345,0.423
off,control,94,4,Agent_7,15.0,7.5,0.5
off,control,94,4,Agent_8,15.0,7.5,0.5
off,control,94,5,Agent_3,15.0,7.5,0.5
off,control,94,5,Agent_4,15.0,7.5,0.5
off,control,94,5,Agent_7,15.0,6.045,0.40299999999999997
off,control,94,5,Agent_8,15.0,6.33,0.422
off,control,94,6,Agent_1,15.0,7.425,0.495
off,control,94,6,Agent_2,15.0,6.975,0.46499999999999997
off,control,94,6,Agent_5,15.0,7.23,0.48200000000000004
off,control,94,6,Agent_6,15.0,7.5,0.5
off,control,94,7,Agent_4,15.0,7.275,0.48500000000000004
off,control,94,7,Agent_5,15.0,6.09,0.40599999999999997
off,control,94,7,Agent_7,15.0,7.5,0.5
off,control,94,7,Agent_8,15.0,7.5,0.5
off,control,94,8,Agent_1,15.0,7.5,0.5
off,control,94,8,Agent_2,15.0,7.5,0.5
off,control,94,8,Agent_3,15.0,7.44,0.49600000000000005
off,control,94,8,Agent_6,15.0,7.5,0.5
off,control,94,9,Agent_1,15.0,7.5,0.5
off,control,94,9,Agent_5,15.0,7.5,0.5
off,control,94,9,Agent_6,15.0,7.5,0.5
off,control,94,9,Agent_8,15.0,7.5,0.5
off,control,94,10,Agent_2,15.0,7.5,0.5
off,control,94,10,Agent_3,15.0,7.5,0.5
off,control,94,10,Agent_4,15.0,7.5,0.5
off,control,94,10,Agent_7,15.0,7.5,0.5
off,control,95,1,Agent_2,15.0,6.42,0.428
off,control,95,1,Agent_3,15.0,7.5,0.5
off,control,95,1,Agent_6,15.0,7.5,0.5
off,control,95,1,Agent_8,15.0,6.09,0.40599999999999997
off,control,95,2,Agent_1,15.0,6.33,0.422
off,control,95,2,Agent_4,15.0,7.5,0.5
off,control,95,2,Agent_5,15.0,7.5,0.5
off,control,95,2,Agent_7,15.0,7.1,0.47333333333333333
off,control,95,3,Agent_1,15.0,6.98,0.4653333333333334
off,control,95,3,Agent_4,15.0,7.0,0.4666666666666667
off,control,95,3,Agent_6,15.0,6.86,0.45733333333333337
off,control,95,3,Agent_8,15.0,6.12,0.40800000000000003
off,control,95,4,Agent_2,15.0,6.86,0.45733333333333337
off,control,95,4,Agent_3,15.0,7.08,0.47200000000000003
off,control,95,4,Agent_5,15.0,7.5,0.5
off,control,95,4,Agent_7,15.0,6.68,0.4453333333333333
off,control,95,5,Agent_3,15.0,6.615,0.441
off,control,95,5,Agent_4,15.0,7.5,0.5
off,control,95,5,Agent_5,15.0,7.5,0.5
off,control,95,5,Agent_6,15.0,7.5,0.5
off,control,95,6,Agent_1,15.0,7.5,0.5
off,control,95,6,Agent_2,15.0,7.5,0.5
off,control,95,6,Agent_7,15.0,6.96,0.464
off,control,95,6,Agent_8,15.0,6.975,0.46499999999999997
off,control,95,7,Agent_1,15.0,7.5,0.5
off,control,95,7,Agent_3,15.0,6.495,0.433
off,control,95,7,Agent_5,15.0,7.5,0.5
off,control,95,7,Agent_8,15.0,6.78,0.452
off,control,95,8,Agent_2,15.0,6.855,0.457
off,control,95,8,Agent_4,15.0,6.72,0.448
off,control,95,8,Agent_6,15.0,7.47,0.498
off,control,95,8,Agent_7,15.0,7.5,0.5
off,control,95,9,Agent_2,15.0,6.705,0.447
off,control,95,9,Agent_3,15.0,7.5,0.5
off,control,95,9,Agent_4,15.0,7.5,0.5
off,control,95,9,Agent_6,15.0,7.275,0.48500000000000004
off,control,95,10,Agent_1,15.0,7.5,0.5
off,control,95,10,Agent_5,15.0,6.18,0.412
off,control,95,10,Agent_7,15.0,7.5,0.5
off,control,95,10,Agent_8,15.0,7.5,0.5
off,defectors25,93,1,Agent_3,15.0,7.5,0.5
off,defectors25,93,1,Agent_7,15.0,7.5,0.5
off,defectors25,93,2,Agent_2,15.0,6.12,0.40800000000000003
off,defectors25,93,2,Agent_4,15.0,7.5,0.5
off,defectors25,93,2,Agent_6,15.0,7.5,0.5
off,defectors25,93,3,Agent_1,15.0,6.5,0.43333333333333335
