availability,condition,replicate_id,round,visible_receipt,returned,half_visible_error,exact_half_visible,within_half_cent
off,control,93,1,14.46,7.23,0.0,True,True
off,control,93,1,15.0,7.5,0.0,True,True
off,control,93,1,15.0,7.5,0.0,True,True
off,control,93,1,15.0,7.5,0.0,True,True
off,control,93,2,13.350000000000001,7.0,0.3249999999999993,False,False
off,control,93,2,14.46,7.23,0.0,True,True
off,control,93,2,12.24,6.12,0.0,True,True
off,control,93,2,15.0,7.5,0.0,True,True
off,control,93,3,12.39,6.2,0.004999999999999893,False,True
off,control,93,3,12.09,6.05,0.004999999999999893,False,True
off,control,93,3,12.84,6.42,0.0,True,True
off,control,93,3,15.0,7.5,0.0,True,True
off,control,93,4,15.0,7.5,0.0,True,True
off,control,93,4,15.0,7.5,0.0,True,True
off,control,93,4,12.84,6.42,0.0,True,True
off,control,93,4,15.0,7.5,0.0,True,True
off,control,93,5,15.0,7.5,0.0,True,True
off,control,93,5,15.0,7.5,0.0,True,True
off,control,93,5,15.0,7.5,0.0,True,True
off,control,93,5,15.0,7.5,0.0,True,True
off,control,93,6,13.59,6.8,0.004999999999999893,False,True
off,control,93,6,15.0,7.5,0.0,True,True
off,control,93,6,15.0,7.5,0.0,True,True
off,control,93,6,14.129999999999999,7.07,0.005000000000000782,False,True
off,control,93,7,13.23,6.615,0.0,True,True
off,control,93,7,14.73,7.37,0.004999999999999893,False,True
off,control,93,7,13.049999999999999,6.525,8.881784197001252e-16,True,True
off,control,93,7,13.71,6.855,0.0,True,True
off,control,93,8,15.0,7.5,0.0,True,True
off,control,93,8,15.0,7.5,0.0,True,True
off,control,93,8,14.61,7.305,0.0,True,True
off,control,93,8,15.0,7.5,0.0,True,True
off,control,93,9,12.059999999999999,6.03,8.881784197001252e-16,True,True
off,control,93,9,15.0,7.5,0.0,True,True
off,control,93,9,15.0,7.5,0.0,True,True
off,control,93,9,12.84,6.42,0.0,True,True
off,control,93,10,15.0,7.5,0.0,True,True
off,control,93,10,15.0,7.5,0.0,True,True
off,control,93,10,14.91,7.455,0.0,True,True
off,control,93,10,15.0,7.5,0.0,True,True
off,control,94,1,12.419999999999998,6.21,8.881784197001252e-16,True,True
off,control,94,1,14.61,7.31,0.004999999999999893,False,True
off,control,94,1,15.0,7.5,0.0,True,True
off,control,94,1,14.309999999999999,7.15,-0.004999999999999005,False,True
off,control,94,2,15.0,7.5,0.0,True,True
off,control,94,2,14.549999999999999,7.28,0.005000000000000782,False,True
off,control,94,2,15.0,7.5,0.0,True,True
off,control,94,2,15.0,7.5,0.0,True,True
off,control,94,3,15.0,7.5,0.0,True,True
off,control,94,3,14.129999999999999,7.065,8.881784197001252e-16,True,True
off,control,94,3,15.0,7.5,0.0,True,True
off,control,94,3,15.0,7.5,0.0,True,True
off,control,94,4,13.14,6.57,0.0,True,True
off,control,94,4,15.0,7.5,0.0,True,True
off,control,94,4,15.0,7.5,0.0,True,True
off,control,94,4,12.690000000000001,6.345,-8.881784197001252e-16,True,True
off,control,94,5,15.0,7.5,0.0,True,True
off,control,94,5,12.66,6.33,0.0,True,True
off,control,94,5,15.0,7.5,0.0,True,True
off,control,94,5,12.09,6.045,0.0,True,True
off,control,94,6,14.850000000000001,7.425,-8.881784197001252e-16,True,True
off,control,94,6,14.46,7.23,0.0,True,True
off,control,94,6,15.0,7.5,0.0,True,True
off,control,94,6,13.950000000000001,6.975,-8.881784197001252e-16,True,True
off,control,94,7,12.18,6.09,0.0,True,True
off,control,94,7,15.0,7.5,0.0,True,True
off,control,94,7,14.549999999999999,7.275,8.881784197001252e-16,True,True
off,control,94,7,15.0,7.5,0.0,True,True
off,control,94,8,15.0,7.5,0.0,True,True
off,control,94,8,15.0,7.5,0.0,True,True
off,control,94,8,14.879999999999999,7.44,8.881784197001252e-16,True,True
off,control,94,8,15.0,7.5,0.0,True,True
off,control,94,9,15.0,7.5,0.0,True,True
off,control,94,9,15.0,7.5,0.0,True,True
off,control,94,9,15.0,7.5,0.0,True,True
off,control,94,9,15.0,7.5,0.0,True,True
off,control,94,10,15.0,7.5,0.0,True,True
off,control,94,10,15.0,7.5,0.0,True,True
off,control,94,10,15.0,7.5,0.0,True,True
off,control,94,10,15.0,7.5,0.0,True,True
off,control,95,1,12.84,6.42,0.0,True,True
off,control,95,1,12.18,6.09,0.0,True,True
off,control,95,1,15.0,7.5,0.0,True,True
off,control,95,1,15.0,7.5,0.0,True,True
off,control,95,2,14.73,7.5,0.1349999999999998,False,False
off,control,95,2,15.0,7.5,0.0,True,True
off,control,95,2,12.66,6.33,0.0,True,True
off,control,95,2,14.190000000000001,7.1,0.004999999999999005,False,True
off,control,95,3,13.68,7.0,0.16000000000000014,False,False
off,control,95,3,13.71,6.86,0.004999999999999893,False,True
off,control,95,3,13.950000000000001,6.98,0.004999999999999893,False,True
off,control,95,3,12.24,6.12,0.0,True,True
off,control,95,4,13.71,6.86,0.004999999999999893,False,True
off,control,95,4,13.350000000000001,6.68,0.004999999999999005,False,True
off,control,95,4,13.77,7.5,0.6150000000000002,False,False
off,control,95,4,14.16,7.08,0.0,True,True
off,control,95,5,15.0,7.5,0.0,True,True
off,control,95,5,15.0,7.5,0.0,True,True
off,control,95,5,13.41,7.5,0.7949999999999999,False,False
off,control,95,5,13.23,6.615,0.0,True,True
off,control,95,6,13.919999999999998,6.96,8.881784197001252e-16,True,True
off,control,95,6,15.0,7.5,0.0,True,True
off,control,95,6,13.950000000000001,6.975,-8.881784197001252e-16,True,True
off,control,95,6,15.0,7.5,0.0,True,True
off,control,95,7,15.0,7.5,0.0,True,True
off,control,95,7,15.0,7.5,0.0,True,True
off,control,95,7,12.99,6.495,0.0,True,True
off,control,95,7,13.559999999999999,6.78,8.881784197001252e-16,True,True
off,control,95,8,15.0,7.5,0.0,True,True
off,control,95,8,14.940000000000001,7.47,-8.881784197001252e-16,True,True
off,control,95,8,13.71,6.855,0.0,True,True
off,control,95,8,13.440000000000001,6.72,-8.881784197001252e-16,True,True
off,control,95,9,15.0,7.5,0.0,True,True
off,control,95,9,14.549999999999999,7.275,8.881784197001252e-16,True,True
off,control,95,9,15.0,7.5,0.0,True,True
off,control,95,9,13.41,6.705,0.0,True,True
off,control,95,10,15.0,7.5,0.0,True,True
off,control,95,10,15.0,7.5,0.0,True,True
off,control,95,10,15.0,7.5,0.0,True,True
off,control,95,10,12.36,6.18,0.0,True,True
off,defectors25,93,1,15.0,7.5,0.0,True,True
off,defectors25,93,1,15.0,7.5,0.0,True,True
off,defectors25,93,2,14.46,7.5,0.2699999999999996,False,False
off,defectors25,93,2,12.24,6.12,0.0,True,True
off,defectors25,93,2,15.0,7.5,0.0,True,True
off,defectors25,93,3,12.09,6.5,0.45500000000000007,False,False
off,defectors25,93,3,12.84,6.42,0.0,True,True
off,defectors25,93,4,15.0,7.5,0.0,True,True
off,defectors25,93,4,15.0,7.5,0.0,True,True
off,defectors25,93,5,15.0,7.5,0.0,True,True
off,defectors25,93,5,15.0,7.5,0.0,True,True
off,defectors25,93,6,15.0,7.5,0.0,True,True
off,defectors25,93,6,14.129999999999999,7.07,0.005000000000000782,False,True
off,defectors25,93,7,14.73,7.37,0.004999999999999893,False,True
off,defectors25,93,7,13.049999999999999,6.52,-0.004999999999999893,False,True
off,defectors25,93,8,15.0,7.5,0.0,True,True
off,defectors25,93,8,15.0,7.5,0.0,True,True
off,defectors25,93,9,12.059999999999999,6.03,8.881784197001252e-16,True,True
off,defectors25,93,9,15.0,7.5,0.0,True,True
off,defectors25,93,9,12.84,6.42,0.0,True,True
off,defectors25,93,10,15.0,7.5,0.0,True,True
off,defectors25,93,10,14.91,7.455,0.0,True,True
off,defectors25,94,1,12.419999999999998,6.21,8.881784197001252e-16,True,True
