availability,condition,replicate_id,round,standard_send_ratio,standard_return_ratio
off,control,93,1,1.0,0.4955
off,control,93,2,1.0,0.4641666666666667
off,control,93,3,1.0,0.43616666666666665
off,control,93,4,1.0,0.482
off,control,93,5,1.0,0.5
off,control,93,6,1.0,0.4811666666666667
off,control,93,7,1.0,0.45608333333333334
off,control,93,8,1.0,0.49675
off,control,93,9,1.0,0.4575
off,control,93,10,1.0,0.49924999999999997
off,control,94,1,1.0,0.46950000000000003
off,control,94,2,1.0,0.49633333333333335
off,control,94,3,1.0,0.49275
off,control,94,4,1.0,0.46525
off,control,94,5,1.0,0.45625
off,control,94,6,1.0,0.48550000000000004
off,control,94,7,1.0,0.47275
off,control,94,8,1.0,0.499
off,control,94,9,1.0,0.5
off,control,94,10,1.0,0.5
off,control,95,1,1.0,0.4585
off,control,95,2,1.0,0.47383333333333333
off,control,95,3,1.0,0.44933333333333336
off,control,95,4,1.0,0.4686666666666667
off,control,95,5,1.0,0.48525
off,control,95,6,1.0,0.48224999999999996
off,control,95,7,1.0,0.47125
off,control,95,8,1.0,0.47575
off,control,95,9,1.0,0.48300000000000004
off,control,95,10,1.0,0.478
off,defectors25,93,1,1.0,0.5
off,defectors25,93,2,1.0,0.4693333333333333
off,defectors25,93,3,1.0,0.43066666666666664
off,defectors25,93,4,1.0,0.5
off,defectors25,93,5,1.0,0.5
off,defectors25,93,6,1.0,0.4856666666666667
off,defectors25,93,7,1.0,0.46299999999999997
off,defectors25,93,8,1.0,0.5
off,defectors25,93,9,1.0,0.44333333333333336
off,defectors25,93,10,1.0,0.4985
off,defectors25,94,1,1.0,0.45699999999999996
off,defectors25,94,2,1.0,0.5
off,defectors25,94,3,1.0,0.5
off,defectors25,94,4,1.0,0.5
off,defectors25,94,5,1.0,0.44177777777777777
off,defectors25,94,6,1.0,0.48288888888888887
off,defectors25,94,7,1.0,0.49250000000000005
off,defectors25,94,8,1.0,0.5
off,defectors25,94,9,1.0,0.5
off,defectors25,94,10,1.0,0.5
off,defectors25,95,1,1.0,0.43733333333333335
off,defectors25,95,2,1.0,0.46099999999999997
off,defectors25,95,3,1.0,0.461
off,defectors25,95,4,1.0,0.4666666666666667
off,defectors25,95,5,1.0,0.4736666666666667
off,defectors25,95,6,1.0,0.5
off,defectors25,95,7,1.0,0.48888888888888893
off,defectors25,95,8,1.0,0.499
off,defectors25,95,9,1.0,0.4661666666666667
off,defectors25,95,10,1.0,0.5
on,control,93,1,1.0,0.4955
on,control,93,2,1.0,0.477
on,control,93,3,1.0,0.43616666666666665
on,control,93,4,1.0,0.482
on,control,93,5,1.0,0.5
on,control,93,6,1.0,0.4811666666666667
on,control,93,7,1.0,0.4691666666666667
on,control,93,8,1.0,0.5
on,control,93,9,1.0,0.5
on,control,93,10,1.0,0.49916666666666665
on,control,94,1,1.0,0.4751666666666666
on,control,94,2,1.0,0.5
on,control,94,3,1.0,0.5
on,control,94,4,1.0,0.4653333333333333
on,control,94,5,1.0,0.4563333333333333
on,control,94,6,1.0,0.48558333333333337
on,control,94,7,1.0,0.4728333333333333
on,control,94,8,1.0,0.5
on,control,94,9,1.0,0.5
on,control,94,10,1.0,0.5
on,control,95,1,1.0,0.4585
on,control,95,2,1.0,0.48333333333333334
on,control,95,3,1.0,0.4578333333333333
on,control,95,4,1.0,0.47191666666666665
on,control,95,5,1.0,0.47208333333333335
on,control,95,6,1.0,0.49133333333333334
on,control,95,7,1.0,0.4713333333333333
on,control,95,8,1.0,0.47583333333333333
on,control,95,9,1.0,0.48308333333333336
on,control,95,10,1.0,0.478
on,defectors25,93,1,1.0,0.5
on,defectors25,93,2,1.0,0.4693333333333333
on,defectors25,93,3,1.0,0.41566666666666663
on,defectors25,93,4,1.0,0.5
on,defectors25,93,5,1.0,0.5
on,defectors25,93,6,1.0,0.5
on,defectors25,93,7,1.0,0.5
on,defectors25,93,8,1.0,0.5
on,defectors25,93,9,1.0,0.44333333333333336
on,defectors25,93,10,1.0,0.49833333333333335
on,defectors25,94,1,1.0,0.45699999999999996
on,defectors25,94,2,1.0,0.5
on,defectors25,94,3,1.0,0.5
on,defectors25,94,4,1.0,0.5
on,defectors25,94,5,1.0,0.44177777777777777
on,defectors25,94,6,1.0,0.48288888888888887
on,defectors25,94,7,1.0,0.5
on,defectors25,94,8,1.0,0.5
on,defectors25,94,9,1.0,0.5
on,defectors25,94,10,1.0,0.5
on,defectors25,95,1,1.0,0.45299999999999996
on,defectors25,95,2,1.0,0.46099999999999997
on,defectors25,95,3,1.0,0.461
on,defectors25,95,4,1.0,0.4666666666666667
on,defectors25,95,5,1.0,0.4736666666666667
on,defectors25,95,6,1.0,0.5
on,defectors25,95,7,1.0,0.5
on,defectors25,95,8,1.0,0.5
on,defectors25,95,9,1.0,0.4736666666666667
on,defectors25,95,10,1.0,0.5
