availability,availability_label,condition,condition_label,replicate_id,defector_ids,pairing_seed,noise_seed,standard_send_ratio,standard_return_ratio,myth_coop_density,myth_threat_density,myth_half_rule,myth_punishment_density,myth_punishment_presence
off,Deduction unavailable,control,0% defectors,93,,202608214,202608214,1.0,0.4768583333333334,1.8533714016475358,0.13240014138765716,0.6625,0.0,0.0
off,Deduction unavailable,control,0% defectors,94,,202608215,202608215,1.0,0.48373333333333335,2.1826603074997357,0.09097289515201623,0.7125,0.0,0.0
off,Deduction unavailable,control,0% defectors,95,,202608216,202608216,1.0,0.4725833333333333,2.2951664143909434,0.1319116848790761,0.7125,0.006613756613756613,0.0125
off,Deduction unavailable,defectors25,25% defectors,93,"Agent_5,Agent_8",202608214,202608214,1.0,0.47698484848484846,2.0777788923385034,0.15522376502371213,0.5,0.0,0.0
off,Deduction unavailable,defectors25,25% defectors,94,"Agent_1,Agent_3",202608215,202608215,1.0,0.48513636363636364,2.0193075208517377,0.15629935536271766,0.65,0.0,0.0
off,Deduction unavailable,defectors25,25% defectors,95,"Agent_3,Agent_4",202608216,202608216,1.0,0.47601587301587295,2.015193868274,0.07735508214896551,0.7333333333333333,0.0,0.0
on,Deduction available,control,0% defectors,93,,202608214,202608214,1.0,0.48401666666666665,2.282268026429862,0.15608211775714534,0.6625,0.0,0.0
on,Deduction available,control,0% defectors,94,,202608215,202608215,1.0,0.485525,2.4212561491529163,0.13860584089567926,0.8125,0.059885076939698634,0.1125
on,Deduction available,control,0% defectors,95,,202608216,202608216,1.0,0.474325,2.2968526750539136,0.13184438759125916,0.8625,0.04489124242514059,0.0875
on,Deduction available,defectors25,25% defectors,93,"Agent_5,Agent_8",202608214,202608214,1.0,0.48027272727272724,2.434173738640355,0.20142498021741942,0.75,0.02665118254152781,0.05
on,Deduction available,defectors25,25% defectors,94,"Agent_1,Agent_3",202608215,202608215,1.0,0.48581818181818176,2.6349176551158107,0.24279941814153114,0.8166666666666667,0.02636514135159646,0.05
on,Deduction available,defectors25,25% defectors,95,"Agent_3,Agent_4",202608216,202608216,1.0,0.4799047619047619,2.7521089068414466,0.1865167654603543,0.8333333333333334,0.026656406864740197,0.05
