availability,condition,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses,notifications
off,control,93,351964,20232,23537,160,0,0,0
off,control,94,353702,20159,28119,160,0,0,0
off,control,95,353780,20166,23840,160,0,0,0
off,defectors25,93,309223,19864,24824,140,0,20,0
off,defectors25,94,308499,19963,24400,140,0,20,0
off,defectors25,95,305611,19628,19162,140,0,20,0
on,control,93,513619,20857,25445,200,0,0,40
on,control,94,508723,20410,29611,200,0,0,40
on,control,95,517970,21127,29311,200,0,0,40
on,defectors25,93,432937,20168,24593,170,0,30,40
on,defectors25,94,431621,20099,24064,170,0,30,40
on,defectors25,95,438113,20673,25239,170,0,30,40
