arm,lexicon,term,count
off,threat_defection,betrayal,18
off,threat_defection,withhold,15
off,threat_defection,selfishness,12
off,threat_defection,threatened,8
off,threat_defection,selfish,6
off,threat_defection,zero,4
off,threat_defection,withholding,4
off,threat_defection,threat,4
off,threat_defection,betrayals,3
off,threat_defection,exploited,3
off,threat_defection,distrust,3
off,threat_defection,withholds,2
off,threat_defection,betrayed,1
off,threat_defection,threatens,1
off,threat_defection,revenge,1
off,threat_defection,threatening,1
off,punishment_deduction,consequence,3
off,punishment_deduction,consequences,1
off,punishment_deduction,revenge,1
on,threat_defection,betrayal,119
on,threat_defection,threat,72
on,threat_defection,punish,70
on,threat_defection,withhold,29
on,threat_defection,punishment,27
on,threat_defection,zero,23
on,threat_defection,selfishness,17
on,threat_defection,exploitation,17
on,threat_defection,withholding,16
on,threat_defection,betrayed,14
on,threat_defection,retaliation,14
on,threat_defection,threatened,11
on,threat_defection,distrust,11
on,threat_defection,betray,10
on,threat_defection,selfish,9
on,threat_defection,punishing,7
on,threat_defection,threats,6
on,threat_defection,betrayals,5
on,threat_defection,punished,5
on,threat_defection,exploited,5
on,threat_defection,threatens,3
on,threat_defection,retaliate,3
on,threat_defection,exploit,3
on,threat_defection,punishes,2
on,threat_defection,withholds,2
on,threat_defection,threatening,1
on,threat_defection,exploiting,1
on,punishment_deduction,deduction,91
on,punishment_deduction,punish,70
on,punishment_deduction,consequence,37
on,punishment_deduction,punishment,27
on,punishment_deduction,retaliation,14
on,punishment_deduction,consequences,10
on,punishment_deduction,punishing,7
on,punishment_deduction,punished,5
on,punishment_deduction,penalty,5
on,punishment_deduction,retaliate,3
on,punishment_deduction,punishes,2
on,punishment_deduction,deduct,2
on,punishment_deduction,penalties,1
