arm,replicate_id,round,standard_send_ratio,standard_return_ratio
off,70,1,1.0,0.5333333333333333
off,70,2,1.0,0.5333333333333333
off,70,3,1.0,0.6166666666666667
off,70,4,0.6666666666666666,0.5333333333333333
off,70,5,1.0,0.6666666666666666
off,70,6,0.85,0.6
off,70,7,1.0,0.4856666666666667
off,70,8,1.0,0.5123333333333333
off,70,9,1.0,0.4916666666666667
off,70,10,1.0,0.5773333333333334
off,71,1,1.0,0.48333333333333334
off,71,2,1.0,0.4553333333333333
off,71,3,1.0,0.5526666666666666
off,71,4,1.0,0.5693333333333332
off,71,5,1.0,0.5426666666666666
off,71,6,1.0,0.537
off,71,7,1.0,0.5386666666666666
off,71,8,1.0,0.4706666666666667
off,71,9,0.75,0.5
off,71,10,1.0,0.55
off,72,1,1.0,0.49133333333333334
off,72,2,1.0,0.5011111111111112
off,72,3,1.0,0.5446666666666666
off,72,4,1.0,0.48733333333333334
off,72,5,1.0,0.5833333333333333
off,72,6,0.6666666666666666,0.5
off,72,7,1.0,0.42933333333333334
off,72,8,0.6666666666666666,0.6666666666666666
off,72,9,0.5,0.6666666666666666
off,72,10,0.625,0.5800000000000001
off,73,1,1.0,0.47733333333333333
off,73,2,1.0,0.5613333333333334
off,73,3,1.0,0.48333333333333334
off,73,4,1.0,0.4956666666666667
off,73,5,1.0,0.6
off,73,6,0.75,0.47200000000000003
off,73,7,1.0,0.5833333333333333
off,73,8,1.0,0.5333333333333333
off,73,9,1.0,0.5111111111111111
off,73,10,1.0,0.5255555555555556
off,74,1,1.0,0.5073333333333333
off,74,2,1.0,0.55
off,74,3,1.0,0.5184444444444444
off,74,4,1.0,0.45599999999999996
off,74,5,0.5,0.6666666666666666
off,74,6,1.0,0.4666666666666667
off,74,7,1.0,0.5466666666666666
off,74,8,0.7999999999999999,0.734
off,74,9,1.0,0.5449999999999999
off,74,10,1.0,0.5826666666666667
off,75,1,1.0,0.5333333333333333
off,75,2,1.0,0.5333333333333333
off,75,3,1.0,0.5
off,75,4,1.0,0.5046666666666666
off,75,5,1.0,0.5011111111111111
off,75,6,1.0,0.5333333333333333
off,75,7,1.0,0.4764444444444444
off,75,8,1.0,0.5166666666666666
off,75,9,1.0,0.41766666666666663
off,75,10,1.0,0.5
off,76,1,1.0,0.5
off,76,2,1.0,0.4876666666666667
off,76,3,1.0,0.4666666666666667
off,76,4,1.0,0.4846666666666667
off,76,5,1.0,0.5166666666666666
off,76,6,1.0,0.524
off,76,7,0.6666666666666666,0.486
off,76,8,0.6666666666666666,0.44899999999999995
off,76,9,1.0,0.5833333333333333
off,76,10,0.75,0.43166666666666664
off,77,1,1.0,0.47933333333333333
off,77,2,1.0,0.6876666666666666
off,77,3,1.0,0.744
off,77,4,1.0,0.5186666666666666
off,77,5,1.0,0.6248888888888889
off,77,6,1.0,0.5844444444444444
off,77,7,1.0,0.5566666666666666
off,77,8,1.0,0.8333333333333333
off,77,9,1.0,0.5833333333333333
off,77,10,1.0,0.8333333333333333
off,78,1,1.0,0.5123333333333333
off,78,2,1.0,0.5333333333333333
off,78,3,1.0,0.48333333333333334
off,78,4,1.0,0.489
off,78,5,1.0,0.5333333333333333
off,78,6,1.0,0.48333333333333334
off,78,7,1.0,0.5
off,78,8,1.0,0.4776666666666667
off,78,9,1.0,0.5
off,78,10,1.0,0.5
off,79,1,1.0,0.5333333333333333
off,79,2,1.0,0.4806666666666667
off,79,3,1.0,0.4991111111111111
off,79,4,1.0,0.5108888888888888
off,79,5,1.0,0.4335
off,79,6,1.0,0.47533333333333333
off,79,7,1.0,0.5
off,79,8,1.0,0.474
off,79,9,1.0,0.469
off,79,10,1.0,0.565
on,70,1,1.0,0.5333333333333333
on,70,2,1.0,0.5166666666666666
on,70,3,0.6666666666666666,0.5666666666666667
on,70,4,1.0,0.5
on,70,5,1.0,0.5166666666666666
on,70,6,1.0,0.4946666666666667
on,70,7,1.0,0.42133333333333334
on,70,8,0.75,0.44666666666666666
on,70,9,0.6666666666666666,0.4255
on,70,10,1.0,0.4906666666666667
on,71,1,1.0,0.5166666666666666
on,71,2,1.0,0.4553333333333333
on,71,3,1.0,0.49366666666666664
on,71,4,1.0,0.5193333333333333
on,71,5,1.0,0.4693333333333333
on,71,6,1.0,0.5
on,71,7,1.0,0.4666666666666667
on,71,8,1.0,0.48333333333333334
on,71,9,0.75,0.46199999999999997
on,71,10,1.0,0.25
on,72,1,1.0,0.49133333333333334
on,72,2,1.0,0.5015555555555555
on,72,3,1.0,0.4891111111111111
on,72,4,1.0,0.48733333333333334
on,72,5,1.0,0.5
on,72,6,1.0,0.228
on,72,7,0.6666666666666666,0.42933333333333334
on,72,8,0.6666666666666666,0.5
on,72,9,1.0,0.5
on,72,10,0.75,0.469
on,73,1,1.0,0.477
on,73,2,1.0,0.5446666666666666
on,73,3,1.0,0.48333333333333334
on,73,4,1.0,0.5246666666666666
on,73,5,1.0,0.5833333333333333
on,73,6,1.0,0.5083333333333333
on,73,7,1.0,0.3
on,73,8,0.75,0.498
on,73,9,0.3333333333333333,0.5
on,73,10,1.0,0.5071111111111112
on,74,1,1.0,0.5073333333333333
on,74,2,1.0,0.5
on,74,3,1.0,0.4691111111111111
on,74,4,1.0,0.45599999999999996
on,74,5,1.0,0.5
on,74,6,1.0,0.48333333333333334
on,74,7,0.6666666666666666,0.0
on,74,8,0.3333333333333333,0.5
on,74,9,1.0,0.673
on,74,10,1.0,0.43866666666666665
on,75,1,1.0,0.5333333333333333
on,75,2,1.0,0.5333333333333333
on,75,3,0.6666666666666666,0.5
on,75,4,1.0,0.488
on,75,5,0.6666666666666666,0.4836666666666667
