arm,arm_label,replicate_id,defector_ids,pairing_seed,noise_seed,standard_send_ratio,standard_return_ratio,myth_coop_density,myth_threat_density,myth_half_rule,myth_punishment_density,myth_punishment_presence
off,Deduction unavailable,70,"Agent_2,Agent_3",202608191,202608191,0.9466666666666667,0.5550333333333333,2.3739451321316696,0.06553078325487813,0.05,0.0,0.0
off,Deduction unavailable,71,"Agent_5,Agent_6",202608192,202608192,0.9666666666666667,0.521017543859649,1.9552755229136352,0.06473504825026913,0.1,0.0,0.0
off,Deduction unavailable,72,"Agent_2,Agent_7",202608193,202608193,0.85,0.5322807017543859,2.270926343449038,0.08129613552605262,0.06666666666666667,0.0,0.0
off,Deduction unavailable,73,"Agent_1,Agent_5",202608194,202608194,0.9666666666666667,0.5262222222222223,2.293408113660358,0.11456019297918048,0.016666666666666666,0.008375209380234505,0.016666666666666666
off,Deduction unavailable,74,"Agent_2,Agent_3",202608195,202608195,0.9466666666666667,0.5499333333333333,2.4582870124712346,0.0976729203401503,0.08333333333333333,0.007974481658692184,0.016666666666666666
off,Deduction unavailable,75,"Agent_5,Agent_8",202608196,202608196,1.0,0.5004848484848484,2.451864934825074,0.057440240479960235,0.1,0.0,0.0
off,Deduction unavailable,76,"Agent_4,Agent_6",202608197,202608197,0.9,0.49333333333333335,2.291156816688504,0.10544039695803108,0.1,0.008169934640522876,0.016666666666666666
off,Deduction unavailable,77,"Agent_3,Agent_5",202608198,202608198,1.0,0.6409393939393938,2.420721595861379,0.040421945215531205,0.03333333333333333,0.008210180623973728,0.016666666666666666
off,Deduction unavailable,78,"Agent_1,Agent_4",202608199,202608199,1.0,0.5027619047619047,2.2628572218338947,0.024550442548760466,0.11666666666666667,0.0,0.0
off,Deduction unavailable,79,"Agent_3,Agent_4",202608200,202608200,1.0,0.49507575757575756,2.4895469596231723,0.0486643932935493,0.13333333333333333,0.008210180623973728,0.016666666666666666
on,Deduction available,70,"Agent_2,Agent_3",202608191,202608191,0.9,0.48954999999999993,2.7356927909353153,0.4316239360940835,0.05,0.22889775299777113,0.4166666666666667
on,Deduction available,71,"Agent_5,Agent_6",202608192,202608192,0.9666666666666667,0.4616140350877193,2.3953402852513053,0.49257181307801345,0.08333333333333333,0.3772722112523412,0.6
on,Deduction available,72,"Agent_2,Agent_7",202608193,202608193,0.9,0.46104761904761904,2.6223087879879268,0.37023602942826916,0.08333333333333333,0.2722703523576638,0.45
on,Deduction available,73,"Agent_1,Agent_5",202608194,202608194,0.9,0.49273684210526314,2.9325727223923983,0.3353912859083188,0.06666666666666667,0.1547452436501661,0.3
on,Deduction available,74,"Agent_2,Agent_3",202608195,202608195,0.9,0.47494736842105256,2.349492872370427,0.37368973348701934,0.05,0.15576266336679956,0.3
on,Deduction available,75,"Agent_5,Agent_8",202608196,202608196,0.9333333333333333,0.4670000000000001,2.7622255029436413,0.5071087907047278,0.11666666666666667,0.3044324685574891,0.5
on,Deduction available,76,"Agent_4,Agent_6",202608197,202608197,0.9333333333333333,0.46974603174603174,2.2782386270341983,0.41758688744642564,0.05,0.14790901379699767,0.26666666666666666
on,Deduction available,77,"Agent_3,Agent_5",202608198,202608198,0.8666666666666667,0.5051929824561402,2.1809718898293466,0.40938736541739473,0.03333333333333333,0.24631343302623232,0.38333333333333336
on,Deduction available,78,"Agent_1,Agent_4",202608199,202608199,1.0,0.4944761904761905,2.314669574405277,0.42466232840738993,0.03333333333333333,0.1629278555334191,0.26666666666666666
on,Deduction available,79,"Agent_3,Agent_4",202608200,202608200,1.0,0.5095454545454545,2.273164356655913,0.34426378468589164,0.03333333333333333,0.19729981793483015,0.38333333333333336
