arm,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses,notifications
off,70,307653,19562,0,140,0,20,0
off,71,307581,19548,0,140,0,20,0
off,72,307565,19588,0,140,0,20,0
off,73,305585,19419,0,140,0,20,0
off,74,308071,19493,0,140,0,20,0
off,75,305427,19423,0,140,0,20,0
off,76,305639,19417,0,140,0,20,0
off,77,307285,19526,0,140,0,20,0
off,78,306678,19486,0,140,0,20,0
off,79,308174,19508,0,140,0,20,0
on,70,431885,19943,0,170,0,30,40
on,71,431432,19589,0,170,0,30,40
on,72,428445,19488,0,170,0,30,40
on,73,426531,19456,0,170,0,30,40
on,74,432717,19762,0,170,0,30,40
on,75,430738,19719,0,170,0,30,40
on,76,430482,19529,0,170,0,30,40
on,77,429067,19520,0,170,0,30,40
on,78,430037,19621,0,170,0,30,40
on,79,429041,19411,0,170,0,30,40
