condition,replicate_id,round,target_type,visible_return_ratio,deduction_spent,any_deduction
control,80,1,standard,0.43852167732764746,0,0.0
control,80,1,standard,0.4963609898107715,0,0.0
control,80,1,standard,0.49826026443980515,0,0.0
control,80,1,standard,0.43595505617977526,0,0.0
control,80,2,standard,0.5033333333333333,0,0.0
control,80,2,standard,0.49733333333333335,0,0.0
control,80,2,standard,0.5831305758313057,0,0.0
control,80,2,standard,0.458,0,0.0
control,80,3,standard,0.5313333333333333,0,0.0
control,80,3,standard,0.49466666666666664,0,0.0
control,80,3,standard,0.4953333333333333,0,0.0
control,80,3,standard,0.486,0,0.0
control,80,4,standard,0.4953333333333333,0,0.0
control,80,4,standard,0.441747572815534,0,0.0
control,80,4,standard,0.47400000000000003,0,0.0
control,80,4,standard,0.47333333333333333,0,0.0
control,80,5,standard,0.5586666666666668,0,0.0
control,80,5,standard,0.5521048999309869,0,0.0
control,80,5,standard,0.5418381344307269,0,0.0
control,80,5,standard,0.5753333333333334,0,0.0
control,80,6,standard,0.528,0,0.0
control,80,6,standard,0.5700071073205402,0,0.0
control,80,6,standard,0.532,0,0.0
control,80,6,standard,0.5096818810511756,0,0.0
control,80,7,standard,0.5309917355371901,0,0.0
control,80,7,standard,0.526272577996716,0,0.0
control,80,7,standard,0.5026666666666667,0,0.0
control,80,7,standard,0.5200803212851405,0,0.0
control,80,8,standard,0.4513333333333333,0,0.0
control,80,8,standard,0.5089285714285714,0,0.0
control,80,8,standard,0.5333333333333333,0,0.0
control,80,8,standard,0.6061302681992338,0,0.0
control,80,9,standard,0.5506666666666666,0,0.0
control,80,9,standard,0.5406666666666666,0,0.0
control,80,9,standard,0.46557600545330613,0,0.0
control,80,9,standard,0.5814275814275814,0,0.0
control,80,10,standard,0.6287703016241301,0,0.0
control,80,10,standard,0.6173333333333333,0,0.0
control,80,10,standard,0.5486666666666667,0,0.0
control,80,10,standard,0.46066666666666667,0,0.0
control,81,1,standard,0.5183374083129585,0,0.0
control,81,1,standard,0.4726666666666667,0,0.0
control,81,1,standard,0.4366300366300367,0,0.0
control,81,1,standard,0.5686666666666667,0,0.0
control,81,2,standard,0.5153333333333333,0,0.0
control,81,2,standard,0.7200000000000001,0,0.0
control,81,2,standard,0.4908722109533469,0,0.0
control,81,2,standard,0.45,0,0.0
control,81,3,standard,0.6539895600298284,0,0.0
control,81,3,standard,0.5491452991452992,0,0.0
control,81,3,standard,0.46376811594202905,0,0.0
control,81,3,standard,0.5467980295566502,0,0.0
control,81,4,standard,0.5613333333333334,0,0.0
control,81,4,standard,0.4366391184573003,0,0.0
control,81,4,standard,0.5133333333333333,0,0.0
control,81,4,standard,0.603864734299517,0,0.0
control,81,5,standard,0.5406666666666666,0,0.0
control,81,5,standard,0.7098765432098765,0,0.0
control,81,5,standard,0.509950248756219,0,0.0
control,81,5,standard,0.5393333333333333,0,0.0
control,81,6,standard,0.6347438752783965,0,0.0
control,81,6,standard,0.4563401670463174,0,0.0
control,81,6,standard,0.5383411580594679,0,0.0
control,81,6,standard,0.5382932166301969,0,0.0
control,81,7,standard,0.5064758009543286,0,0.0
control,81,7,standard,0.5193333333333333,0,0.0
control,81,7,standard,0.5033333333333333,0,0.0
control,81,7,standard,0.716,0,0.0
control,81,8,standard,0.5874901029295329,0,0.0
control,81,8,standard,0.5066666666666666,0,0.0
control,81,8,standard,0.45441595441595445,0,0.0
control,81,8,standard,0.5519999999999999,0,0.0
control,81,9,standard,0.6420534458509143,0,0.0
control,81,9,standard,0.5173333333333333,0,0.0
control,81,9,standard,0.5655058043117746,0,0.0
control,81,9,standard,0.4953333333333333,0,0.0
control,81,10,standard,0.5293333333333333,0,0.0
control,81,10,standard,0.5684877276326208,0,0.0
control,81,10,standard,0.6879725085910653,0,0.0
control,81,10,standard,0.46266666666666667,0,0.0
control,82,1,standard,0.5640000000000001,0,0.0
control,82,1,standard,0.5420711974110033,0,0.0
control,82,1,standard,0.5862884160756501,0,0.0
control,82,1,standard,0.5052208835341365,0,0.0
control,82,2,standard,0.6553030303030303,0,0.0
control,82,2,standard,0.4391648668106551,0,0.0
control,82,2,standard,0.5946666666666667,0,0.0
control,82,2,standard,0.584,0,0.0
control,82,3,standard,0.4548148148148148,0,0.0
control,82,3,standard,0.5213333333333333,0,0.0
control,82,3,standard,0.4750593824228029,0,0.0
control,82,3,standard,0.5336577453365774,0,0.0
control,82,4,standard,0.6414035087719299,0,0.0
control,82,4,standard,0.5459999999999999,0,0.0
control,82,4,standard,0.5446666666666666,0,0.0
control,82,4,standard,0.5295950155763239,0,0.0
control,82,5,standard,0.5014880952380952,0,0.0
control,82,5,standard,0.6348484848484849,0,0.0
control,82,5,standard,0.5281076801266825,0,0.0
control,82,5,standard,0.458,0,0.0
control,82,6,standard,0.6109803921568627,0,0.0
control,82,6,standard,0.438,0,0.0
control,82,6,standard,0.448,0,0.0
control,82,6,standard,0.5653333333333334,0,0.0
control,82,7,standard,0.464,0,0.0
control,82,7,standard,0.4533333333333333,0,0.0
control,82,7,standard,0.546816479400749,0,0.0
control,82,7,standard,0.466,0,0.0
control,82,8,standard,0.4646666666666667,0,0.0
control,82,8,standard,0.44266666666666665,0,0.0
control,82,8,standard,0.5646666666666668,0,0.0
control,82,8,standard,0.5944700460829494,0,0.0
control,82,9,standard,0.494,0,0.0
control,82,9,standard,0.5646666666666668,0,0.0
control,82,9,standard,0.5177832919768404,0,0.0
control,82,9,standard,0.5290373906125696,0,0.0
control,82,10,standard,0.49133333333333334,0,0.0
control,82,10,standard,0.4588427057864711,0,0.0
control,82,10,standard,0.5333333333333333,0,0.0
control,82,10,standard,0.5073333333333333,0,0.0
control,83,1,standard,0.48933333333333334,0,0.0
control,83,1,standard,0.48210023866348445,0,0.0
control,83,1,standard,0.5820000000000001,0,0.0
control,83,1,standard,0.5298563869992441,0,0.0
control,83,2,standard,0.6066666666666667,0,0.0
control,83,2,standard,0.5660000000000001,0,0.0
control,83,2,standard,0.518,0,0.0
control,83,2,standard,0.6093366093366094,0,0.0
control,83,3,standard,0.5559999999999999,0,0.0
control,83,3,standard,0.4981844589687727,0,0.0
control,83,3,standard,0.5038759689922481,0,0.0
control,83,3,standard,0.6792717086834734,0,0.0
control,83,4,standard,0.56,0,0.0
control,83,4,standard,0.563921568627451,0,0.0
control,83,4,standard,0.4686666666666667,0,0.0
control,83,4,standard,0.4463040446304045,0,0.0
control,83,5,standard,0.6390858944050433,0,0.0
control,83,5,standard,0.5146666666666666,0,0.0
control,83,5,standard,0.43466666666666665,0,0.0
control,83,5,standard,0.5462012320328543,0,0.0
control,83,6,standard,0.49933333333333335,0,0.0
control,83,6,standard,0.6012317167051577,0,0.0
control,83,6,standard,0.498,0,0.0
control,83,6,standard,0.478,0,0.0
control,83,7,standard,0.4542897327707454,0,0.0
control,83,7,standard,0.5380116959064328,0,0.0
control,83,7,standard,0.5050270688321733,0,0.0
control,83,7,standard,0.476,0,0.0
control,83,8,standard,0.45733333333333337,0,0.0
control,83,8,standard,0.4705046197583511,0,0.0
control,83,8,standard,0.4633333333333333,0,0.0
control,83,8,standard,0.6705069124423964,0,0.0
control,83,9,standard,0.62,0,0.0
control,83,9,standard,0.4836750189825361,0,0.0
control,83,9,standard,0.461086637298091,0,0.0
control,83,9,standard,0.4933628318584072,0,0.0
control,83,10,standard,0.43218954248366015,0,0.0
control,83,10,standard,0.44133333333333336,0,0.0
control,83,10,standard,0.45833333333333337,0,0.0
control,83,10,standard,0.5993953136810279,0,0.0
control,84,1,standard,0.5086666666666667,0,0.0
control,84,1,standard,0.5846666666666667,0,0.0
control,84,1,standard,0.516,0,0.0
control,84,1,standard,0.5053333333333333,0,0.0
control,84,2,standard,0.5953333333333333,0,0.0
control,84,2,standard,0.6378269617706237,0,0.0
control,84,2,standard,0.682,0,0.0
control,84,2,standard,0.6787439613526571,0,0.0
control,84,3,standard,0.642,0,0.0
control,84,3,standard,0.625560538116592,0,0.0
control,84,3,standard,0.49673202614379086,0,0.0
control,84,3,standard,0.574,0,0.0
control,84,4,standard,0.48333333333333334,0,0.0
control,84,4,standard,0.6606666666666666,0,0.0
control,84,4,standard,0.6086666666666667,0,0.0
control,84,4,standard,0.6173333333333333,0,0.0
control,84,5,standard,0.6064710308502634,0,0.0
control,84,5,standard,0.6722338204592901,0,0.0
control,84,5,standard,0.6053333333333334,0,0.0
control,84,5,standard,0.6433949349760438,0,0.0
control,84,6,standard,0.5246666666666667,0,0.0
control,84,6,standard,0.5113333333333333,0,0.0
control,84,6,standard,0.516949152542373,0,0.0
control,84,6,standard,0.696629213483146,0,0.0
control,84,7,standard,0.6814516129032259,0,0.0
control,84,7,standard,0.492,0,0.0
