availability,condition,lexicon,term,count
off,control,threat_defection,withhold,31
off,control,threat_defection,threatened,14
off,control,threat_defection,selfishness,14
off,control,threat_defection,threatens,5
off,control,threat_defection,distrust,5
off,control,threat_defection,threat,4
off,control,threat_defection,selfishly,3
off,control,threat_defection,selfish,3
off,control,threat_defection,threatening,2
off,control,threat_defection,withholding,2
off,control,threat_defection,betrayal,2
off,control,threat_defection,withholds,1
off,control,threat_defection,exploit,1
off,control,threat_defection,exploitation,1
off,control,threat_defection,punishes,1
off,control,threat_defection,threaten,1
off,control,threat_defection,threats,1
off,control,threat_defection,zero,1
off,control,threat_defection,betrayed,1
off,control,punishment_deduction,punishes,1
off,control,punishment_deduction,consequence,1
off,defectors25,threat_defection,withhold,20
off,defectors25,threat_defection,betrayal,18
off,defectors25,threat_defection,selfishness,14
off,defectors25,threat_defection,selfish,9
off,defectors25,threat_defection,threatened,7
off,defectors25,threat_defection,distrust,4
off,defectors25,threat_defection,threatening,2
off,defectors25,threat_defection,threatens,2
off,defectors25,threat_defection,zero,2
off,defectors25,threat_defection,betray,2
off,defectors25,threat_defection,betrayals,2
off,defectors25,threat_defection,exploitation,1
off,defectors25,threat_defection,withholding,1
off,defectors25,threat_defection,withholds,1
off,defectors25,threat_defection,betrayed,1
off,defectors25,threat_defection,punish,1
off,defectors25,threat_defection,threat,1
off,defectors25,punishment_deduction,consequence,2
off,defectors25,punishment_deduction,consequences,1
off,defectors25,punishment_deduction,punish,1
on,control,threat_defection,threat,115
on,control,threat_defection,punish,82
on,control,threat_defection,betrayal,57
on,control,threat_defection,punishment,39
on,control,threat_defection,withhold,22
on,control,threat_defection,betrayed,22
on,control,threat_defection,threatened,13
on,control,threat_defection,betray,12
on,control,threat_defection,selfishness,10
on,control,threat_defection,exploit,10
on,control,threat_defection,withholding,9
on,control,threat_defection,selfish,8
on,control,threat_defection,threats,8
on,control,threat_defection,zero,8
on,control,threat_defection,distrust,7
on,control,threat_defection,threaten,5
on,control,threat_defection,retaliation,4
on,control,threat_defection,threatens,3
on,control,threat_defection,punishing,3
on,control,threat_defection,exploitation,3
on,control,threat_defection,retaliate,2
on,control,threat_defection,exploited,2
on,control,threat_defection,betrayals,2
on,control,threat_defection,betrays,1
on,control,threat_defection,punishes,1
on,control,threat_defection,punished,1
on,control,punishment_deduction,punish,82
on,control,punishment_deduction,deduction,59
on,control,punishment_deduction,punishment,39
on,control,punishment_deduction,consequence,12
on,control,punishment_deduction,retaliation,4
on,control,punishment_deduction,penalty,3
on,control,punishment_deduction,punishing,3
on,control,punishment_deduction,consequences,3
on,control,punishment_deduction,retaliate,2
on,control,punishment_deduction,deduct,1
on,control,punishment_deduction,punishes,1
on,control,punishment_deduction,punished,1
on,defectors25,threat_defection,betrayal,110
on,defectors25,threat_defection,threat,98
on,defectors25,threat_defection,punishment,56
on,defectors25,threat_defection,punish,52
on,defectors25,threat_defection,zero,30
on,defectors25,threat_defection,retaliation,28
on,defectors25,threat_defection,withhold,28
on,defectors25,threat_defection,withholding,18
on,defectors25,threat_defection,selfishness,16
on,defectors25,threat_defection,threatened,14
on,defectors25,threat_defection,distrust,10
on,defectors25,threat_defection,exploitation,9
on,defectors25,threat_defection,betrayed,8
on,defectors25,threat_defection,exploit,7
on,defectors25,threat_defection,betray,7
on,defectors25,threat_defection,selfish,7
on,defectors25,threat_defection,exploited,6
on,defectors25,threat_defection,betrayals,5
on,defectors25,threat_defection,threatens,5
on,defectors25,threat_defection,punishes,4
on,defectors25,threat_defection,withholds,2
on,defectors25,threat_defection,threaten,2
on,defectors25,threat_defection,betrayer,1
on,defectors25,threat_defection,threatening,1
on,defectors25,threat_defection,selfishly,1
on,defectors25,threat_defection,exploiting,1
on,defectors25,threat_defection,threats,1
on,defectors25,threat_defection,punishing,1
on,defectors25,threat_defection,retaliations,1
on,defectors25,punishment_deduction,punishment,56
on,defectors25,punishment_deduction,punish,52
on,defectors25,punishment_deduction,deduction,45
on,defectors25,punishment_deduction,retaliation,28
on,defectors25,punishment_deduction,consequence,21
on,defectors25,punishment_deduction,consequences,14
on,defectors25,punishment_deduction,penalty,5
on,defectors25,punishment_deduction,punishes,4
on,defectors25,punishment_deduction,deduct,4
on,defectors25,punishment_deduction,deductions,3
on,defectors25,punishment_deduction,punishing,1
on,defectors25,punishment_deduction,retaliations,1
