availability,condition,replicate_id,round,trustee_id,received,returned,return_ratio
off,control,80,1,Agent_1,15.0,7.04,0.4693333333333333
off,control,80,1,Agent_3,15.0,7.18,0.47866666666666663
off,control,80,1,Agent_5,15.0,6.675,0.445
off,control,80,1,Agent_6,15.0,7.0,0.4666666666666667
off,control,80,2,Agent_2,15.0,8.0,0.5333333333333333
off,control,80,2,Agent_4,15.0,8.0,0.5333333333333333
off,control,80,2,Agent_7,15.0,8.22,0.548
off,control,80,2,Agent_8,15.0,10.0,0.6666666666666666
off,control,80,3,Agent_1,15.0,7.5,0.5
off,control,80,3,Agent_2,15.0,8.0,0.5333333333333333
off,control,80,3,Agent_6,15.0,7.5,0.5
off,control,80,3,Agent_8,15.0,10.0,0.6666666666666666
off,control,80,4,Agent_3,15.0,7.5,0.5
off,control,80,4,Agent_4,15.0,8.24,0.5493333333333333
off,control,80,4,Agent_5,15.0,7.5,0.5
off,control,80,4,Agent_7,15.0,10.0,0.6666666666666666
off,control,80,5,Agent_1,15.0,7.29,0.486
off,control,80,5,Agent_4,15.0,9.66,0.644
off,control,80,5,Agent_6,15.0,7.5,0.5
off,control,80,5,Agent_8,15.0,10.0,0.6666666666666666
off,control,80,6,Agent_2,15.0,8.0,0.5333333333333333
off,control,80,6,Agent_3,15.0,7.5,0.5
off,control,80,6,Agent_5,15.0,7.035,0.46900000000000003
off,control,80,6,Agent_7,15.0,10.0,0.6666666666666666
off,control,80,7,Agent_3,15.0,7.5,0.5
off,control,80,7,Agent_4,15.0,9.68,0.6453333333333333
off,control,80,7,Agent_5,15.0,6.09,0.40599999999999997
off,control,80,7,Agent_6,15.0,7.47,0.498
off,control,80,8,Agent_1,15.0,6.72,0.448
off,control,80,8,Agent_2,15.0,8.0,0.5333333333333333
off,control,80,8,Agent_7,15.0,8.5,0.5666666666666667
off,control,80,8,Agent_8,15.0,10.0,0.6666666666666666
off,control,80,9,Agent_1,15.0,7.5,0.5
off,control,80,9,Agent_2,15.0,8.0,0.5333333333333333
off,control,80,9,Agent_5,15.0,7.335,0.489
off,control,80,9,Agent_8,15.0,9.62,0.6413333333333333
off,control,80,10,Agent_3,15.0,7.5,0.5
off,control,80,10,Agent_4,15.0,8.62,0.5746666666666667
off,control,80,10,Agent_6,15.0,7.5,0.5
off,control,80,10,Agent_7,15.0,10.0,0.6666666666666666
off,control,81,1,Agent_1,15.0,6.82,0.45466666666666666
off,control,81,1,Agent_2,15.0,8.0,0.5333333333333333
off,control,81,1,Agent_4,15.0,6.14,0.4093333333333333
off,control,81,1,Agent_8,15.0,8.0,0.5333333333333333
off,control,81,2,Agent_3,15.0,10.0,0.6666666666666666
off,control,81,2,Agent_5,15.0,8.0,0.5333333333333333
off,control,81,2,Agent_6,15.0,8.0,0.5333333333333333
off,control,81,2,Agent_7,15.0,7.4,0.49333333333333335
off,control,81,3,Agent_4,15.0,7.02,0.46799999999999997
off,control,81,3,Agent_5,15.0,7.0,0.4666666666666667
off,control,81,3,Agent_6,15.0,7.0,0.4666666666666667
off,control,81,3,Agent_7,15.0,6.09,0.40599999999999997
off,control,81,4,Agent_1,15.0,7.5,0.5
off,control,81,4,Agent_2,15.0,8.0,0.5333333333333333
off,control,81,4,Agent_3,15.0,10.0,0.6666666666666666
off,control,81,4,Agent_8,15.0,7.5,0.5
off,control,81,5,Agent_1,15.0,7.5,0.5
off,control,81,5,Agent_3,15.0,8.0,0.5333333333333333
off,control,81,5,Agent_4,15.0,7.5,0.5
off,control,81,5,Agent_8,15.0,7.5,0.5
off,control,81,6,Agent_2,15.0,8.0,0.5333333333333333
off,control,81,6,Agent_5,15.0,7.0,0.4666666666666667
off,control,81,6,Agent_6,15.0,8.0,0.5333333333333333
off,control,81,6,Agent_7,15.0,6.85,0.45666666666666667
off,control,81,7,Agent_1,15.0,7.5,0.5
off,control,81,7,Agent_3,15.0,9.5,0.6333333333333333
off,control,81,7,Agent_5,15.0,7.5,0.5
off,control,81,7,Agent_6,15.0,10.0,0.6666666666666666
off,control,81,8,Agent_2,15.0,9.0,0.6
off,control,81,8,Agent_4,15.0,6.315,0.42100000000000004
off,control,81,8,Agent_7,15.0,7.5,0.5
off,control,81,8,Agent_8,15.0,8.5,0.5666666666666667
off,control,81,9,Agent_1,15.0,6.03,0.402
off,control,81,9,Agent_2,15.0,10.0,0.6666666666666666
off,control,81,9,Agent_5,15.0,7.11,0.47400000000000003
off,control,81,9,Agent_7,15.0,7.5,0.5
off,control,81,10,Agent_3,15.0,10.0,0.6666666666666666
off,control,81,10,Agent_4,15.0,7.275,0.48500000000000004
off,control,81,10,Agent_6,15.0,10.0,0.6666666666666666
off,control,81,10,Agent_8,15.0,7.5,0.5
off,control,82,1,Agent_2,15.0,8.0,0.5333333333333333
off,control,82,1,Agent_3,15.0,6.18,0.412
off,control,82,1,Agent_4,15.0,6.22,0.41466666666666663
off,control,82,1,Agent_7,15.0,6.35,0.4233333333333333
off,control,82,2,Agent_1,15.0,9.26,0.6173333333333333
off,control,82,2,Agent_5,15.0,8.0,0.5333333333333333
off,control,82,2,Agent_6,15.0,8.0,0.5333333333333333
off,control,82,2,Agent_8,15.0,6.6,0.44
off,control,82,3,Agent_1,15.0,8.22,0.548
off,control,82,3,Agent_3,15.0,6.31,0.42066666666666663
off,control,82,3,Agent_5,15.0,7.5,0.5
off,control,82,3,Agent_6,15.0,8.0,0.5333333333333333
off,control,82,4,Agent_2,15.0,7.0,0.4666666666666667
off,control,82,4,Agent_4,15.0,7.5,0.5
off,control,82,4,Agent_7,15.0,7.13,0.47533333333333333
off,control,82,4,Agent_8,15.0,7.5,0.5
off,control,82,5,Agent_1,15.0,10.0,0.6666666666666666
off,control,82,5,Agent_3,15.0,6.31,0.42066666666666663
off,control,82,5,Agent_4,15.0,6.72,0.448
off,control,82,5,Agent_7,15.0,6.6,0.44
off,control,82,6,Agent_2,15.0,7.5,0.5
off,control,82,6,Agent_5,15.0,7.5,0.5
off,control,82,6,Agent_6,15.0,7.0,0.4666666666666667
off,control,82,6,Agent_8,15.0,7.5,0.5
off,control,82,7,Agent_1,15.0,10.0,0.6666666666666666
off,control,82,7,Agent_3,15.0,7.5,0.5
off,control,82,7,Agent_4,15.0,7.5,0.5
off,control,82,7,Agent_8,15.0,6.67,0.44466666666666665
off,control,82,8,Agent_2,15.0,7.5,0.5
off,control,82,8,Agent_5,15.0,7.5,0.5
off,control,82,8,Agent_6,15.0,7.5,0.5
off,control,82,8,Agent_7,15.0,7.5,0.5
off,control,82,9,Agent_1,15.0,8.0,0.5333333333333333
off,control,82,9,Agent_3,15.0,7.5,0.5
off,control,82,9,Agent_5,15.0,7.5,0.5
