availability,condition,replicate_id,round,standard_send_ratio,standard_return_ratio
off,control,80,1,1.0,0.46491666666666664
off,control,80,2,1.0,0.5703333333333334
off,control,80,3,1.0,0.55
off,control,80,4,1.0,0.554
off,control,80,5,1.0,0.5741666666666667
off,control,80,6,1.0,0.54225
off,control,80,7,1.0,0.5123333333333333
off,control,80,8,1.0,0.5536666666666668
off,control,80,9,1.0,0.5409166666666666
off,control,80,10,1.0,0.5603333333333333
off,control,81,1,1.0,0.4826666666666667
off,control,81,2,1.0,0.5566666666666666
off,control,81,3,1.0,0.4518333333333333
off,control,81,4,1.0,0.5499999999999999
off,control,81,5,1.0,0.5083333333333333
off,control,81,6,1.0,0.49749999999999994
off,control,81,7,1.0,0.575
off,control,81,8,1.0,0.5219166666666667
off,control,81,9,1.0,0.5106666666666666
off,control,81,10,1.0,0.5795833333333333
off,control,82,1,1.0,0.4458333333333333
off,control,82,2,1.0,0.5309999999999999
off,control,82,3,1.0,0.5005
off,control,82,4,1.0,0.48550000000000004
off,control,82,5,1.0,0.49383333333333335
off,control,82,6,1.0,0.4916666666666667
off,control,82,7,1.0,0.5278333333333333
off,control,82,8,1.0,0.5
off,control,82,9,1.0,0.5166666666666666
off,control,82,10,1.0,0.47733333333333333
off,control,83,1,1.0,0.5
off,control,83,2,1.0,0.5690000000000001
off,control,83,3,1.0,0.57
off,control,83,4,1.0,0.5426666666666666
off,control,83,5,1.0,0.5376666666666666
off,control,83,6,1.0,0.5776666666666667
off,control,83,7,1.0,0.5083333333333333
off,control,83,8,1.0,0.5953333333333333
off,control,83,9,1.0,0.5713333333333332
off,control,83,10,1.0,0.488
off,control,84,1,1.0,0.5333333333333333
off,control,84,2,1.0,0.5576666666666666
off,control,84,3,1.0,0.5281666666666667
off,control,84,4,1.0,0.5666666666666667
off,control,84,5,1.0,0.5315
off,control,84,6,1.0,0.5416666666666666
off,control,84,7,1.0,0.5486666666666666
off,control,84,8,1.0,0.54
off,control,84,9,1.0,0.4796666666666667
off,control,84,10,1.0,0.5836666666666667
off,control,85,1,1.0,0.5211666666666667
off,control,85,2,1.0,0.5383333333333333
off,control,85,3,1.0,0.5166666666666667
off,control,85,4,1.0,0.525
off,control,85,5,1.0,0.4638333333333333
off,control,85,6,1.0,0.5619999999999999
off,control,85,7,1.0,0.4805
off,control,85,8,1.0,0.5916666666666666
off,control,85,9,1.0,0.532
off,control,85,10,1.0,0.5916666666666666
off,control,86,1,1.0,0.48175
off,control,86,2,1.0,0.5378333333333333
off,control,86,3,1.0,0.5441666666666667
off,control,86,4,1.0,0.4916666666666667
off,control,86,5,1.0,0.5263333333333333
off,control,86,6,1.0,0.44933333333333336
off,control,86,7,1.0,0.5271666666666667
off,control,86,8,1.0,0.5045
off,control,86,9,1.0,0.4876666666666667
off,control,86,10,1.0,0.5726666666666667
off,control,87,1,1.0,0.5158333333333333
off,control,87,2,1.0,0.5596666666666668
off,control,87,3,1.0,0.568
off,control,87,4,1.0,0.4853333333333334
off,control,87,5,1.0,0.5556666666666666
off,control,87,6,1.0,0.5166666666666666
off,control,87,7,1.0,0.5166666666666667
off,control,87,8,1.0,0.536
off,control,87,9,1.0,0.5416666666666666
off,control,87,10,1.0,0.5055
off,control,88,1,1.0,0.497
off,control,88,2,1.0,0.5666666666666667
off,control,88,3,1.0,0.5266666666666667
off,control,88,4,1.0,0.5
off,control,88,5,1.0,0.503
off,control,88,6,1.0,0.5268333333333333
off,control,88,7,1.0,0.5269999999999999
off,control,88,8,1.0,0.5258333333333334
off,control,88,9,1.0,0.5503333333333333
off,control,88,10,1.0,0.4876666666666667
off,control,89,1,1.0,0.513
off,control,89,2,1.0,0.5091666666666667
off,control,89,3,1.0,0.5333333333333333
off,control,89,4,1.0,0.48183333333333334
off,control,89,5,1.0,0.49083333333333334
off,control,89,6,1.0,0.5348333333333333
