availability,availability_label,condition,condition_label,replicate_id,defector_ids,pairing_seed,noise_seed,standard_send_ratio,standard_return_ratio,myth_coop_density,myth_threat_density,myth_half_rule,myth_punishment_density,myth_punishment_presence
off,Deduction unavailable,control,0% defectors,80,,202608201,202608201,1.0,0.5422916666666666,2.4557261878256655,0.06768433508083097,0.05,0.0,0.0
off,Deduction unavailable,control,0% defectors,81,,202608202,202608202,1.0,0.5234166666666666,2.4848462682499304,0.024602462936394072,0.0875,0.0,0.0
off,Deduction unavailable,control,0% defectors,82,,202608203,202608203,1.0,0.49701666666666666,2.3823489041541217,0.11079962962421366,0.0375,0.0,0.0
off,Deduction unavailable,control,0% defectors,83,,202608204,202608204,1.0,0.546,2.42010174805572,0.04927710119384474,0.075,0.0,0.0
off,Deduction unavailable,control,0% defectors,84,,202608205,202608205,1.0,0.5410999999999999,2.423628406182166,0.024634427613295116,0.0625,0.0,0.0
off,Deduction unavailable,control,0% defectors,85,,202608206,202608206,1.0,0.5322833333333333,2.7473219407750533,0.06191623085037009,0.0625,0.0,0.0
off,Deduction unavailable,control,0% defectors,86,,202608207,202608207,1.0,0.5123083333333333,2.405688288480545,0.06184359796652874,0.0625,0.0,0.0
off,Deduction unavailable,control,0% defectors,87,,202608208,202608208,1.0,0.5301,2.1548536799527107,0.056098240603961666,0.0125,0.006313131313131314,0.0125
off,Deduction unavailable,control,0% defectors,88,,202608209,202608209,1.0,0.5211,2.371993258061515,0.06786071475478297,0.075,0.006157635467980296,0.0125
off,Deduction unavailable,control,0% defectors,89,,202608210,202608210,1.0,0.5081166666666667,2.4688520899786406,0.04954061342478215,0.0625,0.0,0.0
off,Deduction unavailable,defectors25,25% defectors,80,"Agent_4,Agent_5",202608201,202608201,1.0,0.5366666666666666,2.3921379266156486,0.08905357233019857,0.1,0.0,0.0
off,Deduction unavailable,defectors25,25% defectors,81,"Agent_3,Agent_8",202608202,202608202,1.0,0.5098412698412699,2.4745107098192594,0.05731341048466994,0.05,0.0,0.0
off,Deduction unavailable,defectors25,25% defectors,82,"Agent_3,Agent_7",202608203,202608203,0.9666666666666667,0.4751746031746032,2.3207255454139686,0.06622683974811483,0.1,0.0,0.0
off,Deduction unavailable,defectors25,25% defectors,83,"Agent_7,Agent_8",202608204,202608204,0.9666666666666667,0.5206031746031746,2.618925901710226,0.0165016501650165,0.05,0.0,0.0
