availability,condition,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses,notifications
off,control,80,351185,19628,0,160,0,0,0
off,control,81,352257,19731,0,160,0,0,0
off,control,82,351680,19568,0,160,0,0,0
off,control,83,348159,19451,0,160,0,0,0
off,control,84,349464,19579,0,160,0,0,0
off,control,85,353080,19594,0,160,0,0,0
off,control,86,351879,19504,0,160,0,0,0
off,control,87,348970,19503,0,160,0,0,0
off,control,88,348758,19397,0,160,0,0,0
off,control,89,348969,19395,0,160,0,0,0
off,defectors25,80,307864,19497,0,140,0,20,0
off,defectors25,81,306039,19342,0,140,0,20,0
off,defectors25,82,308173,19591,0,140,0,20,0
off,defectors25,83,306315,19425,0,140,0,20,0
off,defectors25,84,306565,19544,0,140,0,20,0
off,defectors25,85,306715,19380,0,140,0,20,0
off,defectors25,86,309069,19510,0,140,0,20,0
off,defectors25,87,307461,19472,0,140,0,20,0
off,defectors25,88,306800,19363,0,140,0,20,0
off,defectors25,89,306086,19280,0,140,0,20,0
on,control,80,506271,19732,0,200,0,0,40
on,control,81,510509,19803,0,200,0,0,40
on,control,82,509652,19990,0,200,0,0,40
on,control,83,502146,19621,0,200,0,0,40
on,control,84,509847,19986,0,200,0,0,40
on,control,85,509585,19791,0,200,0,0,40
on,control,86,507926,19727,0,200,0,0,40
on,control,87,504678,19703,0,200,0,0,40
on,control,88,506800,19669,0,200,0,0,40
on,control,89,506488,19670,0,200,0,0,40
on,defectors25,80,431795,19622,0,170,0,30,40
on,defectors25,81,431363,19591,0,170,0,30,40
on,defectors25,82,430903,19599,0,170,0,30,40
on,defectors25,83,432235,19904,0,170,0,30,40
on,defectors25,84,430188,19619,0,170,0,30,40
on,defectors25,85,430556,19656,0,170,0,30,40
on,defectors25,86,438363,19877,0,170,0,30,40
on,defectors25,87,428285,19596,0,170,0,30,40
on,defectors25,88,430105,19611,0,170,0,30,40
on,defectors25,89,430267,19548,0,170,0,30,40
