condition,condition_label,replicate_id,round,investor_id,trustee_id,target_type,send_ratio,actual_return_ratio,visible_return_ratio,deduction_spent,any_deduction,max_deduction,adequate_half_return,deduction_after_half_return,deduction_actual_loss
control,0% defectors,66,1,Agent_2,Agent_1,standard,1.0,0.49733333333333335,0.5204560697518443,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,1,Agent_4,Agent_5,standard,1.0,0.49466666666666664,0.5171717171717171,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,1,Agent_6,Agent_8,standard,1.0,0.5333333333333333,0.5846666666666667,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,1,Agent_7,Agent_3,standard,1.0,0.452,0.5427728613569323,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,2,Agent_1,Agent_4,standard,1.0,0.5,0.5526666666666666,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,2,Agent_3,Agent_6,standard,1.0,0.5333333333333333,0.6359867330016584,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,2,Agent_5,Agent_7,standard,1.0,0.4746666666666667,0.5508771929824561,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,2,Agent_8,Agent_2,standard,1.0,0.4033333333333333,0.5376344086021505,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,3,Agent_1,Agent_5,standard,1.0,0.49600000000000005,0.4670698924731183,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,3,Agent_3,Agent_2,standard,1.0,0.418,0.46172248803827753,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,3,Agent_4,Agent_8,standard,1.0,0.5333333333333333,0.56,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,3,Agent_6,Agent_7,standard,1.0,0.5,0.47733333333333333,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,4,Agent_2,Agent_4,standard,1.0,0.5,0.5273333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,4,Agent_5,Agent_6,standard,1.0,0.5,0.534,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,4,Agent_7,Agent_3,standard,1.0,0.44933333333333336,0.4498886414253897,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,4,Agent_8,Agent_1,standard,1.0,0.4953333333333333,0.4734006734006734,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,5,Agent_2,Agent_6,standard,1.0,0.481,0.4587664587664588,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,5,Agent_3,Agent_1,standard,1.0,0.4153333333333334,0.4425702811244979,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,5,Agent_4,Agent_7,standard,1.0,0.42400000000000004,0.5165094339622641,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,5,Agent_8,Agent_5,standard,1.0,0.49133333333333334,0.4426340801086218,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,6,Agent_1,Agent_4,standard,1.0,0.5,0.544,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,6,Agent_5,Agent_3,standard,1.0,0.414,0.5652173913043479,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,6,Agent_6,Agent_2,standard,1.0,0.4953333333333333,0.47878787878787876,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,6,Agent_7,Agent_8,standard,1.0,0.5333333333333333,0.5559999999999999,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,7,Agent_1,Agent_8,standard,1.0,0.5333333333333333,0.516,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,7,Agent_2,Agent_5,standard,1.0,0.49,0.5551020408163265,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,7,Agent_6,Agent_3,standard,1.0,0.402,0.466832504145937,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,7,Agent_7,Agent_4,standard,1.0,0.5,0.46066666666666667,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,8,Agent_3,Agent_2,standard,1.0,0.5,0.48200000000000004,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,8,Agent_4,Agent_6,standard,1.0,0.458,0.5036390101892285,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,8,Agent_5,Agent_1,standard,1.0,0.4093333333333333,0.5199674001629992,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,8,Agent_8,Agent_7,standard,1.0,0.48800000000000004,0.4603825136612022,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,9,Agent_1,Agent_4,standard,1.0,0.5,0.4666666666666667,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,9,Agent_2,Agent_5,standard,1.0,0.5,0.5399999999999999,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,9,Agent_3,Agent_8,standard,1.0,0.5333333333333333,0.528,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,9,Agent_7,Agent_6,standard,1.0,0.4033333333333333,0.42431761786600497,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,10,Agent_4,Agent_7,standard,1.0,0.5,0.5359999999999999,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,10,Agent_5,Agent_3,standard,1.0,0.5,0.5426666666666667,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,66,10,Agent_6,Agent_1,standard,1.0,0.41000000000000003,0.48373983739837406,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,66,10,Agent_8,Agent_2,standard,1.0,0.43333333333333335,0.5054263565891474,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,1,Agent_1,Agent_7,standard,1.0,0.5333333333333333,0.498,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,67,1,Agent_2,Agent_8,standard,1.0,0.5333333333333333,0.484,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,67,1,Agent_4,Agent_5,standard,1.0,0.4666666666666667,0.5275297619047619,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,1,Agent_6,Agent_3,standard,1.0,0.5333333333333333,0.5666666666666667,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,2,Agent_3,Agent_4,standard,1.0,0.5333333333333333,0.5813333333333334,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,2,Agent_5,Agent_2,standard,1.0,0.5,0.5213333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,2,Agent_7,Agent_6,standard,1.0,0.6666666666666666,0.6885130373502466,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,2,Agent_8,Agent_1,standard,1.0,0.5333333333333333,0.5986666666666667,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,3,Agent_2,Agent_4,standard,1.0,0.5333333333333333,0.5286666666666666,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,3,Agent_5,Agent_3,standard,1.0,0.4666666666666667,0.6177669111654442,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,3,Agent_6,Agent_1,standard,1.0,0.5333333333333333,0.5486666666666667,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,3,Agent_7,Agent_8,standard,1.0,0.5,0.6674856674856675,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,4,Agent_1,Agent_5,standard,1.0,0.5,0.508,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,4,Agent_3,Agent_2,standard,1.0,0.5,0.45466666666666666,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,67,4,Agent_4,Agent_7,standard,1.0,0.5333333333333333,0.544,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,4,Agent_8,Agent_6,standard,1.0,0.6666666666666666,0.6313333333333334,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,5,Agent_5,Agent_1,standard,1.0,0.5333333333333333,0.5906666666666667,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,5,Agent_6,Agent_4,standard,1.0,0.5333333333333333,0.58,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,5,Agent_7,Agent_2,standard,1.0,0.456,0.5211988304093568,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,5,Agent_8,Agent_3,standard,1.0,0.5333333333333333,0.5359999999999999,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,6,Agent_1,Agent_8,standard,1.0,0.5333333333333333,0.6080246913580246,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,6,Agent_2,Agent_6,standard,1.0,0.6333333333333333,0.6026170798898072,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,6,Agent_3,Agent_7,standard,1.0,0.48333333333333334,0.49275362318840576,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,67,6,Agent_4,Agent_5,standard,1.0,0.5,0.5426666666666667,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,7,Agent_1,Agent_2,standard,1.0,0.4806666666666667,0.5564795564795565,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,7,Agent_3,Agent_7,standard,1.0,0.446,0.5194319880418535,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,7,Agent_4,Agent_6,standard,1.0,0.6333333333333333,0.6528066528066528,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,7,Agent_5,Agent_8,standard,1.0,0.5333333333333333,0.6643835616438356,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,8,Agent_2,Agent_1,standard,1.0,0.5386666666666666,0.6518151815181518,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,8,Agent_6,Agent_3,standard,1.0,0.48000000000000004,0.5048611111111111,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,8,Agent_7,Agent_5,standard,1.0,0.5,0.45666666666666667,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,67,8,Agent_8,Agent_4,standard,1.0,0.5333333333333333,0.5398230088495576,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,9,Agent_1,Agent_4,standard,1.0,0.5666666666666667,0.5745257452574526,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,9,Agent_6,Agent_5,standard,1.0,0.5,0.5566666666666666,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,9,Agent_7,Agent_2,standard,1.0,0.5,0.49,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,67,9,Agent_8,Agent_3,standard,1.0,0.5,0.508,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,10,Agent_2,Agent_8,standard,1.0,0.5,0.5934156378600823,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,10,Agent_3,Agent_6,standard,1.0,0.6666666666666666,0.67,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,10,Agent_4,Agent_1,standard,1.0,0.6666666666666666,0.608,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,67,10,Agent_5,Agent_7,standard,1.0,0.5,0.5146666666666666,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,1,Agent_1,Agent_8,standard,1.0,0.48466666666666663,0.5491408934707904,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,1,Agent_4,Agent_3,standard,1.0,0.5333333333333333,0.506,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,1,Agent_6,Agent_5,standard,1.0,0.436,0.5535168195718654,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,1,Agent_7,Agent_2,standard,1.0,0.5333333333333333,0.5399999999999999,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,2,Agent_2,Agent_1,standard,1.0,0.4666666666666667,0.5513108614232209,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,2,Agent_3,Agent_7,standard,1.0,0.5333333333333333,0.6378205128205128,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,2,Agent_5,Agent_4,standard,1.0,0.5333333333333333,0.5793333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,2,Agent_8,Agent_6,standard,1.0,0.5,0.43466666666666665,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,3,Agent_3,Agent_5,standard,1.0,0.5,0.49,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,3,Agent_6,Agent_2,standard,1.0,0.5333333333333333,0.5346666666666666,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,3,Agent_7,Agent_1,standard,1.0,0.47,0.49999999999999994,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,3,Agent_8,Agent_4,standard,1.0,0.47,0.5446808510638297,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,4,Agent_1,Agent_3,standard,1.0,0.48333333333333334,0.46307798481711526,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,4,Agent_2,Agent_6,standard,1.0,0.4886666666666667,0.501704158145876,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,4,Agent_4,Agent_7,standard,1.0,0.5333333333333333,0.5936285936285935,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,4,Agent_5,Agent_8,standard,1.0,0.492,0.48373983739837395,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,5,Agent_1,Agent_6,standard,1.0,0.5,0.45399999999999996,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,5,Agent_4,Agent_2,standard,1.0,0.5333333333333333,0.5353333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,5,Agent_7,Agent_5,standard,1.0,0.5,0.5613333333333334,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,5,Agent_8,Agent_3,standard,1.0,0.48000000000000004,0.4944444444444445,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,6,Agent_2,Agent_4,standard,1.0,0.452,0.5464601769911505,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,6,Agent_3,Agent_8,standard,1.0,0.5,0.5573333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,6,Agent_5,Agent_1,standard,1.0,0.5,0.5133333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,6,Agent_6,Agent_7,standard,1.0,0.6666666666666666,0.6880000000000001,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,7,Agent_2,Agent_3,standard,1.0,0.5,0.466,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,7,Agent_4,Agent_1,standard,1.0,0.4886666666666667,0.496250852079073,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,7,Agent_5,Agent_8,standard,1.0,0.5,0.5053333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,7,Agent_7,Agent_6,standard,1.0,0.402,0.4875621890547264,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,8,Agent_1,Agent_2,standard,1.0,0.484,0.4690082644628099,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,8,Agent_3,Agent_5,standard,1.0,0.5,0.45066666666666666,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,8,Agent_6,Agent_4,standard,1.0,0.5,0.49333333333333335,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,8,Agent_8,Agent_7,standard,1.0,0.6666666666666666,0.7213333333333334,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,9,Agent_1,Agent_8,standard,1.0,0.5,0.4613333333333333,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,9,Agent_4,Agent_7,standard,1.0,0.5760000000000001,0.6188271604938271,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,9,Agent_5,Agent_2,standard,1.0,0.4106666666666667,0.4890510948905109,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,9,Agent_6,Agent_3,standard,1.0,0.5,0.5333333333333333,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,10,Agent_2,Agent_5,standard,1.0,0.5,0.5066666666666666,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,68,10,Agent_3,Agent_4,standard,1.0,0.418,0.45534290271132377,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,68,10,Agent_7,Agent_1,standard,1.0,0.498,0.4598393574297188,0,0.0,0.0,0.0,0.0,0.0
