condition,replicate_id,source_round,agent_id,previous_deduction_spent,previous_any_deduction,next_role,next_send_ratio,next_return_ratio
control,66,1,Agent_1,0,0.0,investor,1.0,
control,66,1,Agent_3,0,0.0,investor,1.0,
control,66,1,Agent_5,0,0.0,investor,1.0,
control,66,1,Agent_8,0,0.0,investor,1.0,
control,66,2,Agent_2,0,0.0,trustee,,0.418
control,66,2,Agent_4,0,0.0,investor,1.0,
control,66,2,Agent_6,0,0.0,investor,1.0,
control,66,2,Agent_7,0,0.0,trustee,,0.5
control,66,3,Agent_2,0,0.0,investor,1.0,
control,66,3,Agent_5,0,0.0,investor,1.0,
control,66,3,Agent_7,0,0.0,investor,1.0,
control,66,3,Agent_8,0,0.0,investor,1.0,
control,66,4,Agent_1,0,0.0,trustee,,0.4153333333333334
control,66,4,Agent_3,0,0.0,investor,1.0,
control,66,4,Agent_4,0,0.0,investor,1.0,
control,66,4,Agent_6,0,0.0,trustee,,0.481
control,66,5,Agent_1,0,0.0,investor,1.0,
control,66,5,Agent_5,0,0.0,investor,1.0,
control,66,5,Agent_6,0,0.0,investor,1.0,
control,66,5,Agent_7,0,0.0,investor,1.0,
control,66,6,Agent_2,0,0.0,investor,1.0,
control,66,6,Agent_3,0,0.0,trustee,,0.402
control,66,6,Agent_4,0,0.0,trustee,,0.5
control,66,6,Agent_8,0,0.0,trustee,,0.5333333333333333
control,66,7,Agent_3,0,0.0,investor,1.0,
control,66,7,Agent_4,0,0.0,investor,1.0,
control,66,7,Agent_5,0,0.0,investor,1.0,
control,66,7,Agent_8,0,0.0,investor,1.0,
control,66,8,Agent_1,0,0.0,investor,1.0,
control,66,8,Agent_2,0,0.0,investor,1.0,
control,66,8,Agent_6,0,0.0,trustee,,0.4033333333333333
control,66,8,Agent_7,0,0.0,investor,1.0,
control,66,9,Agent_4,0,0.0,investor,1.0,
control,66,9,Agent_5,0,0.0,investor,1.0,
control,66,9,Agent_6,0,0.0,investor,1.0,
control,66,9,Agent_8,0,0.0,investor,1.0,
control,67,1,Agent_3,0,0.0,investor,1.0,
control,67,1,Agent_5,0,0.0,investor,1.0,
control,67,1,Agent_7,0,0.0,investor,1.0,
control,67,1,Agent_8,0,0.0,investor,1.0,
control,67,2,Agent_1,0,0.0,trustee,,0.5333333333333333
control,67,2,Agent_2,0,0.0,investor,1.0,
control,67,2,Agent_4,0,0.0,trustee,,0.5333333333333333
control,67,2,Agent_6,0,0.0,investor,1.0,
control,67,3,Agent_1,0,0.0,investor,1.0,
control,67,3,Agent_3,0,0.0,investor,1.0,
control,67,3,Agent_4,0,0.0,investor,1.0,
control,67,3,Agent_8,0,0.0,investor,1.0,
control,67,4,Agent_2,0,0.0,trustee,,0.456
control,67,4,Agent_5,0,0.0,investor,1.0,
control,67,4,Agent_6,0,0.0,investor,1.0,
control,67,4,Agent_7,0,0.0,investor,1.0,
control,67,5,Agent_1,0,0.0,investor,1.0,
control,67,5,Agent_2,0,0.0,investor,1.0,
control,67,5,Agent_3,0,0.0,investor,1.0,
control,67,5,Agent_4,0,0.0,investor,1.0,
control,67,6,Agent_5,0,0.0,investor,1.0,
control,67,6,Agent_6,0,0.0,trustee,,0.6333333333333333
control,67,6,Agent_7,0,0.0,trustee,,0.446
control,67,6,Agent_8,0,0.0,trustee,,0.5333333333333333
control,67,7,Agent_2,0,0.0,investor,1.0,
control,67,7,Agent_6,0,0.0,investor,1.0,
control,67,7,Agent_7,0,0.0,investor,1.0,
control,67,7,Agent_8,0,0.0,investor,1.0,
control,67,8,Agent_1,0,0.0,investor,1.0,
control,67,8,Agent_3,0,0.0,trustee,,0.5
control,67,8,Agent_4,0,0.0,trustee,,0.5666666666666667
control,67,8,Agent_5,0,0.0,trustee,,0.5
control,67,9,Agent_2,0,0.0,investor,1.0,
control,67,9,Agent_3,0,0.0,investor,1.0,
control,67,9,Agent_4,0,0.0,investor,1.0,
control,67,9,Agent_5,0,0.0,investor,1.0,
control,68,1,Agent_2,0,0.0,investor,1.0,
control,68,1,Agent_3,0,0.0,investor,1.0,
control,68,1,Agent_5,0,0.0,investor,1.0,
control,68,1,Agent_8,0,0.0,investor,1.0,
control,68,2,Agent_1,0,0.0,trustee,,0.47
control,68,2,Agent_4,0,0.0,trustee,,0.47
control,68,2,Agent_6,0,0.0,investor,1.0,
control,68,2,Agent_7,0,0.0,investor,1.0,
control,68,3,Agent_1,0,0.0,investor,1.0,
control,68,3,Agent_2,0,0.0,investor,1.0,
control,68,3,Agent_4,0,0.0,investor,1.0,
control,68,3,Agent_5,0,0.0,investor,1.0,
control,68,4,Agent_3,0,0.0,trustee,,0.48000000000000004
control,68,4,Agent_6,0,0.0,trustee,,0.5
control,68,4,Agent_7,0,0.0,investor,1.0,
control,68,4,Agent_8,0,0.0,investor,1.0,
control,68,5,Agent_2,0,0.0,investor,1.0,
control,68,5,Agent_3,0,0.0,investor,1.0,
control,68,5,Agent_5,0,0.0,investor,1.0,
control,68,5,Agent_6,0,0.0,investor,1.0,
control,68,6,Agent_1,0,0.0,trustee,,0.4886666666666667
control,68,6,Agent_4,0,0.0,investor,1.0,
control,68,6,Agent_7,0,0.0,investor,1.0,
control,68,6,Agent_8,0,0.0,trustee,,0.5
control,68,7,Agent_1,0,0.0,investor,1.0,
control,68,7,Agent_3,0,0.0,investor,1.0,
control,68,7,Agent_6,0,0.0,investor,1.0,
control,68,7,Agent_8,0,0.0,investor,1.0,
control,68,8,Agent_2,0,0.0,trustee,,0.4106666666666667
control,68,8,Agent_4,0,0.0,investor,1.0,
control,68,8,Agent_5,0,0.0,investor,1.0,
control,68,8,Agent_7,0,0.0,trustee,,0.5760000000000001
control,68,9,Agent_2,0,0.0,investor,1.0,
control,68,9,Agent_3,0,0.0,investor,1.0,
control,68,9,Agent_7,0,0.0,investor,1.0,
control,68,9,Agent_8,0,0.0,investor,1.0,
defectors25,66,1,Agent_5,0,0.0,investor,1.0,
defectors25,66,1,Agent_8,0,0.0,investor,1.0,
defectors25,66,2,Agent_4,0,0.0,investor,1.0,
defectors25,66,2,Agent_7,0,0.0,trustee,,0.5
defectors25,66,3,Agent_5,0,0.0,investor,1.0,
defectors25,66,3,Agent_7,0,0.0,investor,1.0,
defectors25,66,3,Agent_8,0,0.0,investor,1.0,
defectors25,66,4,Agent_1,0,0.0,trustee,,
defectors25,66,4,Agent_6,0,0.0,trustee,,
defectors25,66,5,Agent_5,0,0.0,investor,1.0,
defectors25,66,5,Agent_7,0,0.0,investor,1.0,
defectors25,66,6,Agent_4,0,0.0,trustee,,0.5
defectors25,66,6,Agent_8,0,0.0,trustee,,0.5333333333333333
defectors25,66,7,Agent_4,0,0.0,investor,1.0,
defectors25,66,7,Agent_8,0,0.0,investor,1.0,
defectors25,66,8,Agent_1,0,0.0,investor,1.0,
defectors25,66,8,Agent_6,0,0.0,trustee,,0.4033333333333333
defectors25,66,8,Agent_7,0,0.0,investor,1.0,
defectors25,66,9,Agent_4,0,0.0,investor,1.0,
defectors25,66,9,Agent_6,0,0.0,investor,1.0,
defectors25,67,1,Agent_3,0,0.0,investor,1.0,
defectors25,67,1,Agent_5,0,0.0,investor,1.0,
defectors25,67,2,Agent_4,0,0.0,trustee,,
defectors25,67,2,Agent_6,0,0.0,investor,1.0,
defectors25,67,3,Agent_3,0,0.0,investor,1.0,
defectors25,67,3,Agent_8,0,0.0,investor,1.0,
defectors25,67,4,Agent_6,0,0.0,investor,1.0,
defectors25,67,4,Agent_7,0,0.0,investor,1.0,
defectors25,67,5,Agent_3,0,0.0,investor,1.0,
defectors25,67,5,Agent_4,0,0.0,investor,1.0,
defectors25,67,6,Agent_5,0,0.0,investor,1.0,
defectors25,67,6,Agent_7,0,0.0,trustee,,0.44666666666666666
defectors25,67,7,Agent_6,0,0.0,investor,1.0,
defectors25,67,7,Agent_7,0,0.0,investor,1.0,
defectors25,67,7,Agent_8,0,0.0,investor,1.0,
defectors25,67,8,Agent_3,0,0.0,trustee,,0.5
defectors25,67,8,Agent_4,0,0.0,trustee,,
defectors25,67,8,Agent_5,0,0.0,trustee,,0.5
defectors25,67,9,Agent_3,0,0.0,investor,1.0,
defectors25,67,9,Agent_5,0,0.0,investor,1.0,
defectors25,68,1,Agent_2,0,0.0,investor,1.0,
defectors25,68,1,Agent_3,0,0.0,investor,1.0,
defectors25,68,2,Agent_1,0,0.0,trustee,,0.47
defectors25,68,2,Agent_4,0,0.0,trustee,,
defectors25,68,2,Agent_7,0,0.0,investor,1.0,
defectors25,68,3,Agent_1,0,0.0,investor,1.0,
defectors25,68,3,Agent_5,0,0.0,investor,1.0,
defectors25,68,4,Agent_3,0,0.0,trustee,,
defectors25,68,4,Agent_7,0,0.0,investor,1.0,
defectors25,68,5,Agent_2,0,0.0,investor,1.0,
defectors25,68,5,Agent_5,0,0.0,investor,1.0,
defectors25,68,6,Agent_1,0,0.0,trustee,,0.4886666666666667
defectors25,68,6,Agent_4,0,0.0,investor,1.0,
defectors25,68,7,Agent_1,0,0.0,investor,1.0,
defectors25,68,7,Agent_3,0,0.0,investor,1.0,
defectors25,68,8,Agent_2,0,0.0,trustee,,0.4106666666666667
defectors25,68,8,Agent_5,0,0.0,investor,1.0,
defectors25,68,9,Agent_2,0,0.0,investor,1.0,
defectors25,68,9,Agent_7,0,0.0,investor,1.0,
