metric,contrast,label,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
standard_send_ratio,25% defectors − 0% defectors,Ordinary-agent proportion sent,3,-0.022222222222222216,-0.11783672732658093,0.0733922828821365,0.42264973081037427,-0.5773502691896256
standard_return_ratio,25% defectors − 0% defectors,Ordinary receiver return ratio,3,0.0013767075517074716,-0.049904317056998916,0.052657732160413855,0.9185928693305272,0.06668999251284437
standard_deduction_spent,25% defectors − 0% defectors,Ordinary sender deduction points,3,0.4000000000000001,0.11315648468692391,0.6868435153130763,0.026671473215424762,3.464101615137755
standard_any_deduction,25% defectors − 0% defectors,Probability of any deduction,3,0.20000000000000004,0.056578242343461954,0.34342175765653815,0.026671473215424762,3.464101615137755
deduct_to_standard_spent,25% defectors − 0% defectors,Deduction points toward ordinary receivers,3,0.0,0.0,0.0,1.0,0.0
deduct_to_standard_any,25% defectors − 0% defectors,Any deduction toward ordinary receivers,3,0.0,0.0,0.0,1.0,0.0
standard_myth_coop_density,25% defectors − 0% defectors,Ordinary myth cooperation density,3,-0.3212497746696849,-1.100198372693563,0.45769882335419304,0.2179785450972268,-1.024494661345944
standard_myth_threat_density,25% defectors − 0% defectors,Ordinary myth threat density,3,0.05898931488997248,-0.22041379358896987,0.33839242336891484,0.4595516883705978,0.5244665404920648
standard_myth_punishment_density,25% defectors − 0% defectors,Ordinary myth punishment density,3,0.03373160127149336,-0.3607478423823041,0.4282110449252909,0.7482247186505795,0.21241650013262228
standard_myth_punishment_presence,25% defectors − 0% defectors,Ordinary myth punishment presence,3,0.016666666666666673,-0.5242436643703432,0.5575769977036766,0.9066649382235925,0.07654188285875607
target_contrast_spent,defector receiver − ordinary receiver | 25% defectors,Deduction points: defector − ordinary target,3,1.5,0.42433681757596453,2.5756631824240355,0.02667147321542477,3.464101615137755
target_contrast_any,defector receiver − ordinary receiver | 25% defectors,Any deduction: defector − ordinary target,3,0.75,0.21216840878798227,1.2878315912120177,0.02667147321542477,3.464101615137755
