condition,author_type,term,count
control,standard,deduction,27
control,standard,punish,25
control,standard,punishment,21
control,standard,consequence,4
control,standard,consequences,2
control,standard,deduct,2
control,standard,punished,1
control,standard,penalty,1
control,standard,retaliation,1
defectors25,defector,deduction,7
defectors25,defector,punish,6
defectors25,defector,punishment,3
defectors25,defector,punishing,1
defectors25,defector,retaliate,1
defectors25,defector,punished,1
defectors25,defector,retaliatory,1
defectors25,defector,punishments,1
defectors25,standard,deduction,24
defectors25,standard,punish,20
defectors25,standard,punishment,10
defectors25,standard,consequence,6
defectors25,standard,retaliation,5
defectors25,standard,consequences,3
defectors25,standard,punished,3
defectors25,standard,retaliate,3
defectors25,standard,penalty,1
defectors25,standard,punishing,1
