condition,condition_label,replicate_id,round,standard_send_ratio,standard_deduction_spent,standard_any_deduction
control,0% defectors,66,1,1.0,0.0,0.0
control,0% defectors,66,2,1.0,0.0,0.0
control,0% defectors,66,3,1.0,0.0,0.0
control,0% defectors,66,4,1.0,0.0,0.0
control,0% defectors,66,5,1.0,0.0,0.0
control,0% defectors,66,6,1.0,0.0,0.0
control,0% defectors,66,7,1.0,0.0,0.0
control,0% defectors,66,8,1.0,0.0,0.0
control,0% defectors,66,9,1.0,0.0,0.0
control,0% defectors,66,10,1.0,0.0,0.0
control,0% defectors,67,1,1.0,0.0,0.0
control,0% defectors,67,2,1.0,0.0,0.0
control,0% defectors,67,3,1.0,0.0,0.0
control,0% defectors,67,4,1.0,0.0,0.0
control,0% defectors,67,5,1.0,0.0,0.0
control,0% defectors,67,6,1.0,0.0,0.0
control,0% defectors,67,7,1.0,0.0,0.0
control,0% defectors,67,8,1.0,0.0,0.0
control,0% defectors,67,9,1.0,0.0,0.0
control,0% defectors,67,10,1.0,0.0,0.0
control,0% defectors,68,1,1.0,0.0,0.0
control,0% defectors,68,2,1.0,0.0,0.0
control,0% defectors,68,3,1.0,0.0,0.0
control,0% defectors,68,4,1.0,0.0,0.0
control,0% defectors,68,5,1.0,0.0,0.0
control,0% defectors,68,6,1.0,0.0,0.0
control,0% defectors,68,7,1.0,0.0,0.0
control,0% defectors,68,8,1.0,0.0,0.0
control,0% defectors,68,9,1.0,0.0,0.0
control,0% defectors,68,10,1.0,0.0,0.0
defectors25,25% defectors,66,1,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,66,2,1.0,0.0,0.0
defectors25,25% defectors,66,3,1.0,0.0,0.0
defectors25,25% defectors,66,4,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,66,5,1.0,0.0,0.0
defectors25,25% defectors,66,6,1.0,1.0,0.5
defectors25,25% defectors,66,7,0.6666666666666666,0.0,0.0
defectors25,25% defectors,66,8,0.6666666666666666,0.0,0.0
defectors25,25% defectors,66,9,1.0,0.0,0.0
defectors25,25% defectors,66,10,1.0,0.0,0.0
defectors25,25% defectors,67,1,1.0,0.0,0.0
defectors25,25% defectors,67,2,1.0,0.5,0.25
defectors25,25% defectors,67,3,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,67,4,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,67,5,1.0,1.0,0.5
defectors25,25% defectors,67,6,1.0,0.0,0.0
defectors25,25% defectors,67,7,1.0,0.0,0.0
defectors25,25% defectors,67,8,1.0,0.0,0.0
defectors25,25% defectors,67,9,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,67,10,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,68,1,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,68,2,1.0,0.0,0.0
defectors25,25% defectors,68,3,1.0,0.0,0.0
defectors25,25% defectors,68,4,1.0,1.0,0.5
defectors25,25% defectors,68,5,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,68,6,1.0,0.0,0.0
defectors25,25% defectors,68,7,1.0,1.0,0.5
defectors25,25% defectors,68,8,1.0,0.0,0.0
defectors25,25% defectors,68,9,1.0,0.6666666666666666,0.3333333333333333
defectors25,25% defectors,68,10,1.0,0.0,0.0
