condition,condition_label,metric,n,mean,ci_low,ci_high
control,0% defectors,standard_send_ratio,3,1.0,1.0,1.0
control,0% defectors,standard_return_ratio,3,0.5037305555555555,0.43561580094172625,0.5718453101693847
control,0% defectors,standard_deduction_spent,3,0.0,0.0,0.0
control,0% defectors,standard_any_deduction,3,0.0,0.0,0.0
control,0% defectors,deduct_to_defector_spent,0,,,
control,0% defectors,deduct_to_defector_any,0,,,
control,0% defectors,deduct_to_standard_spent,3,0.0,0.0,0.0
control,0% defectors,deduct_to_standard_any,3,0.0,0.0,0.0
control,0% defectors,deduction_after_half_return_rate,3,0.0,0.0,0.0
control,0% defectors,deduction_return_slope,3,0.0,0.0,0.0
control,0% defectors,standard_myth_coop_density,3,2.60782929962574,2.1105807426822865,3.1050778565691934
control,0% defectors,standard_myth_threat_density,3,0.34758249057050866,0.29199315415535176,0.40317182698566556
control,0% defectors,standard_myth_punishment_density,3,0.17332572079786387,0.0393871352890213,0.3072643063067064
control,0% defectors,standard_myth_punishment_presence,3,0.31666666666666665,0.08360631047479233,0.5497270228585409
defectors25,25% defectors,standard_send_ratio,3,0.9777777777777779,0.8821632726734192,1.0733922828821365
defectors25,25% defectors,standard_return_ratio,3,0.505107263107263,0.4871362204067043,0.5230783058078216
defectors25,25% defectors,standard_deduction_spent,3,0.4000000000000001,0.11315648468692391,0.6868435153130763
defectors25,25% defectors,standard_any_deduction,3,0.20000000000000004,0.056578242343461954,0.34342175765653815
defectors25,25% defectors,deduct_to_defector_spent,3,1.5,0.42433681757596453,2.5756631824240355
defectors25,25% defectors,deduct_to_defector_any,3,0.75,0.21216840878798227,1.2878315912120177
defectors25,25% defectors,deduct_to_standard_spent,3,0.0,0.0,0.0
defectors25,25% defectors,deduct_to_standard_any,3,0.0,0.0,0.0
defectors25,25% defectors,deduction_after_half_return_rate,3,0.0,0.0,0.0
defectors25,25% defectors,deduction_return_slope,3,-2.845160879569186,-4.19113464646299,-1.4991871126753824
defectors25,25% defectors,standard_myth_coop_density,3,2.2865795249560548,2.0038604724978777,2.569298577414232
defectors25,25% defectors,standard_myth_threat_density,3,0.40657180546048116,0.18223390616018037,0.6309097047607819
defectors25,25% defectors,standard_myth_punishment_density,3,0.20705732206935723,-0.12758447639453546,0.54169912053325
defectors25,25% defectors,standard_myth_punishment_presence,3,0.3333333333333333,-0.10482737384313201,0.7714940405097986
