condition,condition_label,replicate_id,round,investor_id,trustee_id,target_type,send_ratio,actual_return_ratio,visible_return_ratio,deduction_spent,any_deduction,max_deduction,adequate_half_return,deduction_after_half_return,deduction_actual_loss
control,0% defectors,61,1,Agent_1,Agent_8,standard,0.6,0.2777777777777778,0.36044657097288674,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,1,Agent_3,Agent_4,standard,0.8,0.3333333333333333,0.3505050505050506,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,1,Agent_6,Agent_5,standard,0.8,0.3466666666666667,0.3324851569126378,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,1,Agent_7,Agent_2,standard,0.6,0.3333333333333333,0.34308943089430893,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,2,Agent_2,Agent_1,standard,0.8,0.3333333333333333,0.3619489559164733,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,2,Agent_4,Agent_7,standard,0.8,0.3333333333333333,0.33887569279493274,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,2,Agent_5,Agent_3,standard,0.7,0.47619047619047616,0.3409669211195928,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,2,Agent_8,Agent_6,standard,0.8,0.3333333333333333,0.3513513513513513,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,3,Agent_1,Agent_4,standard,0.8,0.375,0.5777777777777778,0,0.0,0.0,1.0,0.0,0.0
control,0% defectors,61,3,Agent_2,Agent_8,standard,0.6,0.3888888888888889,0.5604075691411936,2,1.0,1.0,1.0,1.0,5.5
control,0% defectors,61,3,Agent_6,Agent_3,standard,1.0,0.4666666666666667,0.5293333333333333,1,1.0,0.0,1.0,1.0,3.0
control,0% defectors,61,3,Agent_7,Agent_5,standard,0.8,0.4166666666666667,0.31220177232447177,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,4,Agent_3,Agent_6,standard,0.8,0.27499999999999997,0.296969696969697,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,4,Agent_4,Agent_2,standard,0.6,0.4444444444444444,0.4896755162241888,2,1.0,1.0,0.0,0.0,5.0
control,0% defectors,61,4,Agent_5,Agent_1,standard,0.8,0.3333333333333333,0.46249999999999997,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,4,Agent_8,Agent_7,standard,0.4,0.16666666666666666,0.21350762527233116,2,1.0,1.0,0.0,0.0,5.0
control,0% defectors,61,5,Agent_3,Agent_1,standard,1.0,0.4666666666666667,0.4033333333333333,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,5,Agent_4,Agent_6,standard,1.0,0.26666666666666666,0.305496074232691,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,5,Agent_5,Agent_2,standard,0.6,0.5555555555555556,0.6136363636363636,1,1.0,0.0,1.0,1.0,3.0
control,0% defectors,61,5,Agent_8,Agent_7,standard,0.6,0.3333333333333333,0.42401960784313725,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,6,Agent_1,Agent_5,standard,0.6,0.3333333333333333,0.3459119496855346,0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,6,Agent_2,Agent_8,standard,0.8,0.4166666666666667,0.3370206489675517,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,6,Agent_6,Agent_4,standard,1.0,0.4,0.42876344086021506,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,6,Agent_7,Agent_3,standard,1.0,0.4666666666666667,0.48200000000000004,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,7,Agent_2,Agent_3,standard,0.6,0.4444444444444444,0.378698224852071,2,1.0,1.0,0.0,0.0,5.0
control,0% defectors,61,7,Agent_4,Agent_8,standard,0.8,0.3333333333333333,0.3279220779220779,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,7,Agent_5,Agent_6,standard,0.8,0.25,0.2329192546583851,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,7,Agent_7,Agent_1,standard,0.8,0.3333333333333333,0.4041025641025641,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,8,Agent_1,Agent_4,standard,0.8,0.25,0.3777777777777777,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,8,Agent_3,Agent_2,standard,1.0,0.4666666666666667,0.4106666666666667,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,8,Agent_6,Agent_7,standard,1.0,0.3333333333333333,0.3957879448075527,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,8,Agent_8,Agent_5,standard,0.4,0.0,0.24853801169590642,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,9,Agent_3,Agent_7,standard,1.0,0.4,0.45188284518828453,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,9,Agent_4,Agent_1,standard,1.0,0.4,0.42467620995228367,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,9,Agent_5,Agent_2,standard,0.6,0.3333333333333333,0.4287356321839081,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,61,9,Agent_8,Agent_6,standard,0.6,0.3333333333333333,0.2732067510548523,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,10,Agent_1,Agent_8,standard,1.0,0.4666666666666667,0.5353951890034365,2,1.0,1.0,1.0,1.0,6.0
control,0% defectors,61,10,Agent_2,Agent_4,standard,0.8,0.3333333333333333,0.30182421227197354,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,10,Agent_6,Agent_3,standard,1.0,0.4,0.45417515274949083,2,1.0,1.0,0.0,0.0,6.0
control,0% defectors,61,10,Agent_7,Agent_5,standard,0.6,0.4444444444444444,0.29705882352941176,2,1.0,1.0,0.0,0.0,5.0
control,0% defectors,62,1,Agent_3,Agent_7,standard,0.8,0.3333333333333333,0.3544536271808999,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,62,1,Agent_5,Agent_2,standard,0.6,0.37,0.38538538538538536,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,62,1,Agent_6,Agent_4,standard,0.6,0.5555555555555556,0.47422680412371127,1,1.0,0.0,0.0,0.0,3.0
control,0% defectors,62,1,Agent_8,Agent_1,standard,0.8,0.3333333333333333,0.5324532453245324,1,1.0,0.0,1.0,1.0,3.0
