condition,replicate_id,source_round,agent_id,previous_deduction_spent,previous_any_deduction,next_role,next_send_ratio,next_return_ratio
control,61,1,Agent_2,1,1.0,investor,0.8,
control,61,1,Agent_4,1,1.0,investor,0.8,
control,61,1,Agent_5,1,1.0,investor,0.7,
control,61,1,Agent_8,1,1.0,investor,0.8,
control,61,2,Agent_1,1,1.0,investor,0.8,
control,61,2,Agent_3,1,1.0,trustee,,0.4666666666666667
control,61,2,Agent_6,1,1.0,investor,1.0,
control,61,2,Agent_7,1,1.0,investor,0.8,
control,61,3,Agent_3,1,1.0,investor,0.8,
control,61,3,Agent_4,0,0.0,investor,0.6,
control,61,3,Agent_5,2,1.0,investor,0.8,
control,61,3,Agent_8,2,1.0,investor,0.4,
control,61,4,Agent_1,2,1.0,trustee,,0.4666666666666667
control,61,4,Agent_2,2,1.0,trustee,,0.5555555555555556
control,61,4,Agent_6,1,1.0,trustee,,0.26666666666666666
control,61,4,Agent_7,2,1.0,trustee,,0.3333333333333333
control,61,5,Agent_1,2,1.0,investor,0.6,
control,61,5,Agent_2,1,1.0,investor,0.8,
control,61,5,Agent_6,1,1.0,investor,1.0,
control,61,5,Agent_7,1,1.0,investor,1.0,
control,61,6,Agent_3,2,1.0,trustee,,0.4444444444444444
control,61,6,Agent_4,2,1.0,investor,0.8,
control,61,6,Agent_5,0,0.0,investor,0.8,
control,61,6,Agent_8,2,1.0,trustee,,0.3333333333333333
control,61,7,Agent_1,2,1.0,investor,0.8,
control,61,7,Agent_3,2,1.0,investor,1.0,
control,61,7,Agent_6,2,1.0,investor,1.0,
control,61,7,Agent_8,2,1.0,investor,0.4,
control,61,8,Agent_2,2,1.0,trustee,,0.3333333333333333
control,61,8,Agent_4,1,1.0,investor,1.0,
control,61,8,Agent_5,1,1.0,investor,0.6,
control,61,8,Agent_7,2,1.0,trustee,,0.4
control,61,9,Agent_1,2,1.0,investor,1.0,
control,61,9,Agent_2,1,1.0,investor,0.8,
control,61,9,Agent_6,2,1.0,investor,1.0,
control,61,9,Agent_7,2,1.0,investor,0.6,
control,62,1,Agent_1,1,1.0,investor,0.8,
control,62,1,Agent_2,1,1.0,investor,0.5,
control,62,1,Agent_4,1,1.0,investor,0.8,
control,62,1,Agent_7,1,1.0,investor,0.5,
control,62,2,Agent_3,1,1.0,investor,1.0,
control,62,2,Agent_5,1,1.0,trustee,,0.3333333333333333
control,62,2,Agent_6,1,1.0,trustee,,0.4166666666666667
control,62,2,Agent_8,1,1.0,investor,1.0,
control,62,3,Agent_2,2,1.0,investor,0.6,
control,62,3,Agent_4,2,1.0,investor,1.0,
control,62,3,Agent_5,2,1.0,investor,0.8,
control,62,3,Agent_6,2,1.0,investor,0.8,
control,62,4,Agent_1,2,1.0,investor,1.0,
control,62,4,Agent_3,1,1.0,investor,1.0,
control,62,4,Agent_7,2,1.0,trustee,,0.4
control,62,4,Agent_8,1,1.0,investor,1.0,
control,62,5,Agent_2,2,1.0,investor,0.8,
control,62,5,Agent_4,2,1.0,investor,1.0,
control,62,5,Agent_5,2,1.0,investor,0.6,
control,62,5,Agent_7,1,1.0,investor,0.6,
control,62,6,Agent_1,2,1.0,investor,0.8,
control,62,6,Agent_3,2,1.0,investor,0.8,
control,62,6,Agent_6,2,1.0,trustee,,0.25
control,62,6,Agent_8,2,1.0,trustee,,0.4666666666666667
control,62,7,Agent_4,1,1.0,investor,1.0,
control,62,7,Agent_6,2,1.0,investor,0.8,
control,62,7,Agent_7,1,1.0,investor,0.8,
control,62,7,Agent_8,2,1.0,investor,1.0,
control,62,8,Agent_1,2,1.0,trustee,,0.4
control,62,8,Agent_2,2,1.0,trustee,,0.3333333333333333
control,62,8,Agent_3,2,1.0,investor,0.6,
control,62,8,Agent_5,2,1.0,trustee,,0.5333333333333333
control,62,9,Agent_1,2,1.0,investor,1.0,
control,62,9,Agent_2,2,1.0,investor,0.8,
control,62,9,Agent_5,2,1.0,investor,0.8,
control,62,9,Agent_7,0,0.0,investor,1.0,
control,63,1,Agent_1,1,1.0,investor,0.6,
control,63,1,Agent_3,1,1.0,investor,0.4,
control,63,1,Agent_5,1,1.0,investor,0.7,
control,63,1,Agent_6,1,1.0,investor,0.8,
control,63,2,Agent_2,1,1.0,trustee,,0.4166666666666667
control,63,2,Agent_4,1,1.0,investor,0.6,
control,63,2,Agent_7,1,1.0,trustee,,0.3333333333333333
control,63,2,Agent_8,1,1.0,investor,0.8,
control,63,3,Agent_2,2,1.0,investor,0.8,
control,63,3,Agent_3,2,1.0,investor,0.6,
control,63,3,Agent_5,0,0.0,investor,0.8,
control,63,3,Agent_7,0,0.0,investor,0.8,
control,63,4,Agent_1,2,1.0,trustee,,0.3333333333333333
control,63,4,Agent_4,2,1.0,trustee,,0.3333333333333333
control,63,4,Agent_6,1,1.0,investor,0.6,
control,63,4,Agent_8,2,1.0,trustee,,0.2222222222222222
control,63,5,Agent_1,2,1.0,investor,1.0,
control,63,5,Agent_4,2,1.0,investor,0.8,
control,63,5,Agent_7,2,1.0,investor,1.0,
control,63,5,Agent_8,1,1.0,investor,0.6,
control,63,6,Agent_2,2,1.0,trustee,,0.5
control,63,6,Agent_3,2,1.0,trustee,,0.3333333333333333
control,63,6,Agent_5,2,1.0,trustee,,0.4666666666666667
control,63,6,Agent_6,0,0.0,investor,0.8,
control,63,7,Agent_2,2,1.0,investor,1.0,
control,63,7,Agent_3,2,1.0,investor,0.6,
control,63,7,Agent_5,0,0.0,investor,0.8,
control,63,7,Agent_8,2,1.0,investor,0.8,
control,63,8,Agent_1,2,1.0,trustee,,0.3333333333333333
control,63,8,Agent_4,1,1.0,trustee,,0.4
control,63,8,Agent_6,0,0.0,investor,0.7,
control,63,8,Agent_7,2,1.0,trustee,,0.5714285714285714
control,63,9,Agent_1,2,1.0,investor,0.6,
control,63,9,Agent_4,2,1.0,investor,1.0,
control,63,9,Agent_5,2,1.0,investor,0.6,
control,63,9,Agent_7,2,1.0,investor,0.6,
control,64,1,Agent_2,1,1.0,investor,0.8,
control,64,1,Agent_5,1,1.0,investor,0.6,
control,64,1,Agent_7,1,1.0,investor,0.6,
control,64,1,Agent_8,1,1.0,investor,0.8,
control,64,2,Agent_1,1,1.0,investor,1.0,
control,64,2,Agent_3,1,1.0,trustee,,0.4
control,64,2,Agent_4,1,1.0,investor,1.0,
control,64,2,Agent_6,1,1.0,trustee,,0.4
control,64,3,Agent_3,2,1.0,investor,1.0,
control,64,3,Agent_5,0,0.0,investor,0.8,
control,64,3,Agent_6,2,1.0,investor,0.6,
control,64,3,Agent_7,2,1.0,investor,0.8,
control,64,4,Agent_1,1,1.0,trustee,,0.4
control,64,4,Agent_2,1,1.0,investor,1.0,
control,64,4,Agent_4,1,1.0,trustee,,0.3333333333333333
control,64,4,Agent_8,2,1.0,investor,0.8,
control,64,5,Agent_1,0,0.0,investor,1.0,
control,64,5,Agent_4,1,1.0,investor,0.8,
control,64,5,Agent_6,2,1.0,investor,0.8,
control,64,5,Agent_7,1,1.0,investor,1.0,
control,64,6,Agent_2,1,1.0,trustee,,0.4
control,64,6,Agent_3,2,1.0,trustee,,0.4
control,64,6,Agent_5,1,1.0,trustee,,0.25666666666666665
control,64,6,Agent_8,2,1.0,trustee,,0.26666666666666666
control,64,7,Agent_2,2,1.0,investor,0.8,
control,64,7,Agent_3,0,0.0,investor,1.0,
control,64,7,Agent_5,1,1.0,investor,0.8,
control,64,7,Agent_8,2,1.0,investor,0.6,
control,64,8,Agent_1,1,1.0,investor,1.0,
control,64,8,Agent_4,2,1.0,investor,0.6,
control,64,8,Agent_6,2,1.0,trustee,,0.2222222222222222
control,64,8,Agent_7,0,0.0,trustee,,0.4666666666666667
control,64,9,Agent_3,2,1.0,investor,1.0,
control,64,9,Agent_6,2,1.0,investor,0.8,
control,64,9,Agent_7,1,1.0,investor,0.8,
control,64,9,Agent_8,1,1.0,investor,0.8,
control,65,1,Agent_2,1,1.0,investor,0.6,
control,65,1,Agent_3,1,1.0,investor,0.8,
control,65,1,Agent_4,1,1.0,investor,0.8,
control,65,1,Agent_6,1,1.0,investor,0.8,
control,65,2,Agent_1,1,1.0,trustee,,0.4166666666666667
control,65,2,Agent_5,1,1.0,trustee,,0.3333333333333333
control,65,2,Agent_7,1,1.0,investor,0.6,
control,65,2,Agent_8,1,1.0,trustee,,0.4444444444444444
control,65,3,Agent_1,2,1.0,investor,0.8,
control,65,3,Agent_4,2,1.0,investor,0.6,
control,65,3,Agent_5,1,1.0,investor,0.8,
control,65,3,Agent_8,2,1.0,investor,0.4,
control,65,4,Agent_2,2,1.0,trustee,,0.5833333333333334
control,65,4,Agent_3,1,1.0,investor,0.8,
control,65,4,Agent_6,1,1.0,investor,1.0,
control,65,4,Agent_7,1,1.0,trustee,,0.4
control,65,5,Agent_2,0,0.0,investor,0.8,
control,65,5,Agent_5,2,1.0,investor,1.0,
control,65,5,Agent_7,2,1.0,investor,0.8,
control,65,5,Agent_8,2,1.0,investor,0.6,
control,65,6,Agent_1,2,1.0,investor,0.6,
control,65,6,Agent_3,2,1.0,trustee,,0.5
control,65,6,Agent_4,2,1.0,investor,1.0,
control,65,6,Agent_6,2,1.0,investor,0.8,
control,65,7,Agent_3,2,1.0,investor,1.0,
control,65,7,Agent_5,0,0.0,investor,0.8,
control,65,7,Agent_7,0,0.0,investor,1.0,
control,65,7,Agent_8,1,1.0,investor,0.8,
control,65,8,Agent_1,2,1.0,investor,0.8,
control,65,8,Agent_2,1,1.0,trustee,,0.3333333333333333
control,65,8,Agent_4,1,1.0,investor,1.0,
control,65,8,Agent_6,0,0.0,trustee,,0.5
control,65,9,Agent_2,2,1.0,investor,1.0,
control,65,9,Agent_5,0,0.0,investor,1.0,
control,65,9,Agent_6,1,1.0,investor,0.6,
control,65,9,Agent_7,2,1.0,investor,1.0,
defectors25,61,1,Agent_4,1,1.0,investor,0.6,
defectors25,61,1,Agent_5,1,1.0,investor,0.8,
defectors25,61,2,Agent_3,1,1.0,trustee,,0.4166666666666667
defectors25,61,2,Agent_7,1,1.0,investor,1.0,
defectors25,61,3,Agent_3,2,1.0,investor,0.6,
defectors25,61,3,Agent_4,2,1.0,investor,0.8,
defectors25,61,3,Agent_5,2,1.0,investor,0.6,
defectors25,61,4,Agent_1,2,1.0,trustee,,0.5650000000000001
defectors25,61,4,Agent_6,2,1.0,trustee,,0.4666666666666667
defectors25,61,5,Agent_1,2,1.0,investor,0.6,
defectors25,61,5,Agent_6,2,1.0,investor,1.0,
defectors25,61,6,Agent_3,1,1.0,trustee,,
defectors25,61,6,Agent_4,2,1.0,investor,0.8,
defectors25,61,6,Agent_5,2,1.0,investor,1.0,
defectors25,61,7,Agent_1,2,1.0,investor,0.8,
defectors25,61,7,Agent_6,2,1.0,investor,1.0,
defectors25,61,8,Agent_4,2,1.0,investor,1.0,
defectors25,61,8,Agent_7,2,1.0,trustee,,0.4166666666666667
defectors25,61,9,Agent_1,2,1.0,investor,1.0,
defectors25,61,9,Agent_7,2,1.0,investor,0.6,
defectors25,62,1,Agent_2,1,1.0,investor,0.8,
defectors25,62,1,Agent_4,1,1.0,investor,0.6,
defectors25,62,2,Agent_5,1,1.0,trustee,,0.3333333333333333
defectors25,62,2,Agent_8,1,1.0,investor,1.0,
defectors25,62,3,Agent_5,2,1.0,investor,0.6,
defectors25,62,3,Agent_6,2,1.0,investor,1.0,
defectors25,62,4,Agent_7,2,1.0,trustee,,
defectors25,62,4,Agent_8,1,1.0,investor,0.8,
defectors25,62,5,Agent_2,2,1.0,investor,1.0,
defectors25,62,5,Agent_5,0,0.0,investor,0.8,
defectors25,62,6,Agent_6,2,1.0,trustee,,
defectors25,62,6,Agent_8,2,1.0,trustee,,0.4666666666666667
defectors25,62,7,Agent_4,0,0.0,investor,0.8,
defectors25,62,7,Agent_8,2,1.0,investor,0.8,
defectors25,62,8,Agent_2,1,1.0,trustee,,
defectors25,62,8,Agent_5,1,1.0,trustee,,0.4666666666666667
defectors25,62,9,Agent_5,2,1.0,investor,1.0,
defectors25,62,9,Agent_7,0,0.0,investor,0.8,
defectors25,63,1,Agent_1,0,0.0,investor,0.8,
defectors25,63,1,Agent_6,1,1.0,investor,0.8,
defectors25,63,2,Agent_2,1,1.0,trustee,,
defectors25,63,2,Agent_7,1,1.0,trustee,,
defectors25,63,3,Agent_3,2,1.0,investor,0.6,
defectors25,63,3,Agent_5,2,1.0,investor,0.8,
defectors25,63,4,Agent_1,1,1.0,trustee,,0.5833333333333334
defectors25,63,4,Agent_6,1,1.0,investor,0.8,
defectors25,63,5,Agent_1,1,1.0,investor,0.8,
defectors25,63,5,Agent_7,2,1.0,investor,0.8,
defectors25,63,6,Agent_2,2,1.0,trustee,,0.3333333333333333
defectors25,63,6,Agent_3,1,1.0,trustee,,0.4
defectors25,63,7,Agent_2,2,1.0,investor,0.8,
defectors25,63,7,Agent_3,2,1.0,investor,0.6,
defectors25,63,8,Agent_1,2,1.0,trustee,,0.4666666666666667
defectors25,63,8,Agent_7,2,1.0,trustee,,0.4
defectors25,63,9,Agent_1,0,0.0,investor,0.8,
defectors25,63,9,Agent_5,2,1.0,investor,1.0,
defectors25,63,9,Agent_7,2,1.0,investor,0.8,
defectors25,64,1,Agent_2,2,1.0,investor,0.6,
defectors25,64,1,Agent_7,2,1.0,investor,1.0,
defectors25,64,2,Agent_4,1,1.0,investor,0.8,
defectors25,64,2,Agent_6,0,0.0,trustee,,
defectors25,64,3,Agent_3,2,1.0,investor,0.8,
defectors25,64,3,Agent_7,2,1.0,investor,0.8,
defectors25,64,4,Agent_2,1,1.0,investor,1.0,
defectors25,64,4,Agent_4,0,0.0,trustee,,
defectors25,64,5,Agent_6,2,1.0,investor,1.0,
defectors25,64,5,Agent_7,1,1.0,investor,0.6,
defectors25,64,6,Agent_3,2,1.0,trustee,,0.5725
defectors25,64,6,Agent_5,2,1.0,trustee,,0.28733333333333333
defectors25,64,7,Agent_2,2,1.0,investor,0.8,
defectors25,64,7,Agent_3,1,1.0,investor,0.8,
defectors25,64,7,Agent_5,2,1.0,investor,1.0,
defectors25,64,8,Agent_6,2,1.0,trustee,,0.26666666666666666
defectors25,64,8,Agent_7,1,1.0,trustee,,0.6
defectors25,64,9,Agent_3,1,1.0,investor,1.0,
defectors25,64,9,Agent_6,2,1.0,investor,1.0,
defectors25,64,9,Agent_7,2,1.0,investor,0.8,
defectors25,65,1,Agent_2,1,1.0,investor,0.6,
defectors25,65,1,Agent_6,1,1.0,investor,0.6,
defectors25,65,2,Agent_1,1,1.0,trustee,,0.5
defectors25,65,2,Agent_5,1,1.0,trustee,,
defectors25,65,3,Agent_1,2,1.0,investor,0.8,
defectors25,65,3,Agent_8,2,1.0,investor,0.8,
defectors25,65,4,Agent_2,2,1.0,trustee,,
defectors25,65,4,Agent_6,2,1.0,investor,0.6,
defectors25,65,5,Agent_5,1,1.0,investor,1.0,
defectors25,65,5,Agent_8,1,1.0,investor,1.0,
defectors25,65,6,Agent_1,2,1.0,investor,0.6,
defectors25,65,6,Agent_6,2,1.0,investor,0.8,
defectors25,65,7,Agent_5,2,1.0,investor,0.8,
defectors25,65,7,Agent_8,2,1.0,investor,1.0,
defectors25,65,8,Agent_1,2,1.0,investor,0.8,
defectors25,65,8,Agent_2,2,1.0,trustee,,0.3333333333333333
defectors25,65,9,Agent_2,2,1.0,investor,0.6,
defectors25,65,9,Agent_6,1,1.0,investor,1.0,
