metric,contrast,label,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
standard_send_ratio,25% defectors − 0% defectors,Ordinary-agent proportion sent,5,0.0051666666666667195,-0.021177068776337103,0.03151040210967054,0.6150112379030674,0.24352142484118533
standard_return_ratio,25% defectors − 0% defectors,Ordinary receiver return ratio,5,0.026809012746512796,-0.004347190099469586,0.05796521559249518,0.0752453138202464,1.068416010747064
standard_deduction_spent,25% defectors − 0% defectors,Ordinary sender deduction points,5,0.019999999999999973,-0.23509573102832582,0.27509573102832574,0.8383328336983604,0.09734886532192817
standard_any_deduction,25% defectors − 0% defectors,Probability of any deduction,5,0.02000000000000004,-0.0927797333149522,0.13277973331495227,0.6482612949673064,0.22019275302527253
deduct_to_standard_spent,25% defectors − 0% defectors,Deduction points toward ordinary receivers,5,0.0673160173160173,-0.264362388918991,0.39899442355102566,0.6031879763809205,0.2520027642213683
deduct_to_standard_any,25% defectors − 0% defectors,Any deduction toward ordinary receivers,5,0.013246753246753262,-0.1262975624260001,0.1527910689195066,0.8051363975431859,0.11786948483200685
standard_myth_coop_density,25% defectors − 0% defectors,Ordinary myth cooperation density,5,0.2623043630262232,-0.4133855645368383,0.9379942905892846,0.34177543259761994,0.4820167814489669
standard_myth_threat_density,25% defectors − 0% defectors,Ordinary myth threat density,5,0.029505283858132676,-0.0373758836246925,0.09638645134095786,0.2878265335948037,0.5477722668766805
standard_myth_punishment_density,25% defectors − 0% defectors,Ordinary myth punishment density,5,-0.1792335363022503,-0.6348692321088956,0.276402159504395,0.336128872985536,-0.4884337011902882
standard_myth_punishment_presence,25% defectors − 0% defectors,Ordinary myth punishment presence,5,0.04916666666666665,-0.4887558890941733,0.5870892224275066,0.8121836695245442,0.11348934759825778
target_contrast_spent,defector receiver − ordinary receiver | 25% defectors,Deduction points: defector − ordinary target,5,-0.18342712842712844,-0.6114605980100112,0.24460634115575425,0.2999170781228755,-0.5320959173678883
target_contrast_any,defector receiver − ordinary receiver | 25% defectors,Any deduction: defector − ordinary target,5,0.01730880230880232,-0.13228048312966895,0.1668980877472736,0.764099676021719,0.14367149770032156
