condition,author_type,term,count
control,standard,deduction,234
control,standard,deductions,54
control,standard,deduct,32
control,standard,consequence,12
control,standard,punish,9
control,standard,consequences,6
control,standard,punishment,5
control,standard,punishments,5
control,standard,penalties,3
control,standard,punishing,1
control,standard,deducted,1
defectors25,defector,deduction,78
defectors25,defector,punish,5
defectors25,defector,consequence,4
defectors25,defector,punishment,2
defectors25,defector,penalty,1
defectors25,defector,deductions,1
defectors25,defector,punishments,1
defectors25,standard,deduction,184
defectors25,standard,punish,19
defectors25,standard,consequence,13
defectors25,standard,punishment,11
defectors25,standard,consequences,3
defectors25,standard,deductions,2
defectors25,standard,punishments,1
defectors25,standard,punishes,1
defectors25,standard,punished,1
defectors25,standard,penalty,1
