condition,condition_label,replicate_id,round,standard_send_ratio,standard_deduction_spent,standard_any_deduction
control,0% defectors,61,1,0.7,1.0,1.0
control,0% defectors,61,2,0.7749999999999999,1.0,1.0
control,0% defectors,61,3,0.8,1.25,0.75
control,0% defectors,61,4,0.65,1.75,1.0
control,0% defectors,61,5,0.8,1.25,1.0
control,0% defectors,61,6,0.85,1.5,0.75
control,0% defectors,61,7,0.75,2.0,1.0
control,0% defectors,61,8,0.8,1.5,1.0
control,0% defectors,61,9,0.8,1.75,1.0
control,0% defectors,61,10,0.8500000000000001,2.0,1.0
control,0% defectors,62,1,0.7,1.0,1.0
control,0% defectors,62,2,0.65,1.0,1.0
control,0% defectors,62,3,0.95,2.0,1.0
control,0% defectors,62,4,0.8,1.5,1.0
control,0% defectors,62,5,1.0,1.75,1.0
control,0% defectors,62,6,0.75,2.0,1.0
control,0% defectors,62,7,0.8500000000000001,1.5,1.0
control,0% defectors,62,8,0.8999999999999999,2.0,1.0
control,0% defectors,62,9,0.9,1.5,0.75
control,0% defectors,62,10,0.8999999999999999,2.0,1.0
control,0% defectors,63,1,0.65,1.0,1.0
control,0% defectors,63,2,0.6249999999999999,1.0,1.0
control,0% defectors,63,3,0.8,1.0,0.5
control,0% defectors,63,4,0.75,1.75,1.0
control,0% defectors,63,5,0.75,1.75,1.0
control,0% defectors,63,6,0.85,1.5,0.75
control,0% defectors,63,7,0.8500000000000001,1.5,0.75
control,0% defectors,63,8,0.8,1.25,0.75
control,0% defectors,63,9,0.875,2.0,1.0
control,0% defectors,63,10,0.7000000000000001,1.5,1.0
control,0% defectors,64,1,0.8,1.0,1.0
control,0% defectors,64,2,0.7,1.0,1.0
control,0% defectors,64,3,0.95,1.5,0.75
control,0% defectors,64,4,0.8,1.25,1.0
control,0% defectors,64,5,0.8999999999999999,1.0,0.75
control,0% defectors,64,6,0.8999999999999999,1.5,1.0
control,0% defectors,64,7,0.9,1.25,0.75
control,0% defectors,64,8,0.8,1.25,0.75
control,0% defectors,64,9,0.9,1.5,1.0
control,0% defectors,64,10,0.8500000000000001,1.0,0.75
control,0% defectors,65,1,0.7,1.0,1.0
control,0% defectors,65,2,0.7500000000000001,1.0,1.0
control,0% defectors,65,3,0.75,1.75,1.0
control,0% defectors,65,4,0.65,1.25,1.0
control,0% defectors,65,5,0.8999999999999999,1.5,0.75
control,0% defectors,65,6,0.8,2.0,1.0
control,0% defectors,65,7,0.85,0.75,0.5
control,0% defectors,65,8,0.9,1.0,0.75
control,0% defectors,65,9,0.95,1.25,0.75
control,0% defectors,65,10,0.9,0.75,0.5
defectors25,25% defectors,61,1,0.7500000000000001,1.0,1.0
defectors25,25% defectors,61,2,0.7,1.0,1.0
defectors25,25% defectors,61,3,0.8666666666666667,2.0,1.0
defectors25,25% defectors,61,4,0.6666666666666666,1.6666666666666667,1.0
defectors25,25% defectors,61,5,0.8666666666666667,1.6666666666666667,1.0
defectors25,25% defectors,61,6,0.8666666666666667,1.6666666666666667,1.0
defectors25,25% defectors,61,7,0.8666666666666667,1.6666666666666667,1.0
defectors25,25% defectors,61,8,0.8000000000000002,1.6666666666666667,1.0
defectors25,25% defectors,61,9,0.8666666666666667,2.0,1.0
defectors25,25% defectors,61,10,0.7999999999999999,1.6666666666666667,1.0
defectors25,25% defectors,62,1,0.8000000000000002,1.0,1.0
defectors25,25% defectors,62,2,0.6666666666666666,1.0,1.0
defectors25,25% defectors,62,3,1.0,2.0,1.0
defectors25,25% defectors,62,4,0.8500000000000001,1.5,1.0
defectors25,25% defectors,62,5,0.8,1.0,0.5
defectors25,25% defectors,62,6,0.9,1.75,1.0
defectors25,25% defectors,62,7,1.0,1.0,0.5
defectors25,25% defectors,62,8,0.7000000000000001,1.5,1.0
defectors25,25% defectors,62,9,0.9333333333333332,1.3333333333333333,0.6666666666666666
defectors25,25% defectors,62,10,0.9333333333333332,1.3333333333333333,0.6666666666666666
defectors25,25% defectors,63,1,0.7,0.5,0.5
defectors25,25% defectors,63,2,0.65,1.0,1.0
defectors25,25% defectors,63,3,0.6,2.0,1.0
defectors25,25% defectors,63,4,0.7,1.0,1.0
defectors25,25% defectors,63,5,0.8,1.25,0.75
defectors25,25% defectors,63,6,0.8,1.5,1.0
defectors25,25% defectors,63,7,1.0,2.0,1.0
defectors25,25% defectors,63,8,0.7333333333333334,1.3333333333333333,0.6666666666666666
defectors25,25% defectors,63,9,0.9333333333333332,1.3333333333333333,0.6666666666666666
defectors25,25% defectors,63,10,0.8666666666666667,1.3333333333333333,1.0
defectors25,25% defectors,64,1,0.7333333333333334,1.6666666666666667,1.0
defectors25,25% defectors,64,2,0.7333333333333334,0.6666666666666666,0.6666666666666666
defectors25,25% defectors,64,3,0.8,2.0,1.0
defectors25,25% defectors,64,4,0.75,0.75,0.5
defectors25,25% defectors,64,5,1.0,1.3333333333333333,1.0
defectors25,25% defectors,64,6,0.8666666666666667,1.6666666666666667,1.0
defectors25,25% defectors,64,7,0.8666666666666667,1.6666666666666667,1.0
defectors25,25% defectors,64,8,0.8666666666666667,1.6666666666666667,1.0
defectors25,25% defectors,64,9,1.0,1.6666666666666667,1.0
defectors25,25% defectors,64,10,0.9333333333333332,1.0,1.0
defectors25,25% defectors,65,1,0.6666666666666666,1.0,1.0
defectors25,25% defectors,65,2,0.5333333333333333,1.0,1.0
defectors25,25% defectors,65,3,0.8,2.0,1.0
defectors25,25% defectors,65,4,0.7500000000000001,2.0,1.0
