condition,condition_label,replicate_id,defector_ids,n_standard_sender_decisions,n_defector_targets,standard_send_ratio,standard_return_ratio,standard_deduction_spent,standard_any_deduction,deduct_to_defector_spent,deduct_to_defector_any,deduct_to_standard_spent,deduct_to_standard_any,deduction_after_half_return_rate,deduction_return_slope,standard_myth_coop_density,standard_myth_threat_density,standard_myth_punishment_density,standard_myth_punishment_presence
control,0% defectors,61,,40,0,0.7775000000000001,0.3598769841269841,1.5,0.95,,,1.5,0.95,0.8,-0.2868367617098909,4.328743095383522,0.04008076422636781,0.02854949589798978,0.0625
control,0% defectors,62,,40,0,0.8399999999999999,0.4188333333333333,1.625,0.975,,,1.625,0.975,1.0,1.0599646778279972,4.395103428518601,0.06406495876933258,0.5286408777122016,0.7125
control,0% defectors,63,,40,0,0.765,0.41866666666666663,1.425,0.875,,,1.425,0.875,0.9230769230769231,-0.49289771575926505,3.856603867718672,0.12099869205300764,0.4614019831130472,0.8625
control,0% defectors,64,,40,0,0.85,0.40588055555555547,1.225,0.875,,,1.225,0.875,1.0,0.03796306624165384,3.8803417441408685,0.011547405700631506,0.8656575956567497,0.5
control,0% defectors,65,,40,0,0.8150000000000001,0.45100694444444456,1.225,0.825,,,1.225,0.825,0.5454545454545454,-0.9388811083877796,3.396460730395546,0.05032287492609949,0.8167910991899678,0.8
defectors25,25% defectors,61,"Agent_2,Agent_8",30,8,0.8066666666666669,0.4204494949494949,1.6,1.0,1.25,1.0,1.7272727272727273,1.0,1.0,1.2035415008028068,4.794761632045845,0.03043808520518855,0.3238022351659579,0.6166666666666667
defectors25,25% defectors,62,"Agent_1,Agent_3",30,10,0.8466666666666666,0.4552833333333334,1.3666666666666667,0.8666666666666667,1.6,1.0,1.25,0.8,0.8571428571428571,-0.9666253076581353,3.9950495825654757,0.13083680639666484,0.5241715949141647,0.8333333333333334
defectors25,25% defectors,63,"Agent_4,Agent_8",30,9,0.78,0.4502380952380953,1.3,0.8666666666666667,1.0,0.7777777777777778,1.4285714285714286,0.9047619047619048,1.0,1.1289718393104093,3.8905242933858646,0.07655386851818068,0.3558255698636945,0.6666666666666666
defectors25,25% defectors,64,"Agent_1,Agent_8",30,8,0.8533333333333334,0.4157777777777778,1.3666666666666667,0.9,1.125,0.875,1.4545454545454546,0.9090909090909091,1.0,0.6594420079969796,4.030007191197022,0.0920106219236185,0.4150343716642418,0.8166666666666667
defectors25,25% defectors,65,"Agent_3,Agent_7",30,9,0.7866666666666667,0.4465608465608466,1.4666666666666666,0.9666666666666667,1.4444444444444444,1.0,1.4761904761904763,0.9523809523809523,1.0,0.34582413724166006,4.458431982094117,0.10470173292244983,0.18603959845064563,0.25
