condition,condition_label,metric,n,mean,ci_low,ci_high
control,0% defectors,standard_send_ratio,5,0.8095000000000001,0.7630204513784284,0.8559795486215718
control,0% defectors,standard_return_ratio,5,0.41085289682539683,0.3698574942775695,0.4518482993732242
control,0% defectors,standard_deduction_spent,5,1.4,1.182708800314341,1.617291199685659
control,0% defectors,standard_any_deduction,5,0.9,0.8239639193104181,0.9760360806895819
control,0% defectors,deduct_to_defector_spent,0,,,
control,0% defectors,deduct_to_defector_any,0,,,
control,0% defectors,deduct_to_standard_spent,5,1.4,1.182708800314341,1.617291199685659
control,0% defectors,deduct_to_standard_any,5,0.9,0.8239639193104181,0.9760360806895819
control,0% defectors,deduction_after_half_return_rate,5,0.8537062937062938,0.616877407985424,1.0905351794271636
control,0% defectors,deduction_return_slope,5,-0.1241375683574569,-1.056344642464725,0.8080695057498111
control,0% defectors,standard_myth_coop_density,5,3.9714505732314413,3.467373375947533,4.47552777051535
control,0% defectors,standard_myth_threat_density,5,0.0574029391350878,0.0071894986255794935,0.10761637964459611
control,0% defectors,standard_myth_punishment_density,5,0.5402082103139912,0.12348504402078425,0.9569313766071983
control,0% defectors,standard_myth_punishment_presence,5,0.5875,0.18530458947205575,0.9896954105279443
defectors25,25% defectors,standard_send_ratio,5,0.8146666666666669,0.7727024238190081,0.8566309095143256
defectors25,25% defectors,standard_return_ratio,5,0.43766190957190965,0.415079931430786,0.4602438877130333
defectors25,25% defectors,standard_deduction_spent,5,1.42,1.2748438669778297,1.5651561330221702
defectors25,25% defectors,standard_any_deduction,5,0.9199999999999999,0.8448135111233651,0.9951864888766347
defectors25,25% defectors,deduct_to_defector_spent,5,1.2838888888888889,0.9844113741069056,1.5833664036708721
defectors25,25% defectors,deduct_to_defector_any,5,0.9305555555555556,0.8050076339932386,1.0561034771178726
defectors25,25% defectors,deduct_to_standard_spent,5,1.4673160173160174,1.2553705477751702,1.6792614868568645
defectors25,25% defectors,deduct_to_standard_any,5,0.9132467532467533,0.82122172801807,1.0052717784754366
defectors25,25% defectors,deduction_after_half_return_rate,5,0.9714285714285715,0.8921015684229201,1.050755574434223
defectors25,25% defectors,deduction_return_slope,5,0.4742308355387442,-0.6166396600560711,1.5651013311335593
defectors25,25% defectors,standard_myth_coop_density,5,4.233754936257665,3.760328728766196,4.707181143749135
defectors25,25% defectors,standard_myth_threat_density,5,0.08690822299322049,0.04058045535598146,0.13323599063045952
defectors25,25% defectors,standard_myth_punishment_density,5,0.3609746740117409,0.20693041594088726,0.5150189320825945
defectors25,25% defectors,standard_myth_punishment_presence,5,0.6366666666666667,0.3442232352698399,0.9291100980634935
