condition,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses,notifications
control,61,532794,23961,0,200,0,0,40
control,62,535083,24173,0,200,0,0,40
control,63,539703,24390,0,202,2,0,40
control,64,533929,23914,0,203,3,0,40
control,65,535695,24077,0,202,2,0,40
defectors25,61,456051,23801,0,170,0,30,40
defectors25,62,451916,23460,0,171,1,30,40
defectors25,63,462160,23938,0,173,3,30,40
defectors25,64,451276,23357,0,171,1,30,40
defectors25,65,457676,23805,0,171,1,30,40
