condition,condition_label,replicate_id,round,trust_ratio,return_ratio
game,Game only,90,1,1.0,0.4698333333333333
game,Game only,90,2,1.0,0.4726666666666667
game,Game only,90,3,1.0,0.43966666666666665
game,Game only,90,4,1.0,0.4478333333333333
game,Game only,90,5,1.0,0.4685
game,Game only,90,6,1.0,0.48133333333333334
game,Game only,90,7,1.0,0.4523333333333333
game,Game only,90,8,1.0,0.45866666666666667
game,Game only,90,9,1.0,0.4686666666666667
game,Game only,90,10,1.0,0.5
game,Game only,91,1,1.0,0.4683333333333333
game,Game only,91,2,1.0,0.47650000000000003
game,Game only,91,3,1.0,0.4653333333333333
game,Game only,91,4,1.0,0.476
game,Game only,91,5,1.0,0.4693333333333333
game,Game only,91,6,1.0,0.49083333333333334
game,Game only,91,7,1.0,0.5
game,Game only,91,8,1.0,0.49333333333333335
game,Game only,91,9,1.0,0.4681666666666667
game,Game only,91,10,1.0,0.47583333333333333
game,Game only,92,1,1.0,0.4558333333333333
game,Game only,92,2,1.0,0.47933333333333333
game,Game only,92,3,1.0,0.4668333333333334
game,Game only,92,4,1.0,0.4845
game,Game only,92,5,1.0,0.45033333333333336
game,Game only,92,6,1.0,0.482
game,Game only,92,7,1.0,0.45883333333333337
game,Game only,92,8,1.0,0.4765
game,Game only,92,9,1.0,0.4975
game,Game only,92,10,1.0,0.49733333333333335
game_myth,Game → Myth,90,1,1.0,0.4698333333333333
game_myth,Game → Myth,90,2,1.0,0.4729166666666667
game_myth,Game → Myth,90,3,1.0,0.4395833333333333
game_myth,Game → Myth,90,4,1.0,0.44775
game_myth,Game → Myth,90,5,1.0,0.4685
game_myth,Game → Myth,90,6,1.0,0.48125
game_myth,Game → Myth,90,7,1.0,0.45225
game_myth,Game → Myth,90,8,1.0,0.4585
game_myth,Game → Myth,90,9,1.0,0.46875
game_myth,Game → Myth,90,10,1.0,0.5
game_myth,Game → Myth,91,1,1.0,0.4681666666666666
game_myth,Game → Myth,91,2,1.0,0.47650000000000003
game_myth,Game → Myth,91,3,1.0,0.46525
game_myth,Game → Myth,91,4,1.0,0.476
game_myth,Game → Myth,91,5,1.0,0.46925
game_myth,Game → Myth,91,6,1.0,0.49083333333333334
game_myth,Game → Myth,91,7,1.0,0.5
game_myth,Game → Myth,91,8,1.0,0.49324999999999997
game_myth,Game → Myth,91,9,1.0,0.4680833333333333
game_myth,Game → Myth,91,10,1.0,0.47575
game_myth,Game → Myth,92,1,1.0,0.4568333333333333
game_myth,Game → Myth,92,2,1.0,0.47933333333333333
game_myth,Game → Myth,92,3,1.0,0.4730833333333333
game_myth,Game → Myth,92,4,1.0,0.4845
game_myth,Game → Myth,92,5,1.0,0.45033333333333336
game_myth,Game → Myth,92,6,1.0,0.482
game_myth,Game → Myth,92,7,1.0,0.45875
game_myth,Game → Myth,92,8,1.0,0.47658333333333336
game_myth,Game → Myth,92,9,1.0,0.4975
game_myth,Game → Myth,92,10,1.0,0.49724999999999997
myth_game,Myth → Game,90,1,1.0,0.4698333333333333
myth_game,Myth → Game,90,2,1.0,0.4729166666666667
myth_game,Myth → Game,90,3,1.0,0.4395833333333333
myth_game,Myth → Game,90,4,1.0,0.44775
myth_game,Myth → Game,90,5,1.0,0.4685
myth_game,Myth → Game,90,6,1.0,0.48125
myth_game,Myth → Game,90,7,1.0,0.45225
myth_game,Myth → Game,90,8,1.0,0.4585
myth_game,Myth → Game,90,9,1.0,0.46875
myth_game,Myth → Game,90,10,1.0,0.5
myth_game,Myth → Game,91,1,1.0,0.4683333333333333
myth_game,Myth → Game,91,2,1.0,0.47650000000000003
myth_game,Myth → Game,91,3,1.0,0.46525
myth_game,Myth → Game,91,4,1.0,0.476
myth_game,Myth → Game,91,5,1.0,0.46925
myth_game,Myth → Game,91,6,1.0,0.49075
myth_game,Myth → Game,91,7,1.0,0.5
myth_game,Myth → Game,91,8,1.0,0.49324999999999997
myth_game,Myth → Game,91,9,1.0,0.46799999999999997
myth_game,Myth → Game,91,10,1.0,0.47575
myth_game,Myth → Game,92,1,1.0,0.4633333333333333
myth_game,Myth → Game,92,2,1.0,0.47933333333333333
myth_game,Myth → Game,92,3,1.0,0.46675
myth_game,Myth → Game,92,4,1.0,0.4845
myth_game,Myth → Game,92,5,1.0,0.45033333333333336
myth_game,Myth → Game,92,6,1.0,0.482
myth_game,Myth → Game,92,7,1.0,0.45875
myth_game,Myth → Game,92,8,1.0,0.47658333333333336
myth_game,Myth → Game,92,9,1.0,0.4975
myth_game,Myth → Game,92,10,1.0,0.49724999999999997
