condition,metric,n,mean,ci_low,ci_high
game,final_balance,3,75.0,75.0,75.0
game,mean_trust_ratio,3,1.0,1.0,1.0
game,mean_return_ratio,3,0.4730722222222223,0.45715648130971753,0.48898796313472703
game,maximum_send_rate,3,1.0,1.0,1.0
game_myth,final_balance,3,75.0,75.0,75.0
game_myth,mean_trust_ratio,3,1.0,1.0,1.0
game_myth,mean_return_ratio,3,0.47328611111111113,0.45711844415495523,0.48945377806726703
game_myth,maximum_send_rate,3,1.0,1.0,1.0
myth_game,final_balance,3,75.0,75.0,75.0
myth_game,mean_trust_ratio,3,1.0,1.0,1.0
myth_game,mean_return_ratio,3,0.47329166666666667,0.4571165709481402,0.48946676238519315
myth_game,maximum_send_rate,3,1.0,1.0,1.0
