identity_arm,identity_label,replicate_id,round,trust_ratio,return_ratio
relative,Round-local pair IDs,15,1,0.5499999999999999,0.36847222222222226
relative,Round-local pair IDs,15,2,0.617,0.3324465811965812
relative,Round-local pair IDs,15,3,0.6,0.4463888888888889
relative,Round-local pair IDs,15,4,0.6500000000000001,0.36027777777777775
relative,Round-local pair IDs,15,5,0.75,0.33791666666666664
relative,Round-local pair IDs,15,6,0.6499999999999999,0.5479166666666666
relative,Round-local pair IDs,15,7,0.75,0.36
relative,Round-local pair IDs,15,8,0.75,0.5
relative,Round-local pair IDs,15,9,0.6499999999999999,0.5891666666666667
relative,Round-local pair IDs,15,10,0.95,0.3125
relative,Round-local pair IDs,16,1,0.55,0.29166666666666663
relative,Round-local pair IDs,16,2,0.5,0.2693055555555556
relative,Round-local pair IDs,16,3,0.7,0.3095833333333333
relative,Round-local pair IDs,16,4,0.55,0.2708333333333333
relative,Round-local pair IDs,16,5,0.625,0.34763888888888883
relative,Round-local pair IDs,16,6,0.6499999999999999,0.4451388888888889
relative,Round-local pair IDs,16,7,0.65,0.3622222222222222
relative,Round-local pair IDs,16,8,0.7,0.3638888888888889
relative,Round-local pair IDs,16,9,0.7000000000000001,0.3055555555555556
relative,Round-local pair IDs,16,10,0.8500000000000001,0.369375
relative,Round-local pair IDs,17,1,0.6,0.5208333333333334
relative,Round-local pair IDs,17,2,0.7,0.36340277777777774
relative,Round-local pair IDs,17,3,0.8500000000000001,0.4638888888888889
relative,Round-local pair IDs,17,4,0.65,0.31499999999999995
relative,Round-local pair IDs,17,5,0.95,0.41666666666666674
relative,Round-local pair IDs,17,6,0.8500000000000001,0.2820833333333333
relative,Round-local pair IDs,17,7,0.9,0.4163888888888889
relative,Round-local pair IDs,17,8,0.9,0.3444444444444444
relative,Round-local pair IDs,17,9,0.8999999999999999,0.38266666666666665
relative,Round-local pair IDs,17,10,0.9,0.39999999999999997
relative,Round-local pair IDs,18,1,0.5499999999999999,0.2536111111111111
relative,Round-local pair IDs,18,2,0.6,0.27891666666666665
relative,Round-local pair IDs,18,3,0.7749999999999999,0.325625
relative,Round-local pair IDs,18,4,0.65,0.26041666666666663
relative,Round-local pair IDs,18,5,0.7375,0.4556628787878788
relative,Round-local pair IDs,18,6,0.65,0.26513888888888887
relative,Round-local pair IDs,18,7,0.78,0.25142628205128204
relative,Round-local pair IDs,18,8,0.8500000000000001,0.39840277777777783
relative,Round-local pair IDs,18,9,0.95,0.41525
relative,Round-local pair IDs,18,10,0.875,0.29716666666666663
relative,Round-local pair IDs,19,1,0.55,0.22152777777777777
relative,Round-local pair IDs,19,2,0.6375,0.30446969696969695
relative,Round-local pair IDs,19,3,0.675,0.2976587301587301
relative,Round-local pair IDs,19,4,0.7000000000000001,0.22233333333333333
relative,Round-local pair IDs,19,5,0.75,0.25
relative,Round-local pair IDs,19,6,0.825,0.35033333333333333
relative,Round-local pair IDs,19,7,0.8500000000000001,0.20833333333333331
relative,Round-local pair IDs,19,8,0.75,0.3245138888888889
relative,Round-local pair IDs,19,9,0.725,0.2708333333333333
relative,Round-local pair IDs,19,10,0.825,0.22419047619047616
relative,Round-local pair IDs,20,1,0.5499999999999999,0.34395833333333337
relative,Round-local pair IDs,20,2,0.5875,0.3238095238095238
relative,Round-local pair IDs,20,3,0.7749999999999999,0.3903174603174603
relative,Round-local pair IDs,20,4,0.6375000000000001,0.3912400793650793
relative,Round-local pair IDs,20,5,0.6500000000000001,0.42361111111111116
relative,Round-local pair IDs,20,6,0.875,0.325
relative,Round-local pair IDs,20,7,0.7625000000000001,0.4314294871794872
relative,Round-local pair IDs,20,8,0.875,0.3310185185185185
relative,Round-local pair IDs,20,9,0.8875,0.42175000000000007
relative,Round-local pair IDs,20,10,0.95,0.29125
relative,Round-local pair IDs,21,1,0.6000000000000001,0.37138888888888894
relative,Round-local pair IDs,21,2,0.425,0.25416666666666665
relative,Round-local pair IDs,21,3,0.8,0.38340277777777776
relative,Round-local pair IDs,21,4,0.7250000000000001,0.4076666666666667
relative,Round-local pair IDs,21,5,0.8,0.30138888888888893
relative,Round-local pair IDs,21,6,0.7,0.3738888888888889
relative,Round-local pair IDs,21,7,0.625,0.3336342592592592
relative,Round-local pair IDs,21,8,0.8999999999999999,0.32166666666666666
relative,Round-local pair IDs,21,9,0.8,0.37166666666666665
relative,Round-local pair IDs,21,10,0.9,0.43333333333333335
relative,Round-local pair IDs,22,1,0.55,0.5375
relative,Round-local pair IDs,22,2,0.75,0.353125
relative,Round-local pair IDs,22,3,0.8,0.30618055555555557
relative,Round-local pair IDs,22,4,0.65,0.3347222222222222
relative,Round-local pair IDs,22,5,0.8,0.35
relative,Round-local pair IDs,22,6,0.7000000000000001,0.440625
relative,Round-local pair IDs,22,7,0.8999999999999999,0.37233333333333335
relative,Round-local pair IDs,22,8,0.7,0.3376388888888888
relative,Round-local pair IDs,22,9,0.6,0.3683333333333333
relative,Round-local pair IDs,22,10,0.9,0.32705555555555554
relative,Round-local pair IDs,23,1,0.5,0.34249999999999997
relative,Round-local pair IDs,23,2,0.6000000000000001,0.3375
relative,Round-local pair IDs,23,3,0.7000000000000001,0.26666666666666666
relative,Round-local pair IDs,23,4,0.7,0.40465277777777775
relative,Round-local pair IDs,23,5,0.65,0.3675
relative,Round-local pair IDs,23,6,0.8,0.38104166666666667
relative,Round-local pair IDs,23,7,0.825,0.33958333333333335
relative,Round-local pair IDs,23,8,0.675,0.3921666666666666
relative,Round-local pair IDs,23,9,0.8500000000000001,0.40895833333333337
relative,Round-local pair IDs,23,10,0.625,0.35475
relative,Round-local pair IDs,24,1,0.55,0.38083333333333336
relative,Round-local pair IDs,24,2,0.575,0.24541666666666667
relative,Round-local pair IDs,24,3,0.7,0.40249999999999997
relative,Round-local pair IDs,24,4,0.6000000000000001,0.27777777777777773
relative,Round-local pair IDs,24,5,0.75,0.2867361111111111
relative,Round-local pair IDs,24,6,0.9,0.5472222222222222
relative,Round-local pair IDs,24,7,0.7,0.33291666666666664
relative,Round-local pair IDs,24,8,0.75,0.41108333333333336
relative,Round-local pair IDs,24,9,0.9,0.38249999999999995
relative,Round-local pair IDs,24,10,0.8,0.4280555555555555
stable,Persistent stable IDs,15,1,0.55,0.2195138888888889
stable,Persistent stable IDs,15,2,0.6,0.25
stable,Persistent stable IDs,15,3,0.65,0.17777777777777776
stable,Persistent stable IDs,15,4,0.45000000000000007,0.22416666666666663
stable,Persistent stable IDs,15,5,0.85,0.26388888888888884
stable,Persistent stable IDs,15,6,0.7,0.16583333333333333
stable,Persistent stable IDs,15,7,0.6,0.39049999999999996
stable,Persistent stable IDs,15,8,0.95,0.2
stable,Persistent stable IDs,15,9,0.9,0.25
stable,Persistent stable IDs,15,10,1.0,0.3
stable,Persistent stable IDs,16,1,0.4,0.1111111111111111
stable,Persistent stable IDs,16,2,0.5,0.14583333333333331
stable,Persistent stable IDs,16,3,0.8999999999999999,0.19083333333333335
stable,Persistent stable IDs,16,4,0.875,0.14523809523809522
stable,Persistent stable IDs,16,5,0.95,0.37916666666666665
stable,Persistent stable IDs,16,6,0.75,0.06666666666666667
stable,Persistent stable IDs,16,7,0.875,0.27037037037037037
stable,Persistent stable IDs,16,8,0.9,0.29166666666666663
stable,Persistent stable IDs,16,9,0.95,0.2875
stable,Persistent stable IDs,16,10,0.8500000000000001,0.27083333333333337
stable,Persistent stable IDs,17,1,0.65,0.396875
stable,Persistent stable IDs,17,2,0.7,0.25
stable,Persistent stable IDs,17,3,0.8500000000000001,0.4065277777777777
stable,Persistent stable IDs,17,4,0.8,0.3833333333333333
stable,Persistent stable IDs,17,5,0.65,0.19444444444444445
stable,Persistent stable IDs,17,6,0.8500000000000001,0.36854166666666666
stable,Persistent stable IDs,17,7,0.8500000000000001,0.2446388888888889
stable,Persistent stable IDs,17,8,0.8,0.39583333333333326
stable,Persistent stable IDs,17,9,0.9,0.2833333333333333
stable,Persistent stable IDs,17,10,0.95,0.30616666666666664
stable,Persistent stable IDs,18,1,0.35,0.22775
stable,Persistent stable IDs,18,2,0.4,0.1875
stable,Persistent stable IDs,18,3,1.0,0.407
stable,Persistent stable IDs,18,4,0.55,0.3611111111111111
stable,Persistent stable IDs,18,5,0.7,0.486
stable,Persistent stable IDs,18,6,0.65,0.08333333333333333
stable,Persistent stable IDs,18,7,0.65,0.35
stable,Persistent stable IDs,18,8,1.0,0.08333333333333333
stable,Persistent stable IDs,18,9,1.0,0.2848333333333333
stable,Persistent stable IDs,18,10,0.95,0.290625
stable,Persistent stable IDs,19,1,0.45000000000000007,0.28131944444444446
stable,Persistent stable IDs,19,2,0.7,0.4075
stable,Persistent stable IDs,19,3,0.6,0.2638888888888889
stable,Persistent stable IDs,19,4,0.65,0.26666666666666666
stable,Persistent stable IDs,19,5,0.95,0.4454166666666667
stable,Persistent stable IDs,19,6,0.775,0.1527777777777778
stable,Persistent stable IDs,19,7,0.875,0.3666666666666667
stable,Persistent stable IDs,19,8,0.925,0.22694444444444445
stable,Persistent stable IDs,19,9,0.95,0.2593333333333333
stable,Persistent stable IDs,19,10,0.925,0.25476190476190474
stable,Persistent stable IDs,20,1,1.0,0.3
stable,Persistent stable IDs,20,2,0.8,0.29583333333333334
stable,Persistent stable IDs,20,3,0.975,0.42592592592592593
stable,Persistent stable IDs,20,4,0.8,0.28888888888888886
stable,Persistent stable IDs,20,5,0.875,0.3
stable,Persistent stable IDs,20,6,0.8,0.3541666666666667
stable,Persistent stable IDs,20,7,1.0,0.31666666666666665
stable,Persistent stable IDs,20,8,0.825,0.45
stable,Persistent stable IDs,20,9,0.7,0.40555555555555556
stable,Persistent stable IDs,20,10,1.0,0.3833333333333333
stable,Persistent stable IDs,21,1,0.75,0.27777777777777773
stable,Persistent stable IDs,21,2,0.7,0.37104166666666666
stable,Persistent stable IDs,21,3,0.8,0.36125
stable,Persistent stable IDs,21,4,0.9,0.3383333333333333
stable,Persistent stable IDs,21,5,0.85,0.305
stable,Persistent stable IDs,21,6,0.95,0.3215
stable,Persistent stable IDs,21,7,0.85,0.35340277777777773
stable,Persistent stable IDs,21,8,0.8,0.3346111111111111
stable,Persistent stable IDs,21,9,0.8999999999999999,0.37916666666666665
stable,Persistent stable IDs,21,10,0.95,0.35983333333333334
stable,Persistent stable IDs,22,1,0.7,0.31416666666666665
stable,Persistent stable IDs,22,2,0.8999999999999999,0.25
stable,Persistent stable IDs,22,3,0.825,0.3880952380952381
stable,Persistent stable IDs,22,4,0.65,0.2538888888888889
stable,Persistent stable IDs,22,5,0.9,0.18333333333333335
stable,Persistent stable IDs,22,6,0.9,0.49999999999999994
stable,Persistent stable IDs,22,7,0.925,0.38095238095238093
stable,Persistent stable IDs,22,8,0.9,0.23333333333333334
stable,Persistent stable IDs,22,9,0.85,0.17708333333333331
stable,Persistent stable IDs,22,10,0.975,0.3719074074074074
