identity_arm,identity_label,metric,n,mean,sd,ci_low,ci_high
relative,Round-local pair IDs,round1_trust_ratio,10,0.5549999999999999,0.028382310609877347,0.534696518097318,0.5753034819026819
relative,Round-local pair IDs,final_balance,10,61.311,2.266215089821205,59.68984738504142,62.93215261495858
relative,Round-local pair IDs,mean_trust_ratio,10,0.72622,0.045324301796424105,0.6937969477008282,0.7586430522991717
relative,Round-local pair IDs,mean_return_ratio,10,0.35514942862692866,0.04078086066211234,0.3259765583201384,0.38432229893371894
relative,Round-local pair IDs,return_over_sent,10,1.0620497238691662,0.11476324200720145,0.9799530461457034,1.1441464015926288
stable,Persistent stable IDs,round1_trust_ratio,10,0.625,0.21505813167606563,0.47115668031657665,0.7788433196834234
stable,Persistent stable IDs,final_balance,10,65.025,2.737851956065801,63.06645869565465,66.98354130434537
stable,Persistent stable IDs,mean_trust_ratio,10,0.8005000000000001,0.05475703912131601,0.761329173913093,0.8396708260869072
stable,Persistent stable IDs,mean_return_ratio,10,0.29048667989417987,0.047147114906909475,0.2567596656480964,0.32421369414026335
stable,Persistent stable IDs,return_over_sent,10,0.9236932349233697,0.09907816397044594,0.8528169860944661,0.9945694837522734
