identity_arm,identity_label,replicate_id,round,trust_ratio,return_ratio
relative,Round-local pair IDs,25,1,1.0,0.4513333333333333
relative,Round-local pair IDs,25,2,1.0,0.5038333333333334
relative,Round-local pair IDs,25,3,1.0,0.4798333333333333
relative,Round-local pair IDs,25,4,1.0,0.4876666666666667
relative,Round-local pair IDs,25,5,1.0,0.454
relative,Round-local pair IDs,25,6,1.0,0.48133333333333334
relative,Round-local pair IDs,25,7,1.0,0.4936666666666667
relative,Round-local pair IDs,25,8,1.0,0.4631666666666666
relative,Round-local pair IDs,25,9,1.0,0.4653333333333333
relative,Round-local pair IDs,25,10,1.0,0.47100000000000003
relative,Round-local pair IDs,26,1,1.0,0.4688333333333333
relative,Round-local pair IDs,26,2,1.0,0.5083333333333333
relative,Round-local pair IDs,26,3,1.0,0.4565
relative,Round-local pair IDs,26,4,1.0,0.4895
relative,Round-local pair IDs,26,5,1.0,0.5083333333333333
relative,Round-local pair IDs,26,6,1.0,0.49524999999999997
relative,Round-local pair IDs,26,7,1.0,0.472
relative,Round-local pair IDs,26,8,1.0,0.5055000000000001
relative,Round-local pair IDs,26,9,1.0,0.46941666666666665
relative,Round-local pair IDs,26,10,1.0,0.47950000000000004
relative,Round-local pair IDs,27,1,1.0,0.4766666666666667
relative,Round-local pair IDs,27,2,1.0,0.457
relative,Round-local pair IDs,27,3,1.0,0.49349999999999994
relative,Round-local pair IDs,27,4,1.0,0.49316666666666664
relative,Round-local pair IDs,27,5,1.0,0.49649999999999994
relative,Round-local pair IDs,27,6,1.0,0.48916666666666664
relative,Round-local pair IDs,27,7,1.0,0.44516666666666665
relative,Round-local pair IDs,27,8,1.0,0.44683333333333336
relative,Round-local pair IDs,27,9,1.0,0.47850000000000004
relative,Round-local pair IDs,27,10,1.0,0.4761666666666666
relative,Round-local pair IDs,28,1,1.0,0.4836666666666667
relative,Round-local pair IDs,28,2,1.0,0.4505
relative,Round-local pair IDs,28,3,1.0,0.492
relative,Round-local pair IDs,28,4,1.0,0.46266666666666667
relative,Round-local pair IDs,28,5,1.0,0.5
relative,Round-local pair IDs,28,6,1.0,0.4895
relative,Round-local pair IDs,28,7,1.0,0.5
relative,Round-local pair IDs,28,8,1.0,0.45099999999999996
relative,Round-local pair IDs,28,9,1.0,0.5
relative,Round-local pair IDs,28,10,1.0,0.4676666666666667
relative,Round-local pair IDs,29,1,1.0,0.4906666666666667
relative,Round-local pair IDs,29,2,1.0,0.42383333333333334
relative,Round-local pair IDs,29,3,1.0,0.48533333333333334
relative,Round-local pair IDs,29,4,1.0,0.434
relative,Round-local pair IDs,29,5,1.0,0.4763333333333333
relative,Round-local pair IDs,29,6,1.0,0.48133333333333334
relative,Round-local pair IDs,29,7,1.0,0.471
relative,Round-local pair IDs,29,8,1.0,0.506
relative,Round-local pair IDs,29,9,1.0,0.4975
relative,Round-local pair IDs,29,10,1.0,0.5083333333333333
stable,Persistent stable IDs,25,1,1.0,0.4513333333333333
stable,Persistent stable IDs,25,2,1.0,0.4955
stable,Persistent stable IDs,25,3,1.0,0.4798333333333333
stable,Persistent stable IDs,25,4,1.0,0.4876666666666667
stable,Persistent stable IDs,25,5,1.0,0.454
stable,Persistent stable IDs,25,6,1.0,0.48125
stable,Persistent stable IDs,25,7,1.0,0.4936666666666667
stable,Persistent stable IDs,25,8,1.0,0.4631666666666666
stable,Persistent stable IDs,25,9,1.0,0.4653333333333333
stable,Persistent stable IDs,25,10,1.0,0.47100000000000003
stable,Persistent stable IDs,26,1,1.0,0.49383333333333335
stable,Persistent stable IDs,26,2,1.0,0.5
stable,Persistent stable IDs,26,3,1.0,0.446
stable,Persistent stable IDs,26,4,1.0,0.49116666666666664
stable,Persistent stable IDs,26,5,1.0,0.5083333333333333
stable,Persistent stable IDs,26,6,1.0,0.49516666666666664
stable,Persistent stable IDs,26,7,1.0,0.473
stable,Persistent stable IDs,26,8,1.0,0.49716666666666665
stable,Persistent stable IDs,26,9,1.0,0.4695
stable,Persistent stable IDs,26,10,1.0,0.4751666666666666
stable,Persistent stable IDs,27,1,1.0,0.4683333333333334
stable,Persistent stable IDs,27,2,1.0,0.457
stable,Persistent stable IDs,27,3,1.0,0.49349999999999994
stable,Persistent stable IDs,27,4,1.0,0.49316666666666664
stable,Persistent stable IDs,27,5,1.0,0.49649999999999994
stable,Persistent stable IDs,27,6,1.0,0.48916666666666664
stable,Persistent stable IDs,27,7,1.0,0.44516666666666665
stable,Persistent stable IDs,27,8,1.0,0.447
stable,Persistent stable IDs,27,9,1.0,0.47850000000000004
stable,Persistent stable IDs,27,10,1.0,0.4761666666666666
stable,Persistent stable IDs,28,1,1.0,0.492
stable,Persistent stable IDs,28,2,1.0,0.459
stable,Persistent stable IDs,28,3,1.0,0.492
stable,Persistent stable IDs,28,4,1.0,0.45833333333333337
stable,Persistent stable IDs,28,5,1.0,0.5
stable,Persistent stable IDs,28,6,1.0,0.4895
stable,Persistent stable IDs,28,7,1.0,0.5
stable,Persistent stable IDs,28,8,1.0,0.45099999999999996
stable,Persistent stable IDs,28,9,1.0,0.5
stable,Persistent stable IDs,28,10,1.0,0.4676666666666667
stable,Persistent stable IDs,29,1,1.0,0.4823333333333334
stable,Persistent stable IDs,29,2,1.0,0.42383333333333334
stable,Persistent stable IDs,29,3,1.0,0.48533333333333334
stable,Persistent stable IDs,29,4,1.0,0.434
stable,Persistent stable IDs,29,5,1.0,0.4763333333333333
stable,Persistent stable IDs,29,6,1.0,0.48133333333333334
stable,Persistent stable IDs,29,7,1.0,0.471
stable,Persistent stable IDs,29,8,1.0,0.506
stable,Persistent stable IDs,29,9,1.0,0.4975
stable,Persistent stable IDs,29,10,1.0,0.5083333333333333
