identity_arm,identity_label,metric,n,mean,sd,ci_low,ci_high
relative,Round-local pair IDs,round1_trust_ratio,5,1.0,0.0,1.0,1.0
relative,Round-local pair IDs,final_balance,5,75.0,0.0,75.0,75.0
relative,Round-local pair IDs,mean_trust_ratio,5,1.0,0.0,1.0,1.0
relative,Round-local pair IDs,mean_return_ratio,5,0.4785666666666666,0.004210816099311685,0.4733382479130944,0.48379508542023875
relative,Round-local pair IDs,return_over_sent,5,1.4357,0.01263244829793501,1.4200147437392836,1.4513852562607163
stable,Persistent stable IDs,round1_trust_ratio,5,1.0,0.0,1.0,1.0
stable,Persistent stable IDs,final_balance,5,75.0,0.0,75.0,75.0
stable,Persistent stable IDs,mean_trust_ratio,5,1.0,0.0,1.0,1.0
stable,Persistent stable IDs,mean_return_ratio,5,0.4782416666666666,0.0046075948775425165,0.472520581988914,0.48396275134441924
stable,Persistent stable IDs,return_over_sent,5,1.4347249999999998,0.013822784632627387,1.417561745966742,1.4518882540332576
