metric,contrast,primary,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
final_balance,Myth→Game − Game only | Private memory,False,5,0.225,-2.134340283240945,2.584340283240945,0.8042649399177773,0.1184120839118978
final_balance,Myth→Game − Game only | Current-partner dossier,False,5,3.625,2.4467985002251593,4.803201499774841,0.001030790581454409,3.8202565472449486
final_balance,Myth→Game − Game only | Public population ledger,True,5,2.2624999999999984,-1.296470538732276,5.821470538732273,0.15231925262790194,0.789347583904613
final_balance,Task interaction: public ledger − private memory,False,5,2.0374999999999988,-1.4133047688942977,5.488304768894295,0.17648769881419188,0.7331305494720288
final_balance,Task interaction: public ledger − partner dossier,False,5,-1.3625000000000014,-4.385770966684637,1.6607709666846346,0.2790246337156477,-0.5595817299194491
mean_trust_ratio,Myth→Game − Game only | Private memory,False,5,0.004500000000000015,-0.042686805664818875,0.05168680566481891,0.8042649399177766,0.1184120839118982
mean_trust_ratio,Myth→Game − Game only | Current-partner dossier,False,5,0.07249999999999997,0.04893597000450306,0.09606402999549687,0.0010307905814544236,3.820256547244933
mean_trust_ratio,Myth→Game − Game only | Public population ledger,False,5,0.04524999999999997,-0.025929410774645417,0.11642941077464536,0.1523192526279015,0.7893475839046141
mean_trust_ratio,Task interaction: public ledger − private memory,False,5,0.04074999999999995,-0.028266095377885964,0.10976609537788587,0.1764876988141921,0.7331305494720284
mean_trust_ratio,Task interaction: public ledger − partner dossier,False,5,-0.027249999999999996,-0.08771541933369259,0.0332154193336926,0.2790246337156472,-0.5595817299194495
mean_return_ratio,Myth→Game − Game only | Private memory,False,5,-0.044008572908716084,-0.08478774498866916,-0.00322940082876301,0.04008728061411148,-1.3399943600115694
mean_return_ratio,Myth→Game − Game only | Current-partner dossier,False,5,0.017701295097661208,-0.013191557531892259,0.048594147727214675,0.18684712466137213,0.7114610330067288
mean_return_ratio,Myth→Game − Game only | Public population ledger,False,5,0.05245760037348275,-0.020829594150824082,0.12574479489778959,0.11781007042062921,0.8887598200298286
mean_return_ratio,Task interaction: public ledger − private memory,False,5,0.09646617328219884,-0.008902498637829492,0.20183484520222716,0.06385424453951723,1.1367569907296613
mean_return_ratio,Task interaction: public ledger − partner dossier,False,5,0.03475630527582154,-0.05880616440980114,0.12831877496144423,0.3606369287659857,0.4612496134034689
