identity_arm,identity_label,replicate_id,round,trust_ratio,return_ratio
private,Anonymous private memory,0,1,0.7,0.29506944444444444
private,Anonymous private memory,0,2,1.0,0.31666666666666665
private,Anonymous private memory,0,3,0.95,0.43
private,Anonymous private memory,0,4,0.8500000000000001,0.4890972222222222
private,Anonymous private memory,0,5,0.7000000000000001,0.3852777777777778
private,Anonymous private memory,0,6,0.9,0.5798333333333333
private,Anonymous private memory,0,7,0.95,0.469375
private,Anonymous private memory,0,8,0.9,0.6708333333333333
private,Anonymous private memory,0,9,0.65,0.3630555555555555
private,Anonymous private memory,0,10,1.0,0.6091666666666666
private,Anonymous private memory,1,1,0.6,0.3158333333333333
private,Anonymous private memory,1,2,0.8500000000000001,0.3185
private,Anonymous private memory,1,3,0.7749999999999999,0.4664583333333333
private,Anonymous private memory,1,4,0.6749999999999999,0.36634259259259255
private,Anonymous private memory,1,5,0.825,0.4133452380952381
private,Anonymous private memory,1,6,0.875,0.37683333333333335
private,Anonymous private memory,1,7,0.8375000000000001,0.3957236842105263
private,Anonymous private memory,1,8,0.925,0.3789285714285714
private,Anonymous private memory,1,9,0.95,0.4120625
private,Anonymous private memory,1,10,0.8125,0.37629807692307693
private,Anonymous private memory,2,1,0.55,0.3788888888888889
private,Anonymous private memory,2,2,0.85,0.3055555555555555
private,Anonymous private memory,2,3,0.675,0.2852638888888889
private,Anonymous private memory,2,4,0.8500000000000001,0.2625
private,Anonymous private memory,2,5,0.85,0.22305555555555556
private,Anonymous private memory,2,6,0.75,0.27131944444444445
private,Anonymous private memory,2,7,0.7000000000000001,0.3963888888888889
private,Anonymous private memory,2,8,0.8,0.5391666666666666
private,Anonymous private memory,2,9,0.6,0.35440277777777773
private,Anonymous private memory,2,10,0.9125,0.610343137254902
private,Anonymous private memory,3,1,0.6,0.2222222222222222
private,Anonymous private memory,3,2,0.8999999999999999,0.3089583333333333
private,Anonymous private memory,3,3,0.775,0.34444444444444444
private,Anonymous private memory,3,4,0.8,0.4375
private,Anonymous private memory,3,5,0.925,0.38692592592592595
private,Anonymous private memory,3,6,0.95,0.5645833333333333
private,Anonymous private memory,3,7,0.7875,0.3826754385964912
private,Anonymous private memory,3,8,1.0,0.47500000000000003
private,Anonymous private memory,3,9,0.65,0.28395833333333337
private,Anonymous private memory,3,10,0.8999999999999999,0.48666666666666664
private,Anonymous private memory,4,1,0.6499999999999999,0.3958333333333333
private,Anonymous private memory,4,2,0.8500000000000001,0.3555555555555555
private,Anonymous private memory,4,3,0.9,0.3041666666666667
private,Anonymous private memory,4,4,0.8,0.4886111111111111
private,Anonymous private memory,4,5,0.9,0.38672222222222224
private,Anonymous private memory,4,6,0.95,0.5083333333333333
private,Anonymous private memory,4,7,0.7,0.3706944444444444
private,Anonymous private memory,4,8,0.925,0.40546296296296297
private,Anonymous private memory,4,9,0.95,0.43750000000000006
private,Anonymous private memory,4,10,0.85,0.35506944444444444
public_ledger,Stable IDs + public ledger,0,1,0.44999999999999996,0.26722222222222225
public_ledger,Stable IDs + public ledger,0,2,0.75,0.3506944444444444
public_ledger,Stable IDs + public ledger,0,3,0.775,0.39175925925925925
public_ledger,Stable IDs + public ledger,0,4,0.725,0.4013888888888889
public_ledger,Stable IDs + public ledger,0,5,0.75,0.42361111111111105
public_ledger,Stable IDs + public ledger,0,6,0.8,0.4127777777777778
public_ledger,Stable IDs + public ledger,0,7,0.8,0.4611111111111111
public_ledger,Stable IDs + public ledger,0,8,0.85,0.4581349206349206
public_ledger,Stable IDs + public ledger,0,9,0.8,0.5520833333333334
public_ledger,Stable IDs + public ledger,0,10,0.8125000000000001,0.44412990196078433
public_ledger,Stable IDs + public ledger,1,1,0.4,0.3204166666666666
