model,noise_label,informed,task_order,n_runs,n_obs,cos_between_round1,cos_between_roundN,cos_between_slope_per_round,cos_between_slope_ci_lo,cos_between_slope_ci_hi,drift_a_round1,drift_a_roundN,drift_b_round1,drift_b_roundN
claude-sonnet-4.5,negative_5,False,game_myth,15,150,0.5875670313835144,0.619582998752594,0.005443197934314501,-0.004009868565174674,0.013374368622802897,1.0000000675519307,0.4187731345494588,1.0000000238418578,0.4291722595691681
claude-sonnet-4.5,negative_5,False,myth_game,15,150,0.5298909326394399,0.6749820391337077,0.012681150219657253,0.0030977755809389563,0.021615848934803773,1.000000031789144,0.3744360595941544,1.000000035762787,0.37666786313056944
claude-sonnet-4.5,negative_5,True,game_myth,15,150,0.5133874158064524,0.6405830522378285,0.017433132149956496,0.007232618873696608,0.026863864872089502,1.000000031789144,0.40954369902610777,1.000000031789144,0.3272806425889333
claude-sonnet-4.5,negative_5,True,myth_game,15,150,0.5469751139481862,0.6388793667157491,0.008616338739491494,0.00036681482362514294,0.01622241553860461,1.00000003973643,0.3821578601996104,1.000000011920929,0.36996294458707174
claude-sonnet-4.5,positive,False,game_myth,15,150,0.5565186858177185,0.690857853492101,0.01215435401357791,0.0031673276329280504,0.021049183642858453,1.000000035762787,0.4163529415925344,1.0000000198682149,0.3860517034928004
claude-sonnet-4.5,positive,False,myth_game,15,150,0.5538554022709529,0.6982179562250773,0.01447572984478695,0.005953871432692559,0.023479279271540327,1.00000003973643,0.4139029314120611,1.0000000715255737,0.4066117644309998
claude-sonnet-4.5,positive,True,game_myth,15,150,0.6072007497151692,0.7455447534720103,0.01612573815114578,0.00721402973982374,0.025574915546613203,1.0000000238418578,0.40468586683273317,1.00000003973643,0.423161377509435
claude-sonnet-4.5,positive,True,myth_game,15,150,0.5101624856392543,0.7479234099388122,0.020911739468574577,0.01269693800285074,0.028422132118791327,1.0000000874201456,0.38856488664944966,1.0000000158945719,0.36878249744574226
gpt-5-nano,bootstrap,False,game_myth,15,150,0.7285594781239827,0.8195491671562195,0.009382217773283434,0.005135939080683357,0.013393247015198258,0.9999999920527141,0.6402235805988312,1.0000000516573588,0.6459882458051046
gpt-5-nano,bootstrap,False,myth_game,15,150,0.508155701123178,0.7778462211290995,0.022729065092750876,0.01320440530067702,0.03162696452236067,1.000000035762787,0.4668056547641754,1.0000000158945719,0.5596436709165573
gpt-5-nano,bootstrap,True,game_myth,15,150,0.7256206711133321,0.7915537158648173,0.009896962642669713,0.006011695393291233,0.013710464828674121,1.0000000278155008,0.6608944574991862,1.000000043710073,0.6400845766067504
gpt-5-nano,bootstrap,True,myth_game,15,150,0.687290366490682,0.8278344392776489,0.0139563086538604,0.009500266398096213,0.018103520183585287,1.000000031789144,0.6094151735305786,1.0000000516573588,0.6213157157103221
gpt-5-nano,deterministic_max,False,game_myth,7,70,0.7190775530678886,0.8126403093338013,0.013109554408432592,0.007137987396829829,0.018625386120958622,1.0000000596046448,0.6704096368380955,1.0,0.6757858565875462
gpt-5-nano,negative_5,False,game_myth,15,150,0.6827630082766215,0.7779855251312255,0.009855022767577541,0.005935346516102385,0.013905565519716011,1.0000000278155008,0.6297620177268982,1.0000000556310018,0.6405303478240967
gpt-5-nano,negative_5,False,myth_game,15,150,0.4239153622339169,0.7354156990845998,0.027214080786915784,0.015914812218870297,0.03768626011523866,1.00000003973643,0.5585807912051678,1.0000000238418578,0.45977837443351743
gpt-5-nano,negative_5,True,game_myth,15,150,0.6874929467837015,0.7770008365313212,0.011399336077950266,0.0077548615215062905,0.01535651953334127,1.000000031789144,0.6364925702412924,1.00000003973643,0.6052258372306824
gpt-5-nano,negative_5,True,myth_game,15,150,0.6908914605776469,0.7766434947649637,0.01061818875297159,0.005697542482773172,0.015458496798079776,1.0000000635782877,0.5826650182406108,1.0000000238418578,0.6228885451952616
gpt-5-nano,positive,False,game_myth,15,150,0.7199131608009338,0.7611936926841736,0.009246582382857254,0.004846453671545016,0.013651878933015742,1.0000000596046448,0.6323110381762187,1.000000043710073,0.6285064538319906
gpt-5-nano,positive,False,myth_game,15,150,0.6148926374812921,0.8060981710751851,0.01564109499556855,0.008410876899909516,0.023836758371039584,1.0000000238418578,0.5676948676506678,1.0000001152356466,0.6043898860613505
gpt-5-nano,positive,True,game_myth,15,150,0.7170488635698954,0.8205844163894653,0.013880352913731327,0.009553215830817767,0.017761000598823233,0.9999999880790711,0.6463315566380818,1.0000000158945719,0.6542231003443401
gpt-5-nano,positive,True,myth_game,15,150,0.7029386083285014,0.8195276459058126,0.015448650567218555,0.010917664096005582,0.02018568032453933,1.00000003973643,0.59017160932223,1.000000007947286,0.5931378960609436
